dark annoying combative annoyed light old-fashioned colorful cautious relieved hungry
blue-eyed doubtful delightful confused uninterested amused poor disturbed grumpy perfect
grumpy doubtful healthy shy bored lonely scary wild attractive obnoxious
filthy naughty lazy annoying old-fashioned glamorous hungry sparkling foolish spotless
bewildered distinct proud grotesque magnificent successful wandering thankful dangerous gorgeous
black splendid outrageous proud colorful blue nice annoying motionless busy
excited quaint brainy cruel precious difficult silly calm good cute
bad distinct arrogant dizzy gentle busy drab unsightly pleasant outrageous
dull angry witty obnoxious putrid bad easy light poised poised
unsightly clever relieved mushy breakable clean rich tense bewildered zany
troubled rich wild plain joyous quaint cruel shiny embarrassed tough
BinaryNumber_1000000 BinaryNumber_1011100 BinaryNumber_1010010 BinaryNumber_0100111 BinaryNumber_1011010 BinaryNumber_0111101 BinaryNumber_0010010 BinaryNumber_0101010 BinaryNumber_0101101 BinaryNumber_1001111
BinaryNumber_0011001 BinaryNumber_0010111 BinaryNumber_0110011 BinaryNumber_0100100 BinaryNumber_0111101 BinaryNumber_0100111 BinaryNumber_1001111 BinaryNumber_0010000 BinaryNumber_0111100 BinaryNumber_0100001
BinaryNumber_0001010 BinaryNumber_1001001 BinaryNumber_0011010 BinaryNumber_0110001 BinaryNumber_0000000 BinaryNumber_0000010 BinaryNumber_0000011 BinaryNumber_1011010 BinaryNumber_1000101 BinaryNumber_0000011
BinaryNumber_1011011 BinaryNumber_0100111 BinaryNumber_0111100 BinaryNumber_1011101 BinaryNumber_0011000 BinaryNumber_1000010 BinaryNumber_0010010 BinaryNumber_1000100 BinaryNumber_0001101 BinaryNumber_0101001
BinaryNumber_1010110 BinaryNumber_0111000 BinaryNumber_0010011 BinaryNumber_0000011 BinaryNumber_1010111 BinaryNumber_0000111 BinaryNumber_0110100 BinaryNumber_0011101 BinaryNumber_0111011 BinaryNumber_1010111
BinaryNumber_0100010 BinaryNumber_0100011 BinaryNumber_0100111 BinaryNumber_0001001 BinaryNumber_0111011 BinaryNumber_0101101 BinaryNumber_1011110 BinaryNumber_0010010 BinaryNumber_1100010 BinaryNumber_1000001
BinaryNumber_0001010 BinaryNumber_0001101 BinaryNumber_0110100 BinaryNumber_0001000 BinaryNumber_0101000 BinaryNumber_0111100 BinaryNumber_0000100 BinaryNumber_0110001 BinaryNumber_0000000 BinaryNumber_0010010
BinaryNumber_1001100 BinaryNumber_1010101 BinaryNumber_1011110 BinaryNumber_1000101 BinaryNumber_0100010 BinaryNumber_0010100 BinaryNumber_0000111 BinaryNumber_0110001 BinaryNumber_0110101 BinaryNumber_0011110
BinaryNumber_0101110 BinaryNumber_0001101 BinaryNumber_0111111 BinaryNumber_0000101 BinaryNumber_1000000 BinaryNumber_1010100 BinaryNumber_0001010 BinaryNumber_0010110 BinaryNumber_0011110 BinaryNumber_1100011
BinaryNumber_0101110 BinaryNumber_0101110 BinaryNumber_1001111 BinaryNumber_0010001 BinaryNumber_0111011 BinaryNumber_0001111 BinaryNumber_0111001 BinaryNumber_0111110 BinaryNumber_0010000 BinaryNumber_1000100
BinaryNumber_0111000 BinaryNumber_1001101 BinaryNumber_0100011 BinaryNumber_0101001 BinaryNumber_1010100 BinaryNumber_0010111 BinaryNumber_1010101 BinaryNumber_0010110 BinaryNumber_0010110 BinaryNumber_0101001
21:40 16:35 14:28 19:54 23:35 20:28 21:47 13:16 10:32 14:41
23:28 14:39 10:19 10:34 13:46 18:17 10:20 21:41 11:34 16:42
21:14 21:54 15:56 12:33 10:31 10:26 11:48 21:47 19:49 17:42
17:36 12:25 19:25 18:14 15:54 15:54 22:44 16:49 22:46 15:24
11:50 22:15 22:19 23:56 12:14 23:44 19:33 17:47 20:29 15:26
15:27 15:24 18:29 17:11 22:12 17:50 11:52 10:54 20:57 13:55
14:44 18:38 23:34 13:43 11:55 19:24 18:49 15:37 12:17 21:51
18:11 22:37 20:31 10:59 13:27 12:58 17:15 19:26 19:35 21:37
15:39 11:33 10:35 23:52 13:39 15:20 20:19 13:13 19:10 15:21
