Cherimoya Damson Guava Cloudberry Papaya Abiu Rambutan  Cherry Boysenberry Cranberry
Pear Grape Fig Acerola Raspberry Nectarine Lemon Plantain Abiu Sapodilla
Pawpaw Melon Jostaberry Lemon Gooseberry Akebi Cashew Mango Tamarillo Pomegranate
Sapote Soursop Cherry Kiwifruit Feijoa Lemon Blueberry Breadfruit Nectarine Durian
Plum Abiu Melon Sapote Cashew Sapodilla Blackcurrant Pear Loganberry Orange
Cempedak Tayberry Loquat Jujube Tayberry Açaí Longan Canistel Avocado Boysenberry
Loquat Tamarind Loganberry Loquat Mangosteen Blueberry Kumquat Plum Mulberry Pawpaw
Marionberry Pomegranate Durian Tangerine Apple Honeydew Currant Tamarillo Acerola Pineapple
Apple Cranberry Abiu Longan Cherry Watermelon Honeyberry Canistel Grapefruit Rambutan 
Kiwano Grape Sapote Date Araza Clementine Longan Breadfruit Currant Lime
Guava Passionfruit Mandarine Prune Pawpaw Orange Abiu Feijoa Banana Abiu
BinaryNumber_0011100 BinaryNumber_0101010 BinaryNumber_0001001 BinaryNumber_1000110 BinaryNumber_0001111 BinaryNumber_0001111 BinaryNumber_0110111 BinaryNumber_1010010 BinaryNumber_1011001 BinaryNumber_0101010
BinaryNumber_1010011 BinaryNumber_1010010 BinaryNumber_1001101 BinaryNumber_1100010 BinaryNumber_0011011 BinaryNumber_0101111 BinaryNumber_1011111 BinaryNumber_1010110 BinaryNumber_0100100 BinaryNumber_1001010
BinaryNumber_0100101 BinaryNumber_1100000 BinaryNumber_0100100 BinaryNumber_0110000 BinaryNumber_0110001 BinaryNumber_0111001 BinaryNumber_1011000 BinaryNumber_1100000 BinaryNumber_0110011 BinaryNumber_1100011
BinaryNumber_0100101 BinaryNumber_0001010 BinaryNumber_1001100 BinaryNumber_0000111 BinaryNumber_0010000 BinaryNumber_0011111 BinaryNumber_0100011 BinaryNumber_0100001 BinaryNumber_1000100 BinaryNumber_0000010
BinaryNumber_1011110 BinaryNumber_1011010 BinaryNumber_0111101 BinaryNumber_0100001 BinaryNumber_0010001 BinaryNumber_1000000 BinaryNumber_1010011 BinaryNumber_0111100 BinaryNumber_0111111 BinaryNumber_1011100
BinaryNumber_0111101 BinaryNumber_1100001 BinaryNumber_0101001 BinaryNumber_1011001 BinaryNumber_1000010 BinaryNumber_1011100 BinaryNumber_1000011 BinaryNumber_0110111 BinaryNumber_0110100 BinaryNumber_0001101
BinaryNumber_1010011 BinaryNumber_0111010 BinaryNumber_0100011 BinaryNumber_0000000 BinaryNumber_1100001 BinaryNumber_0011100 BinaryNumber_1100000 BinaryNumber_0100000 BinaryNumber_0101001 BinaryNumber_0100000
BinaryNumber_0101111 BinaryNumber_0101000 BinaryNumber_0110111 BinaryNumber_0111100 BinaryNumber_0000001 BinaryNumber_0110010 BinaryNumber_1001100 BinaryNumber_0011010 BinaryNumber_0110110 BinaryNumber_1000000
BinaryNumber_0011011 BinaryNumber_1001010 BinaryNumber_1010010 BinaryNumber_0110011 BinaryNumber_1000011 BinaryNumber_0010011 BinaryNumber_1000110 BinaryNumber_1010110 BinaryNumber_0110100 BinaryNumber_1000111
BinaryNumber_1000010 BinaryNumber_1000000 BinaryNumber_0000100 BinaryNumber_0000100 BinaryNumber_0110100 BinaryNumber_0100010 BinaryNumber_1001011 BinaryNumber_0001101 BinaryNumber_0101111 BinaryNumber_1011111
