WhiteSmoke LightCyan MediumVioletRed Navy Thistle Brown BlanchedAlmond Black DarkSalmon MintCream
Violet DarkGray Indigo GhostWhite Chocolate CornflowerBlue Sienna SteelBlue Firebrick Linen
Gold Black Cornsilk Brown LightSeaGreen LightGray Linen Crimson Plum OrangeRed
GreenYellow PeachPuff DarkBlue Gainsboro SkyBlue GhostWhite Goldenrod Coral Chartreuse Orange
LavenderBlush SteelBlue PapayaWhip Goldenrod Sienna LightYellow PapayaWhip SandyBrown Thistle HotPink
LightSteelBlue SlateGray CornflowerBlue DarkSalmon LightGoldenrodYellow DarkOrchid CornflowerBlue White BlueViolet MediumVioletRed
LightYellow Tomato GhostWhite PaleVioletRed Pink PapayaWhip DarkSeaGreen Turquoise SkyBlue Peru
Gold SteelBlue MediumTurquoise Tan LightSlateGray Purple GhostWhite MistyRose DarkSlateBlue DarkKhaki
DarkTurquoise DarkOrange Lime MediumSpringGreen Linen AliceBlue GreenYellow LightSkyBlue Salmon DodgerBlue
PowderBlue Chartreuse Green PaleTurquoise Linen DarkSlateBlue DarkRed Crimson SandyBrown OrangeRed
DodgerBlue SeaGreen Gainsboro LightSeaGreen DarkOrange Olive Cornsilk DimGray Silver Gray
gorgeous frightened smiling arrogant glamorous fragile clear obnoxious motionless poor
panicky frantic easy dull long tired lazy fancy wild perfect
joyous obedient weary innocent jolly hungry clear eager awful grotesque
unusual smoggy bad wild jolly funny exuberant cooperative healthy tame
vast careful anxious helpless sleepy real ashamed homeless dizzy breakable
old-fashioned amused stupid unusual gorgeous long misty exuberant mysterious excited
frightened drab better confused envious shiny fair wrong ill quaint
cute enthusiastic envious vivacious wrong drab courageous hilarious real blue-eyed
muddy worrisome gleaming ill energetic crazy upset alive precious disturbed
selfish creepy super magnificent average plain colorful excited innocent outstanding
clever bright kind distinct spotless obnoxious frightened talented mushy arrogant
workanimal environmental biped meat reptile beast tufted bear thoroughbred shelter
sheep ladybug mammal wild frog llamas plant rodent epizootic environmental
tiger dogs biped thoroughbred feline mythical predatoryanimal reptile mythical zooplankton
zooplankton chickens zoology amphibians pig birds reptile reptile feline epizootic
exoticanimals dinosaur zoology bird wildlife fleshly sheep pet thoroughbred animatebeing
dogs invertebrate tufted predatoryanimal clams amphibians heterotroph reptiles frog livestock
bobcat epizootic predatoryanimal wildlife object scavenger mammals embryo animal welfare frog
llamas workanimal darter mammal chickens vertebrate raccoon embryo mythical thoroughbred
bear meat creature protist dogs eukaryotic cat llamas livestock hourse
mythical fauna fauna dinosaur clams insects cat hourse cats carnivore
tufted amphibians chordate ladybug mammal farming raccoon clams invertebrate sensual
temperature__57c temperature__21c temperature__54c temperature__5c temperature__44c temperature__90c temperature__31c temperature__21c temperature__140c temperature__26c
temperature__88c temperature__87c temperature__141c temperature__87c temperature__10c temperature__51c temperature__116c temperature__118c temperature__44c temperature__130c
temperature__100c temperature__36c temperature__74c temperature__119c temperature__124c temperature__130c temperature__77c temperature__7c temperature__61c temperature__144c
temperature__119c temperature__137c temperature__26c temperature__136c temperature__24c temperature__65c temperature__131c temperature__112c temperature__44c temperature__118c
temperature__116c temperature__86c temperature__71c temperature__93c temperature__139c temperature__93c temperature__111c temperature__79c temperature__51c temperature__126c
temperature__118c temperature__148c temperature__0c temperature__139c temperature__54c temperature__73c temperature__46c temperature__27c temperature__73c temperature__50c
temperature__90c temperature__26c temperature__27c temperature__27c temperature__145c temperature__33c temperature__120c temperature__52c temperature__118c temperature__47c
temperature__86c temperature__130c temperature__8c temperature__109c temperature__50c temperature__71c temperature__123c temperature__85c temperature__130c temperature__34c
