DeepSkyBlue Wheat Orange Brown RoyalBlue Cornsilk MediumVioletRed LightCoral DarkBlue SandyBrown
CadetBlue Violet DimGray LightPink Fuchsia LavenderBlush Gray LawnGreen Blue Orchid
LemonChiffon Blue Aquamarine Gold White DarkOrchid GreenYellow NavajoWhite LightCoral DarkRed
LightCoral Tan MediumSlateBlue Azure RosyBrown DarkTurquoise MediumBlue LightSlateGray Tan MediumVioletRed
Purple SlateGray DarkSlateBlue Yellow MediumBlue PaleGoldenrod Plum VioletRed Ivory Teal
Turquoise RoyalBlue Yellow Azure LightSalmon DarkOliveGreen HotPink Red SteelBlue Olive
Lavender MediumSlateBlue MediumPurple Red SaddleBrown MediumTurquoise DarkOrange DarkGray DarkCyan Azure
Ivory LavenderBlush LightGoldenrodYellow Sienna DarkTurquoise MediumSeaGreen Fuchsia MediumOrchid CadetBlue DarkSeaGreen
Lavender Cyan Snow Ivory AliceBlue PaleTurquoise Goldenrod RoyalBlue ForestGreen DarkSlateGray
SlateGray Burlywood OliveDrab Red Violet GreenYellow PowderBlue MediumVioletRed LawnGreen Sienna
DarkFuchsia PaleTurquoise MistyRose Linen DarkOliveGreen Purple Maroon Beige OliveDrab CadetBlue
trial gangster political mob dark cop murder dark forensic terrorism
gangs punitive homeless criminals racism blackmail homeless felony drugs spy
rape psychological murder sin trafficking justice slayings shootings spy forensic
bloodshed misdemeanor poverty racism structuralism legal brutality slayings homeless homelessness
highjack action massacre homelessness structuralism illegal legislature thriller punitive cybercrime
war prostitution sentence violence genocide imprisonment criminal blackmail fraud human
arrest criminality detective country slayings crisis vandalism evidence drama suspense
trafficking action justice accident barratry thriller country psychological punishment noir
detective murder felony hijack country offense misdemeanour thriller thrillers war
misdemeanor political conspiracy missing offence cop mutilation prison shoplift drama
jurisdiction imprisonment poverty snitching lift punishment gang threats law-breaking thrillers
temperature__2c temperature__54c temperature__139c temperature__146c temperature__33c temperature__144c temperature__109c temperature__39c temperature__147c temperature__120c
