Pink DarkSlateBlue DarkSeaGreen Silver CornflowerBlue Crimson LawnGreen Moccasin DeepSkyBlue GreenYellow
Coral Linen ForestGreen GreenYellow Linen LightGreen PaleGoldenrod PaleGoldenrod Chocolate Cornsilk
LimeGreen Feldspar LightBlue VioletRed Aquamarine Peru DarkSeaGreen Beige White LightGoldenrodYellow
Orange BlanchedAlmond LightGoldenrod PaleVioletRed Thistle Feldspar Red Wheat MediumSpringGreen RoyalBlue
PaleVioletRed Gray MediumPurple LightBlue PowderBlue White Chocolate LightPink WhiteSmoke LavenderBlush
DarkOrchid DarkKhaki MediumSpringGreen LightSlateGray DarkBlue ForestGreen LightCyan LightGray PaleTurquoise CadetBlue
Plum Cornsilk DodgerBlue Black Sienna LightYellow MediumOrchid Green LightPink Seashell
AntiqueWhite DarkSalmon Tan PaleGreen MediumSpringGreen Navy SlateBlue Indigo DarkSlateGray Crimson
Snow Aquamarine MintCream AliceBlue MediumTurquoise Lavender Chartreuse Fuchsia Linen CornflowerBlue
LightGoldenrod Coral AntiqueWhite AntiqueWhite Sienna Fuchsia White ForestGreen DarkSalmon DarkCyan
SandyBrown SlateBlue Lavender SaddleBrown LightSteelBlue SpringGreen Moccasin MistyRose NavajoWhite Navy
invertebrate clams carnivore biped vertebrate farming beast invertebrate pigs iguana
tiger exoticanimals monster vertebrate fauna meat varmint insects dinosaur reptiles
creature hourse carnivore chordate environmental pet wildlife pitbull dinosaur llamas
hourse raccoon protist mammals animalkingdom sensual biped tame bird workanimal
sheep cats animals bug mythical tame zoology protist bird elephants
farming environmental sheep demon shelter epizootic shelter frog object wildlife
pet plant meat environmental carnivore poikilotherm livestock embryo pigs raccoon
workanimal beast raccoon monster sensual animal welfare bug elephants varmint wildlife
hourse reptile amphibians invertebrate elephants invertebrate multicellular pigs rodent hourse
fish biped insect bear pig birds metazoan beast mammals monster
birds zoo exoticanimals animal welfare wildlife vegan darter reptile mythical epizootic
police abuse statutory offenses mystery tort arrest poison thrillers prison
homicides guilty serial mafia war punitive gang punitive sin suspense
legal homicide political homicides revenge theft death arsons punitive cybercrime
slayings poison murder gangs victim gangs investigation criminal justice homicide
mafia punitive snitching murders country homicides homelessness prison noir statutory
action murder unsolved mystery gang racism safety gangs hijack highjack
transgression hijack robbery death barratry genocide criminality homeless guilt accident
gangs trial murder guilt supernatural trial shoplift thriller drugs muggings
lift legislature slayings forensic offenders criminal accident pirate jurisdiction law
legislature misdemeanour poverty law-breaking law homicides racism smuggle murders mob
arsons unsolved sentence felony incarceration sin cybercrime imprisonment brutality gangster
unethical rebut feud patriarchy onerous privilege deny persecution extortion empire
scapegoat benefit defamation influence plutocracy scandal fray embezzlement revelation engagement
deficit denigrate scapegoat embezzlement persecution saga partial tainted defamation dictatorship
tarnish tainted plutocracy unjust bribe extortion ignorant tarnish career unethical
