LightGreen Lime RoyalBlue Cornsilk Azure DarkSlateGray Thistle Coral HotPink LightSteelBlue
LavenderBlush Coral DarkOrchid Salmon LightGreen LavenderBlush Khaki Linen DarkGray Chartreuse
Coral Peru Orchid Wheat MediumAquamarine DarkBlue Red SaddleBrown Turquoise LightSlateGray
RoyalBlue HotPink MediumPurple Snow Peru Red AntiqueWhite SkyBlue Gray Red
DodgerBlue PowderBlue MediumAquamarine DarkGreen RoyalBlue Yellow LightCoral PeachPuff Purple Wheat
MediumPurple Cornsilk SlateGray CadetBlue LawnGreen DarkSeaGreen White SlateGray Lime Burlywood
Maroon Salmon SlateBlue Purple MediumSeaGreen Burlywood DarkGreen DarkSlateGray MidnightBlue BlanchedAlmond
Bisque Orange Coral LightYellow Ivory MintCream LimeGreen LawnGreen Brown SandyBrown
Snow Seashell Indigo MediumOrchid Navy PaleVioletRed Khaki Burlywood LightYellow LawnGreen
LightYellow SandyBrown DarkSlateBlue Orange DarkRed Indigo SkyBlue LightSlateGray Bisque Chartreuse
LawnGreen MediumAquamarine Beige Tan Aquamarine MediumTurquoise Turquoise LightSeaGreen PapayaWhip DarkRed
CubeNumber_64 CubeNumber_658503 CubeNumber_912673 CubeNumber_753571 CubeNumber_636056 CubeNumber_68921 CubeNumber_357911 CubeNumber_314432 CubeNumber_357911 CubeNumber_216000
CubeNumber_912673 CubeNumber_195112 CubeNumber_343 CubeNumber_19683 CubeNumber_4913 CubeNumber_830584 CubeNumber_287496 CubeNumber_9261 CubeNumber_1000 CubeNumber_474552
CubeNumber_512000 CubeNumber_42875 CubeNumber_17576 CubeNumber_205379 CubeNumber_1331 CubeNumber_216000 CubeNumber_216000 CubeNumber_531441 CubeNumber_456533 CubeNumber_9261
CubeNumber_328509 CubeNumber_50653 CubeNumber_59319 CubeNumber_195112 CubeNumber_314432 CubeNumber_205379 CubeNumber_10648 CubeNumber_148877 CubeNumber_29791 CubeNumber_592704
CubeNumber_658503 CubeNumber_729 CubeNumber_205379 CubeNumber_216 CubeNumber_512000 CubeNumber_15625 CubeNumber_3375 CubeNumber_438976 CubeNumber_125000 CubeNumber_79507
CubeNumber_884736 CubeNumber_10648 CubeNumber_166375 CubeNumber_343000 CubeNumber_46656 CubeNumber_681472 CubeNumber_512000 CubeNumber_636056 CubeNumber_85184 CubeNumber_216000
CubeNumber_551368 CubeNumber_389017 CubeNumber_8000 CubeNumber_117649 CubeNumber_68921 CubeNumber_884736 CubeNumber_262144 CubeNumber_421875 CubeNumber_804357 CubeNumber_27
CubeNumber_54872 CubeNumber_6859 CubeNumber_729 CubeNumber_42875 CubeNumber_300763 CubeNumber_704969 CubeNumber_729 CubeNumber_300763 CubeNumber_681472 CubeNumber_166375
CubeNumber_941192 CubeNumber_941192 CubeNumber_753571 CubeNumber_27000 CubeNumber_941192 CubeNumber_830584 CubeNumber_474552 CubeNumber_185193 CubeNumber_216000 CubeNumber_571787
CubeNumber_54872 CubeNumber_343000 CubeNumber_4913 CubeNumber_117649 CubeNumber_729 CubeNumber_59319 CubeNumber_68921 CubeNumber_857375 CubeNumber_4913 CubeNumber_857375
CubeNumber_8 CubeNumber_35937 CubeNumber_438976 CubeNumber_8 CubeNumber_166375 CubeNumber_328509 CubeNumber_68921 CubeNumber_474552 CubeNumber_3375 CubeNumber_29791
victorious real dark putrid drab innocent embarrassed drab frantic naughty
relieved confused victorious angry spotless clumsy nice clean clumsy scary
