LimeGreen Tan Linen SlateBlue PaleTurquoise Yellow MistyRose Bisque Feldspar Snow
LightSlateGray Olive DarkGray MediumSlateBlue DeepSkyBlue Olive HotPink DeepPink MediumSeaGreen Seashell
Gainsboro DarkSalmon GhostWhite Navy GreenYellow Pink Coral LightGreen LightGreen Turquoise
Indigo Honeydew SkyBlue DarkOrange Cornsilk DarkRed PaleGreen DarkViolet LightSlateGray Gainsboro
Orchid IndianRed LimeGreen LawnGreen DarkOrange Beige LightSteelBlue Sienna DarkOliveGreen MediumSpringGreen
Black Chocolate Black Goldenrod SpringGreen Plum Azure SaddleBrown LavenderBlush Coral
DarkSlateBlue CornflowerBlue CornflowerBlue SkyBlue SeaGreen Goldenrod PapayaWhip VioletRed Red Feldspar
Feldspar Chocolate Blue Thistle GreenYellow LightCoral LightSteelBlue MediumVioletRed DarkTurquoise IndianRed
Firebrick PeachPuff SpringGreen Lavender ForestGreen MintCream WhiteSmoke Linen LightBlue Lime
OldLace Lime LightSkyBlue MediumTurquoise DarkViolet MediumVioletRed DimGray Burlywood SkyBlue BlueViolet
DarkViolet Seashell DarkGoldenrod MediumPurple DarkTurquoise DarkGray Cornsilk DarkCyan Olive DarkOrange
temperature__56c temperature__58c temperature__147c temperature__82c temperature__2c temperature__82c temperature__57c temperature__40c temperature__11c temperature__10c
temperature__4c temperature__123c temperature__118c temperature__130c temperature__129c temperature__126c temperature__79c temperature__118c temperature__79c temperature__136c
temperature__6c temperature__63c temperature__53c temperature__105c temperature__40c temperature__126c temperature__65c temperature__87c temperature__79c temperature__27c
temperature__5c temperature__26c temperature__26c temperature__64c temperature__46c temperature__132c temperature__144c temperature__10c temperature__7c temperature__144c
temperature__92c temperature__16c temperature__131c temperature__88c temperature__23c temperature__40c temperature__84c temperature__120c temperature__90c temperature__123c
temperature__88c temperature__49c temperature__31c temperature__126c temperature__21c temperature__85c temperature__41c temperature__123c temperature__28c temperature__54c
temperature__4c temperature__33c temperature__93c temperature__50c temperature__7c temperature__111c temperature__100c temperature__98c temperature__57c temperature__118c
