PeachPuff Chartreuse DarkGoldenrod DarkGray SteelBlue Firebrick DarkGreen LightSkyBlue Navy SaddleBrown
DarkOrchid Salmon LightCyan SpringGreen Lime VioletRed RoyalBlue SkyBlue LimeGreen DarkOrange
Ivory SandyBrown DarkSeaGreen MediumTurquoise PowderBlue LightSlateBlue Lime Azure DarkSlateGray Cornsilk
Aquamarine Green SlateGray WhiteSmoke Gold DeepPink CornflowerBlue LightSalmon Teal LightYellow
Coral Chocolate RosyBrown LightPink GreenYellow Tomato Gainsboro Salmon Firebrick Coral
WhiteSmoke Gold MediumSpringGreen MediumSpringGreen Navy SlateGray Firebrick AliceBlue Black AliceBlue
Feldspar DeepSkyBlue LightGray MidnightBlue Azure Lime LavenderBlush DarkGray DarkViolet Teal
OliveDrab Tomato DarkSlateGray LightCyan GhostWhite Moccasin Teal HotPink Ivory LightSeaGreen
Yellow LawnGreen DarkBlue Navy OldLace IndianRed OrangeRed SlateGray DarkViolet MediumBlue
Khaki MistyRose Thistle Beige NavajoWhite Orange DodgerBlue Fuchsia PowderBlue LightGoldenrod
DimGray LightBlue Plum FloralWhite PeachPuff LimeGreen Gainsboro Red Coral Silver
Hypothalamus Nerves Arteries Lens Retina Hypothalamus Bladder Ovaries Midbrain Lymphaticvessel
Cerebellum Cornea Iris Nerves Uterus Tastebuds Ileum Earlobe Teeth Sensoryorgans
Trachea Tendons Fallopiantubes Urethra Ovaries Smallintestine Urethra Penis Cerebellum Arteries
Ureter Pharynx skeleton Thymus Lips Brain Cecum Sensoryorgans Spleen Ureter
Cornea Clitoris Sensoryorgans Earlobe Esophagus Brain Lymphaticvessel Tastebuds Ear Esophagus
Outerear Pons Innerear Teeth Ossicles skeleton Mesentery Cerebellum Veins Ureter
Spinalnerves Teeth Gallbladder Thalamus Heart Larynx Outerear Heart Bladder Penis
Outerear Ovaries Cerebrum Iris Trachea Bone  Cerebellum Mesentery Lips Veins
Largeintestine Vulva Veins Ciliarybody Innerear Sensoryorgans Fallopiantubes Ureter Uterus Bronchi
