SquareNumber_1764 SquareNumber_2809 SquareNumber_900 SquareNumber_7921 SquareNumber_1444 SquareNumber_5776 SquareNumber_4096 SquareNumber_2500 SquareNumber_576 SquareNumber_1936
SquareNumber_16 SquareNumber_4761 SquareNumber_2704 SquareNumber_7396 SquareNumber_784 SquareNumber_1764 SquareNumber_9025 SquareNumber_4225 SquareNumber_4225 SquareNumber_8836
SquareNumber_8464 SquareNumber_4900 SquareNumber_6889 SquareNumber_2704 SquareNumber_576 SquareNumber_676 SquareNumber_5184 SquareNumber_1156 SquareNumber_1225 SquareNumber_3364
SquareNumber_9 SquareNumber_9604 SquareNumber_3249 SquareNumber_5329 SquareNumber_16 SquareNumber_5329 SquareNumber_1600 SquareNumber_9409 SquareNumber_729 SquareNumber_5476
SquareNumber_3249 SquareNumber_9801 SquareNumber_2809 SquareNumber_1849 SquareNumber_6889 SquareNumber_7056 SquareNumber_36 SquareNumber_1369 SquareNumber_529 SquareNumber_4900
SquareNumber_196 SquareNumber_4900 SquareNumber_5184 SquareNumber_196 SquareNumber_361 SquareNumber_2116 SquareNumber_9604 SquareNumber_289 SquareNumber_1296 SquareNumber_8100
SquareNumber_1444 SquareNumber_6724 SquareNumber_7056 SquareNumber_576 SquareNumber_3721 SquareNumber_1681 SquareNumber_7569 SquareNumber_5625 SquareNumber_1225 SquareNumber_324
SquareNumber_3721 SquareNumber_4761 SquareNumber_196 SquareNumber_4900 SquareNumber_8836 SquareNumber_169 SquareNumber_64 SquareNumber_2916 SquareNumber_900 SquareNumber_8836
SquareNumber_1936 SquareNumber_2704 SquareNumber_4624 SquareNumber_324 SquareNumber_3969 SquareNumber_1369 SquareNumber_5041 SquareNumber_64 SquareNumber_8281 SquareNumber_5776
SquareNumber_625 SquareNumber_6241 SquareNumber_169 SquareNumber_5329 SquareNumber_361 SquareNumber_1089 SquareNumber_7225 SquareNumber_1764 SquareNumber_8100 SquareNumber_2704
SquareNumber_400 SquareNumber_169 SquareNumber_256 SquareNumber_4225 SquareNumber_6724 SquareNumber_4096 SquareNumber_7569 SquareNumber_5476 SquareNumber_441 SquareNumber_5329
temperature__108c temperature__35c temperature__2c temperature__30c temperature__124c temperature__33c temperature__70c temperature__105c temperature__21c temperature__56c
temperature__31c temperature__35c temperature__106c temperature__26c temperature__69c temperature__49c temperature__145c temperature__53c temperature__87c temperature__111c
temperature__122c temperature__139c temperature__74c temperature__71c temperature__23c temperature__116c temperature__132c temperature__31c temperature__47c temperature__106c
temperature__54c temperature__51c temperature__85c temperature__98c temperature__58c temperature__138c temperature__108c temperature__44c temperature__148c temperature__88c
temperature__142c temperature__57c temperature__24c temperature__58c temperature__90c temperature__70c temperature__33c temperature__70c temperature__0c temperature__145c
temperature__130c temperature__84c temperature__36c temperature__100c temperature__61c temperature__63c temperature__126c temperature__47c temperature__39c temperature__106c
temperature__91c temperature__16c temperature__30c temperature__109c temperature__34c temperature__26c temperature__65c temperature__8c temperature__31c temperature__130c
temperature__88c temperature__4c temperature__79c temperature__112c temperature__144c temperature__70c temperature__70c temperature__71c temperature__77c temperature__39c
temperature__79c temperature__142c temperature__120c temperature__85c temperature__77c temperature__34c temperature__33c temperature__84c temperature__108c temperature__141c
