adorable defeated gorgeous gentle plain sore thoughtful sleepy prickly horrible
sparkling cautious homely poised bored dangerous joyous gentle horrible concerned
innocent dull poor magnificent happy frightened courageous naughty breakable clean
ugly faithful homely gifted better mysterious open hungry doubtful jealous
super tender delightful encouraging colorful glorious bad zealous curious adorable
sleepy jolly selfish energetic fine ugly stupid smoggy good fair
ill vast outstanding frightened gleaming doubtful strange drab vast pleasant
vast foolish filthy uninterested graceful stormy upset calm cooperative attractive
crowded stormy cooperative innocent obnoxious tired gorgeous embarrassed jittery alert
nervous vivacious annoying obnoxious poised anxious wandering gleaming attractive smoggy
uptight obnoxious friendly mysterious vast hurt excited handsome evil vivacious
DarkRed MediumPurple Plum WhiteSmoke SaddleBrown ForestGreen Wheat LightSlateGray MediumBlue SandyBrown
MediumPurple Seashell DarkBlue DarkViolet AntiqueWhite BlueViolet MediumPurple PowderBlue Yellow Cornsilk
SpringGreen Lime LightGray AntiqueWhite PeachPuff Gainsboro OldLace Green Gray LemonChiffon
WhiteSmoke DarkRed Azure AliceBlue MediumSeaGreen MediumPurple Beige MediumTurquoise Salmon Coral
LemonChiffon Gray MediumSlateBlue LightSeaGreen Maroon MediumBlue SlateGray DarkOliveGreen Chartreuse DarkSalmon
DodgerBlue Blue Aquamarine Tan PaleGreen Black OldLace Goldenrod DarkBlue Ivory
Aquamarine Tan Thistle Thistle OrangeRed MediumSlateBlue PaleGreen BlueViolet Salmon LimeGreen
Lime LightSalmon Yellow GhostWhite Red Fuchsia PaleVioletRed LightBlue LightPink Burlywood
LightSkyBlue Peru DarkSeaGreen RoyalBlue BlueViolet LightSteelBlue Tomato LightGoldenrodYellow SlateGray DarkGoldenrod
DarkViolet Lime Indigo LawnGreen Honeydew IndianRed Chocolate PaleGreen DarkOrange DarkFuchsia
DodgerBlue GhostWhite LightSalmon Coral MediumSpringGreen DarkOrchid DarkOliveGreen OliveDrab Orange LightCyan
Loquat Pomelo Sapodilla Tayberry Raisin Plantain Grapefruit Elderberry Plum Raspberry
Lychee Currant Acerola Sapote Lime Lychee Coconut Persimmon Açaí Strawberry
Raspberry Quince Prune Pomegranate Lime Mulberry Cashew Lemon Gooseberry Grapefruit
Redcurrant Canistel Akebi Kiwano Mango Durian Soursop Cloudberry Marionberry Honeyberry
Pineberry Melon Pawpaw Breadfruit Mulberry Plantain Marionberry Passionfruit Tangerine Cherimoya
Lychee Gooseberry Kiwifruit Jostaberry Acerola Raisin Araza Cashew Nectarine Passionfruit
Longan Quince Pomelo Feijoa Date Pawpaw Papaya Jambul Marionberry Cherry
Watermelon Coconut Peach Plum Durian Apple Mulberry Pawpaw Damson Tayberry
