LemonChiffon OldLace MediumAquamarine Cyan LightPink DarkOrchid DarkGray Salmon Orange MediumTurquoise
Peru LightPink Teal Lime Moccasin SaddleBrown PowderBlue DarkOrange VioletRed Orange
Gray PowderBlue Gainsboro Violet HotPink DarkOrange Gainsboro Ivory Chocolate Chocolate
OliveDrab LightGray Pink DarkOliveGreen Sienna MintCream Orchid DeepPink SlateBlue Snow
MintCream Honeydew Brown DarkGreen AntiqueWhite DarkTurquoise LightSlateGray RoyalBlue PaleGoldenrod Gainsboro
Peru Chartreuse Azure Teal GreenYellow LightSlateGray Moccasin MediumSlateBlue BlueViolet BlanchedAlmond
LightPink PaleVioletRed Gainsboro GhostWhite RoyalBlue MediumVioletRed MediumSpringGreen MidnightBlue DarkFuchsia PeachPuff
Thistle PowderBlue Khaki LightSeaGreen MediumSlateBlue Navy Linen DarkFuchsia PaleTurquoise LightBlue
SandyBrown DarkRed MediumVioletRed Silver AntiqueWhite SaddleBrown LightBlue OliveDrab Thistle Purple
Gray AliceBlue MediumOrchid RosyBrown Green MintCream Orchid RoyalBlue Green Gainsboro
Silver Goldenrod Snow LightGoldenrod Azure LightBlue Burlywood DarkViolet DarkRed Wheat
SquareNumber_25 SquareNumber_5041 SquareNumber_225 SquareNumber_9604 SquareNumber_484 SquareNumber_121 SquareNumber_5929 SquareNumber_6889 SquareNumber_7921 SquareNumber_2025
SquareNumber_3844 SquareNumber_8100 SquareNumber_225 SquareNumber_9801 SquareNumber_7056 SquareNumber_576 SquareNumber_625 SquareNumber_1764 SquareNumber_2500 SquareNumber_256
SquareNumber_6724 SquareNumber_900 SquareNumber_36 SquareNumber_25 SquareNumber_729 SquareNumber_3481 SquareNumber_3364 SquareNumber_784 SquareNumber_9025 SquareNumber_25
SquareNumber_7921 SquareNumber_8464 SquareNumber_4900 SquareNumber_2500 SquareNumber_7396 SquareNumber_2401 SquareNumber_8649 SquareNumber_2401 SquareNumber_225 SquareNumber_8281
SquareNumber_9 SquareNumber_8464 SquareNumber_1600 SquareNumber_1296 SquareNumber_529 SquareNumber_400 SquareNumber_2025 SquareNumber_9409 SquareNumber_7225 SquareNumber_3364
SquareNumber_1764 SquareNumber_225 SquareNumber_7921 SquareNumber_361 SquareNumber_144 SquareNumber_1225 SquareNumber_6724 SquareNumber_2601 SquareNumber_9025 SquareNumber_441
SquareNumber_5329 SquareNumber_5041 SquareNumber_1936 SquareNumber_6889 SquareNumber_5625 SquareNumber_2500 SquareNumber_5476 SquareNumber_169 SquareNumber_3600 SquareNumber_324
SquareNumber_484 SquareNumber_8281 SquareNumber_961 SquareNumber_900 SquareNumber_2500 SquareNumber_7056 SquareNumber_529 SquareNumber_5625 SquareNumber_7225 SquareNumber_5929
SquareNumber_8281 SquareNumber_4761 SquareNumber_4356 SquareNumber_3249 SquareNumber_1296 SquareNumber_8464 SquareNumber_4096 SquareNumber_361 SquareNumber_64 SquareNumber_2601
SquareNumber_2025 SquareNumber_4356 SquareNumber_1024 SquareNumber_8100 SquareNumber_3600 SquareNumber_784 SquareNumber_361 SquareNumber_2500 SquareNumber_484 SquareNumber_576
SquareNumber_7225 SquareNumber_8649 SquareNumber_2304 SquareNumber_256 SquareNumber_2500 SquareNumber_4 SquareNumber_1156 SquareNumber_6724 SquareNumber_1764 SquareNumber_2116
temperature__46c temperature__10c temperature__31c temperature__8c temperature__3c temperature__105c temperature__16c temperature__120c temperature__51c temperature__39c
temperature__138c temperature__44c temperature__2c temperature__118c temperature__5c temperature__17c temperature__17c temperature__148c temperature__79c temperature__3c
temperature__79c temperature__109c temperature__145c temperature__126c temperature__42c temperature__3c temperature__118c temperature__57c temperature__138c temperature__3c
