SeaGreen Indigo Cornsilk White SkyBlue ForestGreen PaleGoldenrod Lime Chartreuse Black
Linen SaddleBrown PapayaWhip Lime LightYellow DarkSalmon Purple Fuchsia DarkKhaki DarkGoldenrod
DarkSlateBlue DarkBlue MediumSeaGreen Seashell LightSlateBlue DimGray Aquamarine LightSlateBlue Pink MediumOrchid
Purple DarkTurquoise RoyalBlue PowderBlue LemonChiffon Violet Chartreuse Gold Navy Green
LightBlue DarkGoldenrod LightCyan MediumPurple Turquoise CadetBlue MediumAquamarine PaleGoldenrod MidnightBlue LightGoldenrod
Cornsilk Yellow Silver OliveDrab LightGray DarkGray LightCoral SkyBlue SpringGreen PaleVioletRed
Navy DarkTurquoise VioletRed PaleGreen Brown PaleGoldenrod Bisque HotPink Seashell Goldenrod
MediumSpringGreen ForestGreen Sienna LightGreen Violet DodgerBlue Silver Turquoise Cornsilk BlanchedAlmond
DarkTurquoise DarkGoldenrod Plum Khaki Fuchsia Gray Silver Blue Linen PapayaWhip
Blue MediumOrchid MediumSlateBlue Orchid AliceBlue Peru Chocolate PowderBlue MistyRose PaleGoldenrod
Navy DarkOliveGreen Gray PaleGoldenrod DarkTurquoise Salmon LightSlateBlue DarkOliveGreen DarkSlateGray LightCoral
Blackberry Clementine Loganberry Apple Blueberry Watermelon Prune Lulo Mulberry Pawpaw
Araza Longan Watermelon Date Papaya Cherimoya Raisin Blueberry Marionberry Salak
Raisin Honeyberry Lulo Raspberry Salmonberry Lulo Pawpaw Clementine Boysenberry Coconut
Kumquat Lime Strawberry Grapefruit Salmonberry Akebi Jambul Araza Jostaberry Strawberry
Jambul Blackberry Jambul Ximenia Pomelo Blackcurrant Lychee Lulo Kiwifruit Grapefruit
Apricot Mango Grape Honeyberry Tangelo Lychee Damson Fig Lychee Rambutan 
Canistel Akebi Bilberry Pomelo Cherry Grape Canistel Pomelo Kumquat Abiu
Tayberry Nance Açaí Grape Pomegranate Yuzu Sapote Nectarine Acerola Salak
Pineberry Honeydew Currant Kiwano Lychee Canistel Breadfruit Strawberry Blackcurrant Elderberry
Lemon Loganberry Currant Boysenberry Akebi Melon Lulo Mulberry Nectarine Honeydew
Araza Guava Marionberry Salak Tayberry Elderberry Persimmon Apricot Avocado Salak
Pharynx Pons Ear Muscle Urethra Spinalnerves Urethra Lens Larynx Hypothalamus
skeleton Vagina Ganglia Tendons Bronchi Lungs Tongue Spinalnerves Mouth Eye
Lungs Earlobe Cecum Cerebrum Spleen Nerves Thymus Midbrain Smallintestine Hypothalamus
Gallbladder Cecum Clitoris Capillaries Stomach Innerear Bone  Cornea Ganglia Bone 
Iris Tastebuds Lips Cecum Tonsils Tendons Sensoryorgans Tendons Spinalnerves Hypothalamus
Tongue Mouth Ureter Cranialnerves Interstitium Uterus Ossicles Middleear Uterus Duodenum
Cornea Interstitium Veins Thalamus Lips Joints Ligaments Retina Ciliarybody Thalamus
Cerebellum skeleton Bladder Placenta Lymphaticvessel Duodenum Cerebrum Tendons Smallintestine Ureter
Uterus Cranialnerves Ileum Gallbladder Retina Tastebuds Scrotum Vagina Interstitium Analcanal
Ovaries Innerear Iris Tongue Outerear Analcanal Analcanal Tongue Innerear Scrotum
Lips Bronchi Rectum Bone  Lymphaticvessel Capillaries Fallopiantubes Ligaments Ovaries Tongue
thoughtless adventurous filthy doubtful handsome beautiful fragile delightful zealous lazy
old-fashioned impossible stormy alive evil dead breakable uptight hungry terrible
crazy cautious strange expensive talented tasty amused determined drab curious
careful prickly bored sleepy long bad depressed depressed alive brainy
