LightPink DarkBlue DarkKhaki SpringGreen OrangeRed SeaGreen RoyalBlue Tan Lavender Silver
Teal LightGoldenrodYellow PeachPuff DarkCyan LightPink Green Feldspar MediumTurquoise Azure PaleGreen
CadetBlue SpringGreen DarkGoldenrod Firebrick Red Seashell OrangeRed Seashell FloralWhite DarkSlateBlue
MediumSeaGreen Lime LightSlateGray OrangeRed Gainsboro Silver SandyBrown DodgerBlue SlateBlue LightSeaGreen
Gray Orange MediumPurple FloralWhite LightGray MediumOrchid Purple DarkSlateBlue Lime Orchid
Indigo LightCyan LimeGreen BlanchedAlmond ForestGreen LightPink PowderBlue PaleGreen PeachPuff LightPink
Black LightSkyBlue Chartreuse DarkOliveGreen PowderBlue Gray SlateBlue LawnGreen Salmon Teal
OrangeRed Azure OldLace DarkSalmon LightGoldenrod Teal Fuchsia AliceBlue DarkSlateGray DarkTurquoise
DarkOrange CadetBlue AntiqueWhite Linen MediumAquamarine Yellow Navy Navy DarkViolet LightGoldenrodYellow
Burlywood Green MintCream VioletRed PaleVioletRed LightPink OliveDrab Burlywood MintCream OrangeRed
Black BlanchedAlmond SandyBrown DarkGoldenrod Azure Chocolate Crimson MintCream Blue PaleTurquoise
BinaryNumber_0101100 BinaryNumber_0101111 BinaryNumber_0111001 BinaryNumber_0100001 BinaryNumber_0111011 BinaryNumber_1010011 BinaryNumber_0001110 BinaryNumber_0011110 BinaryNumber_0010110 BinaryNumber_0001001
BinaryNumber_1001010 BinaryNumber_0110011 BinaryNumber_1010011 BinaryNumber_0010010 BinaryNumber_0001100 BinaryNumber_0110110 BinaryNumber_0111100 BinaryNumber_0000111 BinaryNumber_0101101 BinaryNumber_0000000
BinaryNumber_1010011 BinaryNumber_1010010 BinaryNumber_0110011 BinaryNumber_1100001 BinaryNumber_0100011 BinaryNumber_1001100 BinaryNumber_0000110 BinaryNumber_1000111 BinaryNumber_1011100 BinaryNumber_0110000
BinaryNumber_1000111 BinaryNumber_0111010 BinaryNumber_1100010 BinaryNumber_1001000 BinaryNumber_0010111 BinaryNumber_0110011 BinaryNumber_0010110 BinaryNumber_0100011 BinaryNumber_0000110 BinaryNumber_0010001
BinaryNumber_0100010 BinaryNumber_0011111 BinaryNumber_0111100 BinaryNumber_1001101 BinaryNumber_0001010 BinaryNumber_0010111 BinaryNumber_0111100 BinaryNumber_0001011 BinaryNumber_0100010 BinaryNumber_0001011
BinaryNumber_0100011 BinaryNumber_1100010 BinaryNumber_1010001 BinaryNumber_1000110 BinaryNumber_0100100 BinaryNumber_0111100 BinaryNumber_0101111 BinaryNumber_0101001 BinaryNumber_1011110 BinaryNumber_0101010
BinaryNumber_1000000 BinaryNumber_1010111 BinaryNumber_0001100 BinaryNumber_1001010 BinaryNumber_0010001 BinaryNumber_1011101 BinaryNumber_1010000 BinaryNumber_0100101 BinaryNumber_0100010 BinaryNumber_1001010
BinaryNumber_0111101 BinaryNumber_1011100 BinaryNumber_0010000 BinaryNumber_1001101 BinaryNumber_1000011 BinaryNumber_1001001 BinaryNumber_1010111 BinaryNumber_0110110 BinaryNumber_0001101 BinaryNumber_0111011
