Gray LightSkyBlue Olive Cornsilk Moccasin LemonChiffon DeepPink LightPink LightGoldenrod PaleTurquoise
LightGray Azure White SpringGreen Tomato LightGoldenrodYellow GreenYellow Ivory DarkSlateBlue MintCream
DarkSlateBlue PaleVioletRed LightPink LightSeaGreen Thistle Honeydew Red SlateGray Thistle PaleGoldenrod
LightSlateBlue Tomato Coral DarkOrange Black SkyBlue RoyalBlue FloralWhite Peru Crimson
Beige BlueViolet LightYellow Gold PapayaWhip AliceBlue Salmon Gray LemonChiffon DarkKhaki
Feldspar Orange Brown Seashell LightCyan LightCoral PeachPuff DarkSlateGray DodgerBlue MediumBlue
Orange DarkTurquoise Honeydew DarkSalmon Pink Navy Chocolate PeachPuff LightGoldenrodYellow Blue
Firebrick LightGray Turquoise DeepSkyBlue MediumPurple Crimson LightSeaGreen MediumOrchid LemonChiffon BlueViolet
OldLace BlueViolet MediumSeaGreen Black Khaki Sienna Black PaleGreen Lime SlateBlue
LightSlateBlue Crimson Aquamarine MediumSeaGreen Maroon SkyBlue WhiteSmoke MediumSlateBlue MediumTurquoise Turquoise
Red LawnGreen Tomato Gainsboro SaddleBrown Olive PaleGoldenrod LightSalmon LawnGreen DarkGray
BinaryNumber_0110111 BinaryNumber_0001010 BinaryNumber_1011001 BinaryNumber_0000010 BinaryNumber_0011000 BinaryNumber_0101110 BinaryNumber_1100001 BinaryNumber_1100010 BinaryNumber_0100110 BinaryNumber_1010111
BinaryNumber_0111001 BinaryNumber_1011100 BinaryNumber_0101011 BinaryNumber_1011100 BinaryNumber_1001011 BinaryNumber_1011010 BinaryNumber_0010110 BinaryNumber_0100010 BinaryNumber_0100011 BinaryNumber_0010101
BinaryNumber_1011011 BinaryNumber_0010010 BinaryNumber_0100101 BinaryNumber_0111001 BinaryNumber_0010000 BinaryNumber_0010000 BinaryNumber_0111010 BinaryNumber_1001111 BinaryNumber_1011010 BinaryNumber_1011100
BinaryNumber_1010100 BinaryNumber_0001001 BinaryNumber_1001100 BinaryNumber_0100010 BinaryNumber_0011001 BinaryNumber_0111010 BinaryNumber_1000110 BinaryNumber_1010100 BinaryNumber_0001001 BinaryNumber_1100000
BinaryNumber_0100100 BinaryNumber_0011011 BinaryNumber_0001010 BinaryNumber_0010010 BinaryNumber_0010111 BinaryNumber_0011001 BinaryNumber_1010000 BinaryNumber_0111010 BinaryNumber_1011100 BinaryNumber_0000101
BinaryNumber_0100000 BinaryNumber_0101111 BinaryNumber_1100001 BinaryNumber_0000100 BinaryNumber_1100001 BinaryNumber_1000110 BinaryNumber_0110101 BinaryNumber_1010100 BinaryNumber_0011110 BinaryNumber_1001010
BinaryNumber_0011100 BinaryNumber_0001010 BinaryNumber_0101011 BinaryNumber_1100001 BinaryNumber_0101001 BinaryNumber_1001011 BinaryNumber_0010010 BinaryNumber_0111101 BinaryNumber_0111101 BinaryNumber_0111011
