animal welfare llamas fleshly fish insect chordate creature sheep animals reptiles
pitbull animatebeing chickens rabbit zoology bird pet tiger insectivore environmental
predatoryanimal insectivorous pigs pigs fantasy hourse biped workanimal heterotroph epizootic
embryo tame embryo ladybug elephants mammals carnal primate fauna primate
workanimal plant birds pet eukaryotic raccoon superdog bird animalkingdom bug
tufted wildlife shelter biped feline predatoryanimal pups raccoon domesticate dog
rabbit birds superdog animatebeing farming fish jellyfish raccoon cats mythical
insectivore elephants eukaryotic reptiles superdog pet insectivore varmint raccoon metazoan
zooplankton shelter fantasy bear pups shelter pig mammals dogs creature
pig dogs fantasy amphibians deer scavenger beast hourse bug mammal
environmental multicellular scavenger sensual bobcat carnivore varmint darter feline rodent
BinaryNumber_0111010 BinaryNumber_1100001 BinaryNumber_0010100 BinaryNumber_1001001 BinaryNumber_0011001 BinaryNumber_0001100 BinaryNumber_0011100 BinaryNumber_1010111 BinaryNumber_0010110 BinaryNumber_0101101
BinaryNumber_0101110 BinaryNumber_1000001 BinaryNumber_0110100 BinaryNumber_0000001 BinaryNumber_1100010 BinaryNumber_1000010 BinaryNumber_0110101 BinaryNumber_0101101 BinaryNumber_1000000 BinaryNumber_0111011
BinaryNumber_0110000 BinaryNumber_0101011 BinaryNumber_0101010 BinaryNumber_1000011 BinaryNumber_0010101 BinaryNumber_0010101 BinaryNumber_1000111 BinaryNumber_0100001 BinaryNumber_0001110 BinaryNumber_1000111
BinaryNumber_0100011 BinaryNumber_0001011 BinaryNumber_0010100 BinaryNumber_0101000 BinaryNumber_1100010 BinaryNumber_0000000 BinaryNumber_1010100 BinaryNumber_1010001 BinaryNumber_1001100 BinaryNumber_1010000
BinaryNumber_0100110 BinaryNumber_0011000 BinaryNumber_1100010 BinaryNumber_0111110 BinaryNumber_1001001 BinaryNumber_1001010 BinaryNumber_0111010 BinaryNumber_0111010 BinaryNumber_1001100 BinaryNumber_0000111
BinaryNumber_0011110 BinaryNumber_0001000 BinaryNumber_0000101 BinaryNumber_1001011 BinaryNumber_1010111 BinaryNumber_0101001 BinaryNumber_0010000 BinaryNumber_0000010 BinaryNumber_1000101 BinaryNumber_0000101
BinaryNumber_0101010 BinaryNumber_1100011 BinaryNumber_0000010 BinaryNumber_0100000 BinaryNumber_0010011 BinaryNumber_1010000 BinaryNumber_0101111 BinaryNumber_1000101 BinaryNumber_0001000 BinaryNumber_0000001
BinaryNumber_1010100 BinaryNumber_0001111 BinaryNumber_1011001 BinaryNumber_0100011 BinaryNumber_1100000 BinaryNumber_0111010 BinaryNumber_0101010 BinaryNumber_0110111 BinaryNumber_0001100 BinaryNumber_1001010
BinaryNumber_1001100 BinaryNumber_0001111 BinaryNumber_0001000 BinaryNumber_0001011 BinaryNumber_0101011 BinaryNumber_0101000 BinaryNumber_0111000 BinaryNumber_0111101 BinaryNumber_0101110 BinaryNumber_0001101
BinaryNumber_0100000 BinaryNumber_0101100 BinaryNumber_0111010 BinaryNumber_0001011 BinaryNumber_1010111 BinaryNumber_1100010 BinaryNumber_1010010 BinaryNumber_0111110 BinaryNumber_1001000 BinaryNumber_1100000
BinaryNumber_0101010 BinaryNumber_0011111 BinaryNumber_0000000 BinaryNumber_0001010 BinaryNumber_0010011 BinaryNumber_0001110 BinaryNumber_0111110 BinaryNumber_0001111 BinaryNumber_0101011 BinaryNumber_0101101
temperature__130c temperature__52c temperature__24c temperature__3c temperature__138c temperature__21c temperature__42c temperature__124c temperature__90c temperature__109c
temperature__142c temperature__36c temperature__49c temperature__111c temperature__132c temperature__21c temperature__129c temperature__51c temperature__57c temperature__77c
temperature__53c temperature__31c temperature__141c temperature__123c temperature__35c temperature__22c temperature__137c temperature__92c temperature__61c temperature__53c
temperature__12c temperature__145c temperature__71c temperature__53c temperature__82c temperature__111c temperature__68c temperature__42c temperature__17c temperature__53c
temperature__146c temperature__108c temperature__130c temperature__41c temperature__4c temperature__87c temperature__130c temperature__91c temperature__93c temperature__5c
temperature__41c temperature__0c temperature__69c temperature__26c temperature__2c temperature__138c temperature__4c temperature__88c temperature__47c temperature__68c
temperature__93c temperature__139c temperature__21c temperature__79c temperature__77c temperature__42c temperature__88c temperature__46c temperature__90c temperature__145c
temperature__130c temperature__23c temperature__63c temperature__50c temperature__69c temperature__33c temperature__6c temperature__74c temperature__116c temperature__131c
temperature__70c temperature__126c temperature__129c temperature__23c temperature__23c temperature__52c temperature__92c temperature__146c temperature__111c temperature__58c
temperature__39c temperature__28c temperature__141c temperature__44c temperature__112c temperature__129c temperature__61c temperature__131c temperature__122c temperature__12c
