determined jolly curious shy distinct perfect nasty attractive envious fantastic
muddy better strange super glamorous curious tame dull horrible dull
friendly drab bad alive vast distinct innocent crowded sleepy black
clear grieving frightened awful doubtful repulsive defeated itchy hilarious lonely
filthy defeated busy silly powerful dangerous ill better bloody glorious
shy enchanting anxious jittery dead jittery wandering alive spotless dangerous
putrid strange excited mysterious bright better embarrassed defiant concerned quaint
shy vivacious stormy average enthusiastic agreeable hurt hurt cruel disgusted
kind aggressive handsome disturbed concerned dizzy tasty brainy cheerful dead
glamorous splendid nervous ashamed ugliest vast mysterious bewildered zany healthy
disturbed motionless courageous defeated itchy filthy uninterested grotesque puzzled powerful
Pawpaw Tamarillo Feijoa Guava Tamarillo Tangelo Orange Lulo Ackee Longan
Peach Plum Ackee Orange Grapefruit Strawberry Marionberry Durian Date Guava
Date Yuzu Pomelo Elderberry Acerola Lulo Blueberry Jackfruit Sapote Lime
Huckleberry Longan Banana Pawpaw Tayberry Quince Pomegranate Blackcurrant Cherry Peach
Ackee Redcurrant Jackfruit Fig Watermelon Lime Pineapple Bilberry Persimmon Pear
Jambul Akebi Grape Akebi Persimmon Blackcurrant Ackee Açaí Lulo Elderberry
Tangelo Honeyberry Prune Rambutan  Plumcot Jackfruit Cantaloupe Blueberry Araza Acerola
Pomegranate Raisin Lemon Guava Cantaloupe Persimmon Abiu Lime Plum Kiwano
Kiwifruit Fig Feijoa Blackcurrant Jambul Honeyberry Tayberry Lychee Akebi Jostaberry
Jackfruit Sapote Plumcot Lemon Durian Kumquat Lime Redcurrant Grapefruit Pineapple
Jambul Tangerine Yuzu Grape Cranberry Jostaberry Apple Gooseberry Abiu Peach
temperature__98c temperature__2c temperature__49c temperature__116c temperature__112c temperature__22c temperature__7c temperature__42c temperature__131c temperature__16c
temperature__52c temperature__36c temperature__28c temperature__119c temperature__46c temperature__22c temperature__93c temperature__147c temperature__17c temperature__93c
temperature__88c temperature__85c temperature__92c temperature__84c temperature__33c temperature__2c temperature__17c temperature__84c temperature__120c temperature__130c
