SandyBrown GhostWhite FloralWhite AliceBlue LightBlue Bisque Green Plum MediumTurquoise Orchid
Gold LawnGreen PaleVioletRed OldLace CornflowerBlue Ivory LightSlateBlue LightSeaGreen Tomato ForestGreen
Orange LightCyan LightPink Coral PowderBlue Honeydew SlateGray Salmon Coral Black
Gainsboro PaleGoldenrod DarkOrchid Aquamarine Pink DarkSeaGreen LightSkyBlue MediumSpringGreen Cyan Plum
BlueViolet LightYellow Pink MediumOrchid LightGray Orchid SkyBlue Yellow PaleGoldenrod PaleVioletRed
LightGreen Silver Gold ForestGreen Seashell Purple MediumAquamarine LavenderBlush DarkGoldenrod PeachPuff
PaleTurquoise Snow DarkGreen Khaki Salmon OldLace ForestGreen MediumPurple White Violet
LightYellow Khaki RosyBrown DarkSeaGreen MediumPurple Peru GhostWhite Cornsilk MediumPurple DarkTurquoise
DarkSlateGray OrangeRed Turquoise BlanchedAlmond MediumBlue DeepSkyBlue DarkSlateGray Lavender RoyalBlue DarkGreen
GhostWhite AntiqueWhite LightGoldenrod SpringGreen Moccasin Lavender DarkViolet LightGreen MediumBlue Pink
Maroon Feldspar DarkGreen DarkSalmon LightPink LavenderBlush SpringGreen PaleVioletRed Red DimGray
temperature__63c temperature__4c temperature__16c temperature__7c temperature__100c temperature__105c temperature__111c temperature__119c temperature__42c temperature__22c
temperature__17c temperature__138c temperature__116c temperature__105c temperature__2c temperature__98c temperature__130c temperature__68c temperature__111c temperature__90c
temperature__0c temperature__119c temperature__98c temperature__63c temperature__129c temperature__73c temperature__105c temperature__8c temperature__39c temperature__54c
temperature__5c temperature__65c temperature__22c temperature__24c temperature__47c temperature__54c temperature__58c temperature__139c temperature__54c temperature__118c
temperature__141c temperature__35c temperature__39c temperature__68c temperature__131c temperature__88c temperature__138c temperature__82c temperature__31c temperature__129c
temperature__68c temperature__23c temperature__8c temperature__23c temperature__95c temperature__12c temperature__116c temperature__79c temperature__23c temperature__64c
temperature__92c temperature__8c temperature__90c temperature__129c temperature__146c temperature__74c temperature__71c temperature__116c temperature__78c temperature__147c
temperature__5c temperature__73c temperature__46c temperature__146c temperature__147c temperature__40c temperature__28c temperature__61c temperature__90c temperature__145c
temperature__148c temperature__3c temperature__46c temperature__6c temperature__95c temperature__71c temperature__91c temperature__141c temperature__40c temperature__90c
temperature__105c temperature__2c temperature__132c temperature__137c temperature__11c temperature__27c temperature__34c temperature__71c temperature__21c temperature__35c
