Cyan Peru MediumBlue MidnightBlue DarkSeaGreen MediumSeaGreen RoyalBlue GhostWhite Plum WhiteSmoke
DarkTurquoise LightGreen Black DimGray Gray Crimson Purple Olive DarkCyan Cornsilk
LightGray DarkSlateBlue PaleGoldenrod DarkGray BlanchedAlmond LightYellow Moccasin SandyBrown Khaki AntiqueWhite
DarkViolet Firebrick PowderBlue Gray Snow Coral Yellow SlateBlue LightSlateBlue RoyalBlue
Firebrick LightGray White LawnGreen HotPink Lavender LemonChiffon DarkOrchid DarkSeaGreen MediumSlateBlue
LightSeaGreen DarkSlateBlue Chocolate LightSlateBlue Bisque Red DarkGray SandyBrown HotPink FloralWhite
DarkSalmon DodgerBlue ForestGreen Firebrick PaleGoldenrod LightSalmon Burlywood OldLace MintCream Violet
AliceBlue MediumVioletRed HotPink Red MediumSpringGreen OldLace MediumTurquoise MidnightBlue LightGray DarkSeaGreen
Yellow WhiteSmoke PapayaWhip MistyRose Navy Seashell BlueViolet MediumSlateBlue Purple Peru
Beige LightGoldenrod RoyalBlue DarkSlateGray Yellow Chartreuse OliveDrab OldLace DarkSalmon Aquamarine
LavenderBlush Blue Black LightSteelBlue MistyRose MediumBlue GreenYellow MediumBlue PaleGreen Ivory
BinaryNumber_0001010 BinaryNumber_1001110 BinaryNumber_1000011 BinaryNumber_0000000 BinaryNumber_0110101 BinaryNumber_1010010 BinaryNumber_1000110 BinaryNumber_1000111 BinaryNumber_0010100 BinaryNumber_1000111
BinaryNumber_1001000 BinaryNumber_0011101 BinaryNumber_0010010 BinaryNumber_1100001 BinaryNumber_0100001 BinaryNumber_1100000 BinaryNumber_0100001 BinaryNumber_0110101 BinaryNumber_0111000 BinaryNumber_1010010
BinaryNumber_0100001 BinaryNumber_1000011 BinaryNumber_0011101 BinaryNumber_0101010 BinaryNumber_0010010 BinaryNumber_0000010 BinaryNumber_0011010 BinaryNumber_0100011 BinaryNumber_0111000 BinaryNumber_1000110
BinaryNumber_1011011 BinaryNumber_1000000 BinaryNumber_0100100 BinaryNumber_0000010 BinaryNumber_0101110 BinaryNumber_0011100 BinaryNumber_0111001 BinaryNumber_0000111 BinaryNumber_1000110 BinaryNumber_0000001
BinaryNumber_0110110 BinaryNumber_0011001 BinaryNumber_1001001 BinaryNumber_0101011 BinaryNumber_0101101 BinaryNumber_0111101 BinaryNumber_0001000 BinaryNumber_0100010 BinaryNumber_1001100 BinaryNumber_0110010
BinaryNumber_1000010 BinaryNumber_0000100 BinaryNumber_0111100 BinaryNumber_1001100 BinaryNumber_1010101 BinaryNumber_0101100 BinaryNumber_0101100 BinaryNumber_0010010 BinaryNumber_1000100 BinaryNumber_0110000
BinaryNumber_1011111 BinaryNumber_1001010 BinaryNumber_1010000 BinaryNumber_0010100 BinaryNumber_0111100 BinaryNumber_1000111 BinaryNumber_0110001 BinaryNumber_0010111 BinaryNumber_0001100 BinaryNumber_0011110
BinaryNumber_0001111 BinaryNumber_0001001 BinaryNumber_1010001 BinaryNumber_0111001 BinaryNumber_0001110 BinaryNumber_1010001 BinaryNumber_1011010 BinaryNumber_1001000 BinaryNumber_1000111 BinaryNumber_0011001
BinaryNumber_0100010 BinaryNumber_1001001 BinaryNumber_1100001 BinaryNumber_0000001 BinaryNumber_0111010 BinaryNumber_1010111 BinaryNumber_0110110 BinaryNumber_0010000 BinaryNumber_0000001 BinaryNumber_0111001
BinaryNumber_1100001 BinaryNumber_1000101 BinaryNumber_0001011 BinaryNumber_0101111 BinaryNumber_0001000 BinaryNumber_0000000 BinaryNumber_1011010 BinaryNumber_1010001 BinaryNumber_1000101 BinaryNumber_1100011
BinaryNumber_1000010 BinaryNumber_1000111 BinaryNumber_1000111 BinaryNumber_1010111 BinaryNumber_1010000 BinaryNumber_0110001 BinaryNumber_0001110 BinaryNumber_0100011 BinaryNumber_0100011 BinaryNumber_0001000
naughty bloody arrogant expensive clumsy cute wicked cruel better obnoxious
alert sleepy hilarious dead precious nice difficult disgusted open filthy
determined handsome black magnificent embarrassed dark crowded funny precious important
super puzzled quaint bloody bloody nasty bright encouraging homely sparkling
jittery odd homeless puzzled expensive grieving busy cautious ill drab
