alert elegant open expensive inexpensive foolish mushy zany wrong encouraging
itchy proud worrisome glamorous long inexpensive brave kind gifted eager
clear aggressive tender proud evil victorious eager strange faithful vivacious
frightened open excited lonely innocent pleasant difficult dull wicked envious
fair nice charming real ashamed helpful horrible open spotless evil
gentle stormy impossible jolly healthy cheerful jolly worried tense clever
wild hurt determined colorful tense unusual evil cautious upset exuberant
aggressive distinct ill frail unsightly friendly ashamed easy troubled perfect
depressed eager unsightly lucky wicked sparkling drab excited lively lively
different joyous depressed obedient thoughtful panicky poised frantic crowded expensive
cheerful calm smiling fantastic bewildered open tense lonely tough vast
BinaryNumber_1100001 BinaryNumber_0000111 BinaryNumber_0111011 BinaryNumber_0011010 BinaryNumber_0001101 BinaryNumber_0011110 BinaryNumber_1100000 BinaryNumber_1000010 BinaryNumber_1001101 BinaryNumber_0000101
BinaryNumber_1010010 BinaryNumber_0001100 BinaryNumber_0001011 BinaryNumber_0000000 BinaryNumber_0000001 BinaryNumber_0001001 BinaryNumber_0000010 BinaryNumber_1100001 BinaryNumber_0110100 BinaryNumber_0010101
BinaryNumber_1011110 BinaryNumber_0000101 BinaryNumber_1010100 BinaryNumber_0111010 BinaryNumber_1001001 BinaryNumber_1000101 BinaryNumber_0000011 BinaryNumber_0100100 BinaryNumber_0000000 BinaryNumber_0111010
BinaryNumber_0111110 BinaryNumber_1011001 BinaryNumber_0111101 BinaryNumber_1010001 BinaryNumber_0111010 BinaryNumber_1001111 BinaryNumber_0100011 BinaryNumber_0100101 BinaryNumber_1011100 BinaryNumber_1010010
BinaryNumber_0100011 BinaryNumber_1000010 BinaryNumber_1000011 BinaryNumber_0110000 BinaryNumber_0010011 BinaryNumber_1011110 BinaryNumber_1100001 BinaryNumber_0110010 BinaryNumber_0101100 BinaryNumber_0000110
BinaryNumber_0010001 BinaryNumber_1000001 BinaryNumber_1010011 BinaryNumber_1100000 BinaryNumber_0110100 BinaryNumber_1001100 BinaryNumber_0000110 BinaryNumber_0010010 BinaryNumber_0111111 BinaryNumber_1001000
BinaryNumber_0000001 BinaryNumber_0111110 BinaryNumber_0000100 BinaryNumber_0000010 BinaryNumber_0101011 BinaryNumber_0010111 BinaryNumber_0111010 BinaryNumber_1001111 BinaryNumber_0000110 BinaryNumber_1100010
BinaryNumber_1001010 BinaryNumber_1011010 BinaryNumber_1011111 BinaryNumber_0011110 BinaryNumber_0110100 BinaryNumber_1001001 BinaryNumber_0011011 BinaryNumber_1010101 BinaryNumber_0001010 BinaryNumber_0000001
BinaryNumber_0110011 BinaryNumber_0110100 BinaryNumber_0000111 BinaryNumber_0011100 BinaryNumber_0111011 BinaryNumber_0001101 BinaryNumber_1010011 BinaryNumber_0110011 BinaryNumber_0110001 BinaryNumber_0010111
