Coral Ivory LightSalmon AliceBlue DarkViolet LightSkyBlue Feldspar Peru DeepPink Wheat
MediumSlateBlue LightSteelBlue PaleTurquoise MediumPurple GreenYellow SaddleBrown LightCoral PapayaWhip MediumAquamarine Lavender
LightSalmon DarkOrange Burlywood WhiteSmoke MediumPurple PowderBlue White SkyBlue MediumOrchid MediumVioletRed
Orchid LightBlue DarkTurquoise Indigo Aquamarine DimGray Green Lime LightSlateBlue Khaki
Pink Coral SandyBrown MediumSlateBlue PeachPuff OldLace OliveDrab DarkTurquoise Purple GhostWhite
Sienna DarkKhaki OldLace OrangeRed SlateBlue DimGray DeepSkyBlue DarkRed Gray LightSlateGray
LavenderBlush LightSteelBlue BlueViolet Azure DarkFuchsia LightSteelBlue Moccasin Pink Ivory Seashell
SteelBlue Turquoise SpringGreen Fuchsia Lime Gold DarkSlateBlue LightSlateBlue LightCoral Red
DarkFuchsia Lavender NavajoWhite Chocolate Crimson LawnGreen DodgerBlue MediumSlateBlue Thistle MediumBlue
RosyBrown Burlywood MediumBlue IndianRed Firebrick VioletRed Silver MidnightBlue Coral Burlywood
Aquamarine DarkViolet DeepPink NavajoWhite DodgerBlue DarkGreen Gainsboro SaddleBrown MidnightBlue DarkCyan
BinaryNumber_1011001 BinaryNumber_1001001 BinaryNumber_1001001 BinaryNumber_0001000 BinaryNumber_0000001 BinaryNumber_1100011 BinaryNumber_0001000 BinaryNumber_0111000 BinaryNumber_0101110 BinaryNumber_1010110
BinaryNumber_0111110 BinaryNumber_1011100 BinaryNumber_0010100 BinaryNumber_1011111 BinaryNumber_1100011 BinaryNumber_0110101 BinaryNumber_1010101 BinaryNumber_0000011 BinaryNumber_0101011 BinaryNumber_0111011
BinaryNumber_0010010 BinaryNumber_1001001 BinaryNumber_0110101 BinaryNumber_1000100 BinaryNumber_0101100 BinaryNumber_0110110 BinaryNumber_1100000 BinaryNumber_0101011 BinaryNumber_1011010 BinaryNumber_0100100
BinaryNumber_0111100 BinaryNumber_0101010 BinaryNumber_0110110 BinaryNumber_0100000 BinaryNumber_0010000 BinaryNumber_1011101 BinaryNumber_1000001 BinaryNumber_0010111 BinaryNumber_0010011 BinaryNumber_0100001
BinaryNumber_0111111 BinaryNumber_0101111 BinaryNumber_0011011 BinaryNumber_0100001 BinaryNumber_1000010 BinaryNumber_1010101 BinaryNumber_1001000 BinaryNumber_1011000 BinaryNumber_0110110 BinaryNumber_1011110
BinaryNumber_0010011 BinaryNumber_0111111 BinaryNumber_0001101 BinaryNumber_0000110 BinaryNumber_0101111 BinaryNumber_0101100 BinaryNumber_1011111 BinaryNumber_0011100 BinaryNumber_1001000 BinaryNumber_0011000
