DarkKhaki BlueViolet Seashell FloralWhite White SteelBlue Wheat LightGray LightBlue LimeGreen
DarkFuchsia Purple LightGray LightCyan Khaki Salmon Violet LawnGreen Peru Black
Gainsboro Fuchsia Gray Lime DarkTurquoise Teal LimeGreen Tan Aquamarine Aquamarine
Green Black Gold MediumOrchid DeepPink Violet MintCream Snow DodgerBlue SlateGray
NavajoWhite BlanchedAlmond DarkBlue Chartreuse DeepPink SandyBrown VioletRed MediumAquamarine LawnGreen Chartreuse
Gainsboro AntiqueWhite PeachPuff DimGray PapayaWhip Navy Tomato LightYellow Fuchsia DarkSeaGreen
Yellow PaleGreen Crimson Orchid LightSteelBlue SpringGreen Blue OldLace PaleTurquoise LightGray
Black Firebrick Purple DeepPink Tan DarkKhaki LightSteelBlue Orchid Coral Indigo
White Burlywood LightPink DarkSlateBlue PapayaWhip Navy DodgerBlue Azure Cyan GreenYellow
BlueViolet AntiqueWhite Brown DarkGreen LemonChiffon MediumTurquoise Yellow MediumSeaGreen DimGray OliveDrab
Gainsboro VioletRed MediumSlateBlue LightBlue Blue Indigo Violet DarkKhaki Beige SaddleBrown
cooking meat rice restaurant edible cereal restaurant seafood nutrition cereal
victuals meals meat beef milk meals drinks cereal meal soup
meat pasta milk restaurant plant nutrient soup animal meat nourishment
plant meals cereal eat meal eat animal cooking nutrition meals
chicken nourishment plant edible nourishment provender beef rice plant eat
meals rice fruits vegetables meat cheese edible seafood fruits vegetables nutrient vegetable
meat chicken cooking plant milk chicken beef cereal seafood drinks
rice sushi chicken cooking soup drinks drinks drinks plant drinks
meal nutrient rice cooking rice fruits vegetables cheese fruit eat vegetable
restaurant meat fruits vegetables cereal nourishment cooking cooking provender meal animal
cooking cooking pasta cooking rice nourishment sushi provender cheese eat
temperature__24c temperature__86c temperature__109c temperature__77c temperature__53c temperature__119c temperature__111c temperature__39c temperature__142c temperature__88c
temperature__124c temperature__57c temperature__40c temperature__106c temperature__98c temperature__116c temperature__132c temperature__145c temperature__140c temperature__27c
temperature__64c temperature__24c temperature__30c temperature__142c temperature__30c temperature__142c temperature__84c temperature__74c temperature__65c temperature__69c
temperature__116c temperature__44c temperature__54c temperature__73c temperature__129c temperature__68c temperature__118c temperature__98c temperature__49c temperature__22c
temperature__140c temperature__34c temperature__57c temperature__140c temperature__5c temperature__78c temperature__120c temperature__77c temperature__147c temperature__58c
