SaddleBrown MediumSeaGreen Chartreuse MediumSpringGreen DarkOliveGreen Chocolate DarkOrange DarkFuchsia LavenderBlush DarkTurquoise
PaleVioletRed MediumPurple DarkOrchid DeepSkyBlue LightCyan DarkGreen Yellow MediumSpringGreen HotPink VioletRed
LightSkyBlue LightSalmon Fuchsia DarkOrange Blue SkyBlue Thistle DarkSlateGray MediumBlue LightSkyBlue
Navy Lime Black DarkViolet DarkGray Moccasin Fuchsia Pink DarkCyan LightSlateGray
PapayaWhip DimGray LimeGreen DarkFuchsia Tan Purple Maroon DarkCyan Snow CadetBlue
LightCoral DarkSlateBlue LightGreen Honeydew SeaGreen PaleGreen RoyalBlue OrangeRed CornflowerBlue PeachPuff
Lime Azure Tomato SeaGreen Chocolate LightSeaGreen GreenYellow Gainsboro LightSalmon DimGray
Ivory LightYellow LightCoral OrangeRed LightYellow Sienna Orange LightCoral OliveDrab DarkCyan
Purple DarkKhaki Black White Azure Salmon Salmon DodgerBlue Black SkyBlue
DarkBlue Brown Linen Turquoise Linen LightYellow Brown Brown LightGoldenrodYellow Firebrick
DarkGray MidnightBlue ForestGreen White Ivory DarkGoldenrod LimeGreen Sienna DeepSkyBlue LemonChiffon
BinaryNumber_1000111 BinaryNumber_1001101 BinaryNumber_1001110 BinaryNumber_1001101 BinaryNumber_1000101 BinaryNumber_0000101 BinaryNumber_0001010 BinaryNumber_0110011 BinaryNumber_0100001 BinaryNumber_0011100
BinaryNumber_0011100 BinaryNumber_0001100 BinaryNumber_1010101 BinaryNumber_1010111 BinaryNumber_0110110 BinaryNumber_0100000 BinaryNumber_0011111 BinaryNumber_0110011 BinaryNumber_0111100 BinaryNumber_0001100
BinaryNumber_0001011 BinaryNumber_0100001 BinaryNumber_1000001 BinaryNumber_0001100 BinaryNumber_0000000 BinaryNumber_0000001 BinaryNumber_0000001 BinaryNumber_0011101 BinaryNumber_0011101 BinaryNumber_0010101
BinaryNumber_0001101 BinaryNumber_1010000 BinaryNumber_1001001 BinaryNumber_1010111 BinaryNumber_0011011 BinaryNumber_0111101 BinaryNumber_0011101 BinaryNumber_1001000 BinaryNumber_0010110 BinaryNumber_1011110
BinaryNumber_0110110 BinaryNumber_0011010 BinaryNumber_1001000 BinaryNumber_0010010 BinaryNumber_1000110 BinaryNumber_0011000 BinaryNumber_0000110 BinaryNumber_1000001 BinaryNumber_1100010 BinaryNumber_0000000
BinaryNumber_0101111 BinaryNumber_0001011 BinaryNumber_0111110 BinaryNumber_1100010 BinaryNumber_0001001 BinaryNumber_0111001 BinaryNumber_1100000 BinaryNumber_0000011 BinaryNumber_0110001 BinaryNumber_1001011
BinaryNumber_0001101 BinaryNumber_0000101 BinaryNumber_1011101 BinaryNumber_0010111 BinaryNumber_0011100 BinaryNumber_0011101 BinaryNumber_1010011 BinaryNumber_0010001 BinaryNumber_0001100 BinaryNumber_0111100
BinaryNumber_0101011 BinaryNumber_1000011 BinaryNumber_0110010 BinaryNumber_1000010 BinaryNumber_0001101 BinaryNumber_0111010 BinaryNumber_1011011 BinaryNumber_0010100 BinaryNumber_1001001 BinaryNumber_0001010
BinaryNumber_0101000 BinaryNumber_0010010 BinaryNumber_0101011 BinaryNumber_0001110 BinaryNumber_0101010 BinaryNumber_0111000 BinaryNumber_0111010 BinaryNumber_0000100 BinaryNumber_0111110 BinaryNumber_0011000
BinaryNumber_0101110 BinaryNumber_0111100 BinaryNumber_1000010 BinaryNumber_0101111 BinaryNumber_0000100 BinaryNumber_0111010 BinaryNumber_0111001 BinaryNumber_0111111 BinaryNumber_0110011 BinaryNumber_1000001
BinaryNumber_1001101 BinaryNumber_0101110 BinaryNumber_0100001 BinaryNumber_0101101 BinaryNumber_0010110 BinaryNumber_0101101 BinaryNumber_1011000 BinaryNumber_0010101 BinaryNumber_0010001 BinaryNumber_1100011
Pear Currant Strawberry Kiwano Damson Tangerine Honeyberry Prune Araza Elderberry
Feijoa Lime Watermelon Feijoa Kiwifruit Pomegranate Elderberry Kiwano Lulo Jackfruit
Tamarind Blackberry Orange Quince Banana Bilberry Peach Lulo Date Cloudberry
Satsuma Cherry Bilberry Passionfruit Blueberry Watermelon Blackcurrant Bilberry Pear Pineapple
Feijoa Tayberry Canistel Huckleberry Cantaloupe Rambutan  Pineapple Pomegranate Avocado Bilberry
Breadfruit Apricot Pineberry Jostaberry Plantain Banana Lulo Satsuma Raisin Quince
Jackfruit Lulo Tangerine Loquat Cashew Tayberry Honeydew Gooseberry Grapefruit Abiu
Clementine Ackee Cherry Rambutan  Salmonberry Boysenberry Cantaloupe Pear Redcurrant Ximenia
Damson Honeyberry Abiu Lychee Melon Akebi Salak Peach Guava Guava
Jostaberry Abiu Honeyberry Salmonberry Pineapple Apricot Acerola Kiwifruit Tamarillo Ackee
Kumquat Fig Tamarillo Huckleberry Kiwano Blackcurrant Blueberry Mangosteen Date Tamarind
Pons Vagina Tendons Mesentery Larynx Clitoris Cochlea Cranialnerves Teeth Ileum
Arteries Ileum Thymus Liver Bone  Heart Rectum Earlobe Cerebrum Vagina
Ureter Nerves Liver Heart Ciliarybody Brain Hypothalamus Cranialnerves Lymphaticvessel Eardrum
Tendons Bone  Nerves Cerebellum Innerear Brain Jejunum Cecum Eardrum Bladder
Bladder Outerear Lymphaticvessel Ciliarybody Scrotum Ileum skeleton Spleen Tongue Uterus
Earlobe Cecum Smallintestine Kidneys Duodenum Clitoris Largeintestine Capillaries Pons Iris
Stomach Trachea Trachea Jejunum Cervix Ciliarybody skeleton Uterus Tastebuds Bone 
