gentle defeated uptight poor frantic talented thoughtless creepy grotesque easy
lively perfect cute thoughtful zealous sparkling agreeable selfish joyous clumsy
glorious famous glorious modern rich drab average nasty clear vivacious
easy gorgeous different sparkling excited depressed sleepy inexpensive dull excited
mushy grotesque smiling black tasty ugliest important muddy putrid thoughtful
cute disgusted grotesque putrid exuberant alert easy confused super sore
outrageous lonely famous thoughtless famous grotesque average rich annoyed jolly
envious confused eager distinct fantastic crowded hilarious powerful gifted hurt
fair muddy jolly nervous thankful impossible sparkling ashamed cute difficult
crazy different agreeable mushy lonely handsome disturbed charming nasty elegant
terrible angry light unusual gifted spotless putrid annoyed lonely comfortable
BinaryNumber_0001011 BinaryNumber_0110011 BinaryNumber_1100011 BinaryNumber_1011011 BinaryNumber_0001011 BinaryNumber_0111011 BinaryNumber_0110100 BinaryNumber_0111101 BinaryNumber_0110110 BinaryNumber_0111101
BinaryNumber_0000111 BinaryNumber_1011010 BinaryNumber_0010110 BinaryNumber_0101111 BinaryNumber_0010100 BinaryNumber_0101001 BinaryNumber_1010101 BinaryNumber_1001110 BinaryNumber_0101100 BinaryNumber_1011011
BinaryNumber_0000010 BinaryNumber_0010011 BinaryNumber_0111011 BinaryNumber_0010001 BinaryNumber_1010010 BinaryNumber_0010111 BinaryNumber_0011100 BinaryNumber_0010000 BinaryNumber_0101111 BinaryNumber_0011110
BinaryNumber_0010001 BinaryNumber_0111100 BinaryNumber_0011000 BinaryNumber_1100000 BinaryNumber_0000111 BinaryNumber_0110101 BinaryNumber_1000011 BinaryNumber_0110000 BinaryNumber_0011110 BinaryNumber_1010110
BinaryNumber_0001000 BinaryNumber_1100010 BinaryNumber_0111000 BinaryNumber_1100011 BinaryNumber_0000010 BinaryNumber_0011100 BinaryNumber_0110110 BinaryNumber_0001010 BinaryNumber_0100111 BinaryNumber_0001000
BinaryNumber_1001100 BinaryNumber_0000100 BinaryNumber_1011111 BinaryNumber_1000000 BinaryNumber_1100010 BinaryNumber_0001101 BinaryNumber_1001001 BinaryNumber_0000010 BinaryNumber_0001111 BinaryNumber_0001101
