Turquoise SeaGreen Honeydew Peru MistyRose Blue MintCream Chartreuse Teal Azure
Firebrick OldLace Gray MediumVioletRed FloralWhite Khaki DarkOliveGreen Salmon Navy LawnGreen
LightGoldenrod DarkOrchid Firebrick LawnGreen Pink MediumAquamarine Crimson LemonChiffon Snow Gainsboro
Cornsilk Violet MediumTurquoise WhiteSmoke DarkOliveGreen LightPink LightYellow Silver Purple DarkBlue
VioletRed LightGreen LightPink DarkTurquoise Fuchsia LemonChiffon Seashell DarkOliveGreen Aquamarine MediumSpringGreen
DeepSkyBlue Honeydew Chartreuse DarkOrchid MidnightBlue Red OrangeRed AntiqueWhite LightSlateBlue DarkRed
DeepPink LightSeaGreen AliceBlue GhostWhite Fuchsia White Lime MediumOrchid Orchid Green
LightGoldenrodYellow PeachPuff Khaki Teal DarkBlue Ivory Gold PaleGoldenrod Coral VioletRed
MediumSeaGreen MediumTurquoise Aquamarine Feldspar NavajoWhite DarkGray Teal PeachPuff BlueViolet LawnGreen
Gold SteelBlue Orange Maroon DeepPink Chartreuse Navy PaleTurquoise MediumTurquoise DarkOrchid
LightGray Lime ForestGreen HotPink LightSkyBlue CornflowerBlue MediumSpringGreen SkyBlue Turquoise DarkViolet
BinaryNumber_1100011 BinaryNumber_0000011 BinaryNumber_1100011 BinaryNumber_1001101 BinaryNumber_1001110 BinaryNumber_0100011 BinaryNumber_1100001 BinaryNumber_1010011 BinaryNumber_1011110 BinaryNumber_1000110
BinaryNumber_1001101 BinaryNumber_1000101 BinaryNumber_0011000 BinaryNumber_0000000 BinaryNumber_1001011 BinaryNumber_1010000 BinaryNumber_0001001 BinaryNumber_0111010 BinaryNumber_0111011 BinaryNumber_0011000
BinaryNumber_0001010 BinaryNumber_1100000 BinaryNumber_1001101 BinaryNumber_1011000 BinaryNumber_1000100 BinaryNumber_0000010 BinaryNumber_0110100 BinaryNumber_0111110 BinaryNumber_1000100 BinaryNumber_0011010
BinaryNumber_0101000 BinaryNumber_1010110 BinaryNumber_0101000 BinaryNumber_0110001 BinaryNumber_0111110 BinaryNumber_0011000 BinaryNumber_0100111 BinaryNumber_0100101 BinaryNumber_0111101 BinaryNumber_0100111
BinaryNumber_1000111 BinaryNumber_0010100 BinaryNumber_0001011 BinaryNumber_1010011 BinaryNumber_0010100 BinaryNumber_1000111 BinaryNumber_0000110 BinaryNumber_1001011 BinaryNumber_0100111 BinaryNumber_0111001
BinaryNumber_0100000 BinaryNumber_0111100 BinaryNumber_0101000 BinaryNumber_0010101 BinaryNumber_1010111 BinaryNumber_0100000 BinaryNumber_1001100 BinaryNumber_0011001 BinaryNumber_0101101 BinaryNumber_0010010
BinaryNumber_1001110 BinaryNumber_1001100 BinaryNumber_0000111 BinaryNumber_0110001 BinaryNumber_1001001 BinaryNumber_0101011 BinaryNumber_0110000 BinaryNumber_0001011 BinaryNumber_1011001 BinaryNumber_1001111
