Silver DarkKhaki LightSteelBlue DarkSlateGray FloralWhite LawnGreen LightBlue Olive Cyan LightYellow
SpringGreen PapayaWhip LawnGreen DarkRed Sienna LavenderBlush Blue Sienna DimGray Purple
DeepSkyBlue DarkOliveGreen LightSlateBlue PaleVioletRed BlanchedAlmond MediumBlue Brown MediumVioletRed Orchid BlueViolet
Peru Lime MediumSeaGreen LightGreen MediumTurquoise OliveDrab Violet LightYellow LimeGreen Olive
DimGray Peru LightGoldenrodYellow Coral Moccasin NavajoWhite FloralWhite Gray Teal IndianRed
Snow Feldspar Orange IndianRed Gray LightSkyBlue DarkSalmon LightBlue White Beige
Blue DarkFuchsia PaleGreen DarkOrange MediumSeaGreen LightGoldenrod Lavender AliceBlue Peru MidnightBlue
PapayaWhip MintCream OldLace DarkViolet CadetBlue NavajoWhite LavenderBlush LawnGreen SaddleBrown DeepPink
Orange DimGray Pink DarkOrchid DarkGreen DarkGoldenrod DarkBlue Moccasin WhiteSmoke Lavender
LavenderBlush DarkOliveGreen Coral DarkSalmon LemonChiffon Tomato Pink DeepPink Goldenrod CadetBlue
Maroon Teal Plum Seashell LightYellow Violet Peru Black DeepPink LightSlateBlue
extortion acolyte denigrate endorsement engagement retaliation persecution massive plagiarism coterie
corruption tarnish scapegoat demagogue reckless tainted resignation influence illegal tycoon
recrimination deception covert plutocracy career influence deception illegal debacle tycoon
accusation expose career acolyte chicanery rebut corruption scandal patriarchy allegation
laconic conceal embezzlement bribe prestidigitation intimidation benefit empire revelation impunity
impunity massive onerous allegation accusation rebut massive debacle ignorant benefit
prestidigitation partial expose engagement patriarchy infringement massive plagiarism debacle revelation
feud denigrate acolyte deny lobby rebut patronage resignation deflect empire
massive coterie unethical parry rebut empire plagiarism embezzlement coterie deflect
obscure endorsement obscure benefit solicit mercurial denigrate influence tycoon revelation
sloth claim patriarchy benefit feud illicit patriarchy impunity acolyte revelation
