careful fantastic good mushy odd jealous fragile black jolly bored
spotless amused terrible encouraging silly better grieving jolly old-fashioned open
brainy misty disgusted wrong easy old-fashioned blushing glamorous victorious sparkling
lonely alive mushy shy magnificent friendly tough wide-eyed puzzled creepy
friendly glorious careful panicky colorful vivacious inexpensive precious cautious angry
sparkling crowded fantastic careful worried average naughty evil friendly confused
successful cooperative lovely victorious combative happy black famous cooperative encouraging
horrible expensive obnoxious repulsive energetic brainy gorgeous blue-eyed excited thoughtless
misty foolish elated nice hungry grumpy ill cruel joyous obedient
stupid mushy homely charming perfect cooperative faithful impossible ugliest old-fashioned
alert lazy energetic energetic plain super weary hungry outstanding nutty
temperature__84c temperature__124c temperature__40c temperature__79c temperature__95c temperature__22c temperature__23c temperature__42c temperature__140c temperature__34c
temperature__31c temperature__21c temperature__33c temperature__46c temperature__90c temperature__130c temperature__14c temperature__36c temperature__17c temperature__73c
temperature__69c temperature__61c temperature__53c temperature__35c temperature__2c temperature__4c temperature__77c temperature__65c temperature__12c temperature__106c
temperature__23c temperature__0c temperature__69c temperature__140c temperature__137c temperature__129c temperature__116c temperature__69c temperature__112c temperature__91c
temperature__145c temperature__98c temperature__90c temperature__85c temperature__70c temperature__92c temperature__137c temperature__98c temperature__12c temperature__120c
temperature__52c temperature__58c temperature__68c temperature__142c temperature__87c temperature__5c temperature__41c temperature__120c temperature__46c temperature__95c
temperature__138c temperature__85c temperature__69c temperature__27c temperature__36c temperature__17c temperature__119c temperature__98c temperature__24c temperature__132c
temperature__23c temperature__79c temperature__11c temperature__28c temperature__74c temperature__124c temperature__148c temperature__36c temperature__82c temperature__148c
temperature__52c temperature__137c temperature__148c temperature__41c temperature__136c temperature__14c temperature__129c temperature__16c temperature__7c temperature__3c
temperature__57c temperature__46c temperature__126c temperature__139c temperature__116c temperature__93c temperature__112c temperature__63c temperature__39c temperature__68c
temperature__59c temperature__118c temperature__106c temperature__50c temperature__91c temperature__57c temperature__65c temperature__2c temperature__106c temperature__74c
SquareNumber_16 SquareNumber_676 SquareNumber_9801 SquareNumber_4225 SquareNumber_3481 SquareNumber_8100 SquareNumber_1225 SquareNumber_576 SquareNumber_3969 SquareNumber_2116
SquareNumber_5625 SquareNumber_4356 SquareNumber_3969 SquareNumber_5476 SquareNumber_1024 SquareNumber_3025 SquareNumber_3025 SquareNumber_484 SquareNumber_2601 SquareNumber_2601
SquareNumber_9 SquareNumber_7225 SquareNumber_7569 SquareNumber_7396 SquareNumber_5184 SquareNumber_1600 SquareNumber_6561 SquareNumber_289 SquareNumber_81 SquareNumber_3844
SquareNumber_8836 SquareNumber_64 SquareNumber_49 SquareNumber_625 SquareNumber_8281 SquareNumber_6561 SquareNumber_1089 SquareNumber_196 SquareNumber_361 SquareNumber_2401
SquareNumber_729 SquareNumber_81 SquareNumber_6084 SquareNumber_7744 SquareNumber_2209 SquareNumber_1225 SquareNumber_2809 SquareNumber_4900 SquareNumber_8836 SquareNumber_6561
SquareNumber_2401 SquareNumber_8464 SquareNumber_5184 SquareNumber_25 SquareNumber_1681 SquareNumber_1936 SquareNumber_256 SquareNumber_1089 SquareNumber_8100 SquareNumber_1296
SquareNumber_2916 SquareNumber_4225 SquareNumber_4 SquareNumber_961 SquareNumber_1156 SquareNumber_7569 SquareNumber_7744 SquareNumber_196 SquareNumber_4900 SquareNumber_16
SquareNumber_676 SquareNumber_784 SquareNumber_2916 SquareNumber_196 SquareNumber_4761 SquareNumber_484 SquareNumber_5929 SquareNumber_49 SquareNumber_7225 SquareNumber_529
SquareNumber_121 SquareNumber_1156 SquareNumber_9216 SquareNumber_10000 SquareNumber_8649 SquareNumber_121 SquareNumber_8464 SquareNumber_400 SquareNumber_4900 SquareNumber_196
SquareNumber_7569 SquareNumber_2916 SquareNumber_625 SquareNumber_1225 SquareNumber_8281 SquareNumber_3844 SquareNumber_4624 SquareNumber_1681 SquareNumber_5776 SquareNumber_5329
SquareNumber_225 SquareNumber_100 SquareNumber_8100 SquareNumber_1369 SquareNumber_8281 SquareNumber_8464 SquareNumber_400 SquareNumber_729 SquareNumber_2401 SquareNumber_6400
