Purple Ivory Pink SpringGreen DarkSalmon Sienna PowderBlue Olive Green Gainsboro
PaleGoldenrod DarkRed Chartreuse Cyan Silver LightSalmon LimeGreen LightGoldenrod FloralWhite Wheat
Lime DarkSlateBlue LightSeaGreen LightCyan LawnGreen Blue GreenYellow DarkCyan PaleGoldenrod Gold
DarkGoldenrod LightBlue DodgerBlue Violet DarkOrchid LightSteelBlue Firebrick BlanchedAlmond LimeGreen Crimson
Gainsboro DarkGreen CadetBlue DarkSlateGray CadetBlue Firebrick PaleGreen OrangeRed Teal Brown
SlateGray LightSlateGray MediumSlateBlue MidnightBlue Navy DarkSeaGreen PaleVioletRed MediumAquamarine Azure DarkSlateBlue
RosyBrown DarkViolet LightBlue Orchid LightSlateGray ForestGreen OliveDrab LightSlateGray MediumVioletRed FloralWhite
Olive Brown DimGray SkyBlue Green MediumAquamarine Feldspar MediumSlateBlue LightSlateBlue OliveDrab
Crimson Fuchsia LightPink DeepPink Orchid LemonChiffon Teal LawnGreen LightSeaGreen Silver
Tomato SlateBlue DarkOrange PaleVioletRed LightGoldenrodYellow DarkFuchsia OliveDrab LightSlateGray White MediumTurquoise
DeepPink Firebrick SlateGray Gray Lavender PaleVioletRed Gray LimeGreen DarkSalmon DeepSkyBlue
BinaryNumber_1010100 BinaryNumber_0101111 BinaryNumber_0010011 BinaryNumber_0110100 BinaryNumber_1001100 BinaryNumber_1010110 BinaryNumber_0101100 BinaryNumber_0100010 BinaryNumber_0000110 BinaryNumber_0111010
BinaryNumber_0000111 BinaryNumber_0110101 BinaryNumber_0111111 BinaryNumber_0011010 BinaryNumber_0011100 BinaryNumber_0100010 BinaryNumber_0100001 BinaryNumber_0000110 BinaryNumber_0011100 BinaryNumber_1010011
BinaryNumber_1011101 BinaryNumber_0101010 BinaryNumber_0100010 BinaryNumber_1000010 BinaryNumber_1000010 BinaryNumber_1001000 BinaryNumber_0001010 BinaryNumber_0110010 BinaryNumber_0000000 BinaryNumber_1100010
BinaryNumber_0111101 BinaryNumber_0000110 BinaryNumber_0111111 BinaryNumber_0000010 BinaryNumber_1010000 BinaryNumber_0000111 BinaryNumber_0101011 BinaryNumber_0110110 BinaryNumber_0111010 BinaryNumber_1001101
BinaryNumber_1001011 BinaryNumber_0101010 BinaryNumber_0111101 BinaryNumber_0110000 BinaryNumber_0110101 BinaryNumber_0001111 BinaryNumber_0101000 BinaryNumber_1011111 BinaryNumber_0011010 BinaryNumber_0000111
BinaryNumber_0111010 BinaryNumber_0000101 BinaryNumber_0001010 BinaryNumber_1001010 BinaryNumber_0101101 BinaryNumber_0010000 BinaryNumber_0111101 BinaryNumber_0001011 BinaryNumber_1011101 BinaryNumber_1000110
BinaryNumber_0001011 BinaryNumber_1011111 BinaryNumber_0000011 BinaryNumber_1000010 BinaryNumber_1000010 BinaryNumber_1010101 BinaryNumber_0101101 BinaryNumber_0001110 BinaryNumber_0001010 BinaryNumber_1010000
BinaryNumber_0010011 BinaryNumber_0110010 BinaryNumber_0011110 BinaryNumber_0100101 BinaryNumber_0000111 BinaryNumber_0100110 BinaryNumber_0000101 BinaryNumber_0000011 BinaryNumber_0101001 BinaryNumber_0101011
BinaryNumber_0110101 BinaryNumber_0011111 BinaryNumber_1011010 BinaryNumber_0101100 BinaryNumber_0101011 BinaryNumber_0010000 BinaryNumber_0011011 BinaryNumber_0010011 BinaryNumber_0110011 BinaryNumber_0000000
BinaryNumber_0000000 BinaryNumber_1010101 BinaryNumber_0011110 BinaryNumber_1100001 BinaryNumber_0100110 BinaryNumber_1011101 BinaryNumber_1001001 BinaryNumber_0110101 BinaryNumber_0000011 BinaryNumber_0110111
BinaryNumber_0111011 BinaryNumber_0101111 BinaryNumber_0000000 BinaryNumber_1000001 BinaryNumber_0011111 BinaryNumber_1010010 BinaryNumber_0111101 BinaryNumber_1100011 BinaryNumber_0101111 BinaryNumber_1000111
