Retina skeleton Mouth Lips Cecum Gallbladder Brain Interstitium Pharynx Vagina
Mouth Largeintestine Tonsils Veins Eardrum Ileum Larynx skeleton Midbrain Hypothalamus
Ureter Thymus Innerear Pancreas Fallopiantubes Mesentery Jejunum Ovaries Cecum Lens
Capillaries Ganglia Thymus Sensoryorgans Capillaries Rectum Pharynx Spleen Mouth Lungs
Brain Vulva Gallbladder Stomach Middleear Smallintestine Lips Cerebellum Larynx Pharynx
Iris Hypothalamus Tendons Liver Trachea Joints Interstitium Cervix Esophagus Pharynx
Cervix Trachea Lens Innerear Ganglia Kidneys Kidneys Largeintestine Ureter Kidneys
Fallopiantubes Capillaries Cornea Mesentery Thalamus Pons Ganglia Tonsils Tongue Tongue
Ossicles Nerves Heart Tonsils Joints Ossicles Tongue Liver Trachea Urethra
Largeintestine Largeintestine Teeth Iris Tendons Midbrain Arteries Ossicles Innerear Bone 
Interstitium Ear Middleear Lens Ciliarybody Duodenum Midbrain Lymphaticvessel Outerear Pharynx
Turquoise Seashell SkyBlue DimGray Turquoise DarkGreen OldLace PaleGreen LightYellow Tan
SkyBlue CornflowerBlue DarkViolet LightGoldenrod LightGoldenrodYellow MediumSlateBlue Azure MediumTurquoise Cyan Seashell
Gray Moccasin LightSalmon OrangeRed Violet DarkSeaGreen PeachPuff DarkOrange RoyalBlue PeachPuff
SlateGray SandyBrown DarkOliveGreen Salmon SteelBlue Orange Aquamarine Black LightSeaGreen ForestGreen
OrangeRed SteelBlue Lavender Maroon OliveDrab GreenYellow MediumPurple Bisque Coral Cornsilk
LightGray PaleVioletRed IndianRed Chocolate PaleGoldenrod DarkOrange LightBlue Thistle PeachPuff MediumPurple
DarkSlateBlue DimGray Black DarkSlateGray Sienna DarkRed RosyBrown DarkGray DarkSeaGreen Brown
DarkOliveGreen Maroon DarkSalmon DeepSkyBlue SeaGreen MintCream MidnightBlue DarkSlateGray Sienna Goldenrod
MistyRose Maroon Seashell SandyBrown LightSlateGray OliveDrab RosyBrown AntiqueWhite DarkSlateBlue DarkBlue
Tan SlateBlue DeepPink LightCyan Moccasin Goldenrod MediumBlue Burlywood Honeydew MediumPurple
SkyBlue OliveDrab DarkViolet MintCream Bisque CornflowerBlue DeepPink VioletRed MediumPurple MediumSlateBlue
BinaryNumber_0000111 BinaryNumber_1011111 BinaryNumber_0110010 BinaryNumber_1011110 BinaryNumber_1010101 BinaryNumber_0000100 BinaryNumber_1010100 BinaryNumber_0011011 BinaryNumber_1000100 BinaryNumber_0110010
BinaryNumber_0110101 BinaryNumber_0010100 BinaryNumber_0101001 BinaryNumber_1010101 BinaryNumber_1100000 BinaryNumber_0011011 BinaryNumber_1000110 BinaryNumber_1011100 BinaryNumber_1100000 BinaryNumber_0111111
BinaryNumber_1001110 BinaryNumber_1001110 BinaryNumber_1001011 BinaryNumber_1011100 BinaryNumber_1001111 BinaryNumber_1000101 BinaryNumber_0000100 BinaryNumber_0011000 BinaryNumber_0001011 BinaryNumber_0001011
