cheerful blue-eyed tough awful anxious zealous sparkling hungry shiny spotless
puzzled excited blue-eyed quaint lazy thoughtless disturbed easy ugly homely
wicked tough evil courageous grumpy stormy ugliest obnoxious wrong talented
different nasty vast dead weary gifted worrisome bright worrisome smiling
good delightful outrageous dizzy tired putrid embarrassed dead talented better
foolish gleaming relieved fine different upset sleepy itchy sparkling misty
nice dizzy gifted shiny dangerous quaint fine muddy outstanding jealous
uninterested scary dull elated outrageous colorful funny old-fashioned brave pleasant
bright amused vast strange poised horrible tough silly combative expensive
alive obedient dizzy silly glamorous hilarious mysterious elated bloody nutty
determined hilarious jealous crowded outrageous light delightful adventurous nutty eager
BinaryNumber_0010001 BinaryNumber_1011100 BinaryNumber_1001100 BinaryNumber_0101011 BinaryNumber_1100010 BinaryNumber_0100100 BinaryNumber_1000100 BinaryNumber_0111010 BinaryNumber_0100000 BinaryNumber_0010100
BinaryNumber_0110000 BinaryNumber_1001011 BinaryNumber_1010111 BinaryNumber_0111010 BinaryNumber_0001011 BinaryNumber_0001000 BinaryNumber_0000111 BinaryNumber_0000110 BinaryNumber_0010010 BinaryNumber_0010101
BinaryNumber_1100011 BinaryNumber_1010110 BinaryNumber_0011001 BinaryNumber_1000111 BinaryNumber_1010111 BinaryNumber_1011111 BinaryNumber_0110101 BinaryNumber_0101101 BinaryNumber_1001111 BinaryNumber_0011110
BinaryNumber_1000001 BinaryNumber_0001100 BinaryNumber_1001000 BinaryNumber_0011101 BinaryNumber_0001111 BinaryNumber_1011101 BinaryNumber_0100001 BinaryNumber_0001111 BinaryNumber_0111010 BinaryNumber_1011110
BinaryNumber_0010010 BinaryNumber_1000000 BinaryNumber_0100001 BinaryNumber_0001001 BinaryNumber_0011000 BinaryNumber_1011010 BinaryNumber_0111011 BinaryNumber_0000111 BinaryNumber_1010101 BinaryNumber_0011101
BinaryNumber_1100001 BinaryNumber_0100001 BinaryNumber_1100001 BinaryNumber_0111101 BinaryNumber_0001111 BinaryNumber_0101011 BinaryNumber_0010101 BinaryNumber_1000010 BinaryNumber_1100010 BinaryNumber_0001110
BinaryNumber_0111111 BinaryNumber_0010111 BinaryNumber_0101101 BinaryNumber_0100000 BinaryNumber_0011110 BinaryNumber_0110011 BinaryNumber_0001111 BinaryNumber_1011101 BinaryNumber_0111000 BinaryNumber_0101100
