MidnightBlue DarkSeaGreen DimGray WhiteSmoke DarkOrchid LightSlateBlue Olive LavenderBlush Azure PaleGreen
SandyBrown Crimson LightGray ForestGreen DeepPink Peru LightGray ForestGreen DodgerBlue Linen
Salmon SpringGreen Purple DarkBlue Linen DeepPink DarkCyan Feldspar Chocolate Fuchsia
Tan HotPink LightCoral Maroon MistyRose Gold Khaki LightPink DarkOrchid Blue
SkyBlue Black MidnightBlue MediumOrchid OliveDrab Seashell DarkRed OliveDrab DarkTurquoise NavajoWhite
LightYellow Gainsboro LightPink Goldenrod BlanchedAlmond DarkOrchid DarkTurquoise Gold DarkViolet PaleGoldenrod
MintCream LightGoldenrod LightGray DarkFuchsia DarkSlateGray Chartreuse DarkRed DarkOrange DimGray DeepPink
DarkTurquoise Firebrick PeachPuff NavajoWhite Turquoise LightGray LavenderBlush Azure Yellow Black
Feldspar MediumAquamarine LightGray LightSlateGray DarkSalmon MediumSlateBlue Tomato DarkGoldenrod LightYellow BlueViolet
DarkGray DarkCyan CornflowerBlue Salmon Crimson Salmon Azure MintCream MediumOrchid CadetBlue
Chocolate BlanchedAlmond Lime DarkSalmon WhiteSmoke DodgerBlue Cornsilk DarkSalmon SandyBrown SkyBlue
justice muggings murders cop offenses mob sentence slayings missing brutality
serial theft felony prostitution offenses homeless story supernatural accident trial
prison cop murder crisis homeless criminals sin threats skyjack missing
genocide offense structuralism homicide highjack prison gangs mutilation war dark
violence evidence blackmail sin offence drug punishment robbery kill psychological
thrillers snitching pirate cop corrupt tort robbery corruption detective supernatural
slay offenses forensic noir crisis drugs police offense homicides mutilation
incarceration serial revenge drug action mystery gang cop corrupt gangster
jurisdiction pirate vandalism trafficking gun guilty pirate investigation story political
shoplift revenge murders war jurisdiction investigation legislature abuse trial serial
tort mob human threats police felony kill crisis illegal assault
22:53 14:29 20:29 12:32 13:55 11:44 19:56 15:23 16:59 23:15
13:49 18:34 21:46 16:47 17:48 18:29 16:58 15:10 14:18 17:21
10:50 22:10 22:27 18:35 22:26 21:31 19:19 11:53 17:44 23:24
17:23 14:10 23:43 22:40 15:55 18:30 12:27 23:58 13:19 21:52
19:17 14:42 16:49 16:10 15:20 20:29 16:12 20:37 21:33 18:39
