tame jellyfish environmental heterotroph fleshly iguana marineanimal animalkingdom pig mythical
shelter bear vegan bug vertebrate vegan pet cat insectivorous reptile
vertebrate protist tiger animalkingdom object birds bug animalia dog metazoan
exoticanimals fantasy frog bear epizootic epizootic mythical zoo creature primate
insect biped deer insectivore carnivore creature bird rabbit tame plant
feline bear biped object primate predatoryanimal zooplankton insectivore animatebeing eukaryotic
farming wildlife dogs reptile beast dog shelter heterotroph frog sensual
ladybug sensual tiger dinosaur tufted biped rodent thoroughbred tiger pitbull
jellyfish thoroughbred invertebrate cat environmental octopuses creature bear mammal eukaryotic
vegan bear beast animalia animalkingdom carnivore cat epizootic bird puppy
sensual protist iguana object hourse pitbull insectivorous mammals carnivore puppy
Gold RoyalBlue DarkOliveGreen MediumSpringGreen GreenYellow FloralWhite PaleTurquoise SkyBlue Purple GreenYellow
DarkSeaGreen LightSalmon IndianRed Tan DarkSlateGray LightSteelBlue Orange Thistle Teal LightYellow
Bisque PaleVioletRed Indigo LightPink MediumSpringGreen MediumVioletRed DarkGreen MediumBlue MediumSlateBlue DarkViolet
DimGray DarkSlateBlue RoyalBlue Thistle DarkGray PeachPuff GhostWhite Crimson MediumAquamarine HotPink
PaleGoldenrod DarkSeaGreen DeepPink DarkKhaki MediumBlue Feldspar Gainsboro Chocolate Gold Tan
Feldspar DarkFuchsia LimeGreen Red Honeydew SaddleBrown PaleTurquoise GhostWhite Orange PapayaWhip
MediumSeaGreen DarkSalmon LavenderBlush Yellow DarkRed OliveDrab Bisque MediumPurple VioletRed Tan
MediumTurquoise DeepSkyBlue Chocolate SteelBlue Moccasin Salmon Salmon Red Chocolate PaleGoldenrod
LightSlateGray Silver Aquamarine LightGoldenrod MediumBlue HotPink Ivory LightPink SlateBlue Crimson
MintCream MediumSpringGreen DarkFuchsia BlanchedAlmond WhiteSmoke LightSkyBlue DarkGray OldLace Orchid Khaki
Cyan Violet Plum PaleTurquoise Teal Indigo Khaki LightGoldenrod LightBlue DarkOrange
temperature__78c temperature__63c temperature__58c temperature__71c temperature__90c temperature__145c temperature__2c temperature__147c temperature__98c temperature__100c
temperature__71c temperature__69c temperature__35c temperature__33c temperature__77c temperature__116c temperature__69c temperature__52c temperature__59c temperature__116c
temperature__58c temperature__144c temperature__95c temperature__122c temperature__50c temperature__73c temperature__8c temperature__122c temperature__84c temperature__27c
temperature__122c temperature__74c temperature__36c temperature__109c temperature__65c temperature__53c temperature__3c temperature__39c temperature__144c temperature__3c
temperature__24c temperature__47c temperature__39c temperature__51c temperature__95c temperature__87c temperature__122c temperature__124c temperature__52c temperature__78c
temperature__65c temperature__95c temperature__26c temperature__139c temperature__53c temperature__105c temperature__120c temperature__122c temperature__0c temperature__106c
