Coconut Mandarine Açaí Grapefruit Feijoa Plumcot Breadfruit Avocado Tangerine Canistel
Fig Ackee Akebi Durian Akebi Elderberry Cranberry Redcurrant Orange Blackcurrant
Sapodilla Mulberry Watermelon Jackfruit Bilberry Orange Ackee Persimmon Coconut Blueberry
Boysenberry Pineberry Pawpaw Pomelo Rambutan  Sapote Sapote Currant Lychee Kumquat
Honeyberry Blueberry Boysenberry Plum Plumcot Tangelo Plumcot Fig Cloudberry Cranberry
Strawberry Cempedak Orange Mangosteen Damson Lemon Lulo Strawberry Nectarine Ackee
Fig Durian Araza Lulo Date Cashew Jambul Jostaberry Peach Damson
Cloudberry Prune Clementine Raisin Apricot Blackcurrant Avocado Prune Jambul Honeydew
Jambul Ackee Cempedak Kiwifruit Ackee Huckleberry Marionberry Clementine Breadfruit Plantain
Loquat Jujube Breadfruit Cranberry Tangelo Coconut Currant Tangerine Elderberry Papaya
Avocado Feijoa Quince Açaí Longan Tangelo Cloudberry Prune Fig Lulo
BinaryNumber_0001000 BinaryNumber_0110110 BinaryNumber_0110001 BinaryNumber_0101011 BinaryNumber_0101110 BinaryNumber_1001011 BinaryNumber_1011001 BinaryNumber_0010001 BinaryNumber_1011101 BinaryNumber_0100001
BinaryNumber_0011110 BinaryNumber_0111001 BinaryNumber_0101111 BinaryNumber_0001000 BinaryNumber_1001010 BinaryNumber_0000111 BinaryNumber_0011000 BinaryNumber_0000011 BinaryNumber_1000111 BinaryNumber_0010111
BinaryNumber_0100100 BinaryNumber_0110101 BinaryNumber_0000111 BinaryNumber_0111001 BinaryNumber_0101010 BinaryNumber_0100011 BinaryNumber_1011001 BinaryNumber_1100010 BinaryNumber_0100100 BinaryNumber_1000000
BinaryNumber_0111000 BinaryNumber_1100011 BinaryNumber_0000100 BinaryNumber_0001010 BinaryNumber_0000011 BinaryNumber_0011001 BinaryNumber_0111111 BinaryNumber_1100001 BinaryNumber_1011001 BinaryNumber_0001101
BinaryNumber_0001111 BinaryNumber_1000010 BinaryNumber_0011110 BinaryNumber_1010001 BinaryNumber_0000011 BinaryNumber_0100010 BinaryNumber_1001110 BinaryNumber_0010110 BinaryNumber_0010101 BinaryNumber_0001011
BinaryNumber_0100010 BinaryNumber_0001111 BinaryNumber_1001011 BinaryNumber_0010101 BinaryNumber_1001000 BinaryNumber_0101110 BinaryNumber_1011111 BinaryNumber_0100000 BinaryNumber_0111111 BinaryNumber_1011101
BinaryNumber_1011011 BinaryNumber_1010110 BinaryNumber_1000011 BinaryNumber_0011000 BinaryNumber_1011001 BinaryNumber_0001000 BinaryNumber_1000101 BinaryNumber_0011001 BinaryNumber_0001110 BinaryNumber_0011110
BinaryNumber_1000110 BinaryNumber_0011100 BinaryNumber_1010101 BinaryNumber_0100010 BinaryNumber_0000000 BinaryNumber_1000100 BinaryNumber_0001110 BinaryNumber_0001001 BinaryNumber_1011101 BinaryNumber_1001010
BinaryNumber_0011011 BinaryNumber_1100000 BinaryNumber_1010000 BinaryNumber_0001001 BinaryNumber_0101100 BinaryNumber_0101000 BinaryNumber_0101110 BinaryNumber_0111101 BinaryNumber_1001010 BinaryNumber_1010101
BinaryNumber_0011010 BinaryNumber_0011100 BinaryNumber_1011001 BinaryNumber_0110100 BinaryNumber_0001100 BinaryNumber_0001010 BinaryNumber_0110110 BinaryNumber_1100011 BinaryNumber_0101110 BinaryNumber_1001011
BinaryNumber_1001010 BinaryNumber_1010001 BinaryNumber_0000110 BinaryNumber_0110110 BinaryNumber_0100101 BinaryNumber_1010110 BinaryNumber_1011010 BinaryNumber_1011100 BinaryNumber_1100001 BinaryNumber_0001000
CubeNumber_110592 CubeNumber_27 CubeNumber_140608 CubeNumber_3375 CubeNumber_64 CubeNumber_778688 CubeNumber_54872 CubeNumber_300763 CubeNumber_343000 CubeNumber_216
CubeNumber_2744 CubeNumber_117649 CubeNumber_64 CubeNumber_343000 CubeNumber_140608 CubeNumber_636056 CubeNumber_91125 CubeNumber_110592 CubeNumber_8 CubeNumber_19683
CubeNumber_132651 CubeNumber_3375 CubeNumber_551368 CubeNumber_421875 CubeNumber_493039 CubeNumber_27000 CubeNumber_531441 CubeNumber_226981 CubeNumber_205379 CubeNumber_110592
CubeNumber_205379 CubeNumber_438976 CubeNumber_32768 CubeNumber_21952 CubeNumber_24389 CubeNumber_50653 CubeNumber_830584 CubeNumber_21952 CubeNumber_13824 CubeNumber_300763
CubeNumber_39304 CubeNumber_29791 CubeNumber_13824 CubeNumber_592704 CubeNumber_15625 CubeNumber_64 CubeNumber_778688 CubeNumber_12167 CubeNumber_185193 CubeNumber_1728
CubeNumber_2197 CubeNumber_21952 CubeNumber_39304 CubeNumber_531441 CubeNumber_658503 CubeNumber_857375 CubeNumber_46656 CubeNumber_148877 CubeNumber_238328 CubeNumber_4096
CubeNumber_6859 CubeNumber_148877 CubeNumber_5832 CubeNumber_658503 CubeNumber_830584 CubeNumber_10648 CubeNumber_140608 CubeNumber_157464 CubeNumber_17576 CubeNumber_4096
CubeNumber_185193 CubeNumber_571787 CubeNumber_140608 CubeNumber_287496 CubeNumber_4913 CubeNumber_185193 CubeNumber_405224 CubeNumber_125000 CubeNumber_91125 CubeNumber_148877
CubeNumber_830584 CubeNumber_614125 CubeNumber_226981 CubeNumber_1728 CubeNumber_91125 CubeNumber_46656 CubeNumber_140608 CubeNumber_512 CubeNumber_64000 CubeNumber_274625
CubeNumber_59319 CubeNumber_636056 CubeNumber_3375 CubeNumber_216 CubeNumber_4913 CubeNumber_804357 CubeNumber_636056 CubeNumber_132651 CubeNumber_4913 CubeNumber_64
CubeNumber_166375 CubeNumber_32768 CubeNumber_681472 CubeNumber_421875 CubeNumber_493039 CubeNumber_4096 CubeNumber_21952 CubeNumber_3375 CubeNumber_205379 CubeNumber_125000
PrimeNumber_239 PrimeNumber_461 PrimeNumber_521 PrimeNumber_83 PrimeNumber_317 PrimeNumber_163 PrimeNumber_331 PrimeNumber_17 PrimeNumber_499 PrimeNumber_443
PrimeNumber_467 PrimeNumber_491 PrimeNumber_491 PrimeNumber_503 PrimeNumber_23 PrimeNumber_313 PrimeNumber_101 PrimeNumber_61 PrimeNumber_229 PrimeNumber_199
PrimeNumber_97 PrimeNumber_397 PrimeNumber_251 PrimeNumber_283 PrimeNumber_277 PrimeNumber_409 PrimeNumber_229 PrimeNumber_17 PrimeNumber_463 PrimeNumber_7
PrimeNumber_383 PrimeNumber_283 PrimeNumber_269 PrimeNumber_379 PrimeNumber_383 PrimeNumber_43 PrimeNumber_17 PrimeNumber_449 PrimeNumber_313 PrimeNumber_331
