Azure Lime SlateBlue Bisque OrangeRed LightSalmon SpringGreen DarkOliveGreen LightPink Honeydew
Burlywood DodgerBlue LavenderBlush OliveDrab Violet BlanchedAlmond BlanchedAlmond Plum Burlywood LightGray
NavajoWhite DarkKhaki BlanchedAlmond Fuchsia MediumTurquoise Fuchsia PaleGoldenrod LightSkyBlue Seashell Red
Red Maroon PapayaWhip Silver DarkSlateBlue LightGreen DarkOliveGreen Tomato DarkBlue Beige
Maroon Firebrick Maroon MediumOrchid LemonChiffon MediumSlateBlue Blue LavenderBlush Lime LightCoral
AliceBlue LightGreen LightCoral DeepPink DarkKhaki Silver LightSlateGray SkyBlue DarkCyan Olive
Tomato LightSkyBlue PapayaWhip DarkGreen BlueViolet Gainsboro BlanchedAlmond Beige DarkCyan PaleGoldenrod
Wheat Beige SteelBlue DarkGreen Cyan PaleGoldenrod PaleGoldenrod SandyBrown Snow MediumSpringGreen
MediumAquamarine Salmon LightSteelBlue AliceBlue Orange PaleVioletRed Goldenrod Thistle CadetBlue CadetBlue
RosyBrown AliceBlue MidnightBlue Gold BlanchedAlmond Blue Turquoise Green PaleVioletRed SpringGreen
Cyan Gold SandyBrown Violet Firebrick Wheat Goldenrod DarkSalmon MediumVioletRed Bisque
BinaryNumber_0100100 BinaryNumber_0101010 BinaryNumber_1010101 BinaryNumber_1011010 BinaryNumber_0110110 BinaryNumber_0010001 BinaryNumber_1100010 BinaryNumber_1000010 BinaryNumber_1010111 BinaryNumber_1000010
BinaryNumber_1010011 BinaryNumber_0010010 BinaryNumber_0000011 BinaryNumber_0011001 BinaryNumber_0100001 BinaryNumber_0000111 BinaryNumber_1000100 BinaryNumber_1000111 BinaryNumber_0111010 BinaryNumber_0100010
BinaryNumber_1010110 BinaryNumber_1011011 BinaryNumber_0100010 BinaryNumber_1001001 BinaryNumber_1001110 BinaryNumber_1010101 BinaryNumber_0011111 BinaryNumber_1001011 BinaryNumber_1100011 BinaryNumber_1000110
BinaryNumber_1000010 BinaryNumber_0100100 BinaryNumber_0011000 BinaryNumber_0010111 BinaryNumber_1011011 BinaryNumber_0000010 BinaryNumber_0000111 BinaryNumber_1100000 BinaryNumber_0110100 BinaryNumber_0010101
BinaryNumber_0100010 BinaryNumber_0110010 BinaryNumber_0110101 BinaryNumber_1011110 BinaryNumber_0111000 BinaryNumber_0011100 BinaryNumber_1011101 BinaryNumber_1011100 BinaryNumber_0101010 BinaryNumber_1010110
BinaryNumber_1010001 BinaryNumber_0011110 BinaryNumber_1001010 BinaryNumber_0100011 BinaryNumber_0101101 BinaryNumber_0100100 BinaryNumber_0000000 BinaryNumber_0111001 BinaryNumber_0001111 BinaryNumber_1010100
BinaryNumber_0101111 BinaryNumber_0111010 BinaryNumber_0011001 BinaryNumber_0011000 BinaryNumber_0001110 BinaryNumber_0001110 BinaryNumber_0001001 BinaryNumber_0100001 BinaryNumber_0100100 BinaryNumber_0010010
BinaryNumber_0110010 BinaryNumber_0001101 BinaryNumber_0111001 BinaryNumber_0010111 BinaryNumber_1001101 BinaryNumber_0100110 BinaryNumber_1010110 BinaryNumber_0000111 BinaryNumber_0101001 BinaryNumber_1000010
BinaryNumber_0010110 BinaryNumber_1100011 BinaryNumber_1000100 BinaryNumber_1010110 BinaryNumber_1011101 BinaryNumber_1011010 BinaryNumber_0101001 BinaryNumber_1001011 BinaryNumber_0111001 BinaryNumber_1011101
BinaryNumber_0000010 BinaryNumber_1010110 BinaryNumber_0110000 BinaryNumber_1011000 BinaryNumber_0010111 BinaryNumber_0001010 BinaryNumber_0011010 BinaryNumber_0010011 BinaryNumber_1011111 BinaryNumber_0100111
