cruel dangerous uptight famous outstanding good precious ill nervous clear
better depressed envious crowded creepy fancy nutty real poor disgusted
wild good panicky real agreeable inquisitive doubtful handsome precious nutty
worrisome concerned odd enchanting eager friendly poised homeless frail annoying
disturbed hungry average old-fashioned worried inquisitive dead worried angry bored
stupid witty tender muddy tame curious strange uninterested delightful dizzy
ill confused plain clear brainy tense fine important cooperative bewildered
calm courageous precious brainy quaint jittery mysterious lovely tough grumpy
bewildered talented amused dull kind dull grieving encouraging stupid eager
jealous evil fierce muddy tender stupid blue-eyed eager frightened bright
frail crazy attractive lovely fantastic puzzled tame obnoxious tender average
Fuchsia Tan VioletRed PaleTurquoise Thistle LavenderBlush Cornsilk RosyBrown LightSeaGreen DarkBlue
PaleVioletRed LightBlue Turquoise Orange Chocolate Cornsilk LightPink SlateGray Teal Brown
MediumSlateBlue Silver HotPink GhostWhite LightCyan LightGreen MediumSeaGreen OrangeRed Olive DarkTurquoise
LightYellow SeaGreen DarkSalmon SandyBrown DarkKhaki OliveDrab SpringGreen Crimson LightSlateBlue Thistle
MediumBlue Azure PaleGreen FloralWhite LawnGreen Brown OrangeRed Purple DarkSlateGray PaleVioletRed
VioletRed BlueViolet Moccasin LightGray Blue MistyRose Chocolate Salmon NavajoWhite IndianRed
IndianRed MediumPurple IndianRed Bisque PaleTurquoise Thistle PeachPuff Sienna MediumTurquoise WhiteSmoke
Burlywood LimeGreen OrangeRed DarkGoldenrod LightPink Brown Honeydew Aquamarine DarkViolet MediumSlateBlue
Plum OldLace LightSteelBlue Yellow Burlywood LightBlue PaleGoldenrod Peru MediumAquamarine DarkTurquoise
CornflowerBlue AntiqueWhite Feldspar LightGray DarkGray GhostWhite DarkFuchsia Olive MediumAquamarine LightSlateBlue
SlateBlue PaleGreen LightGoldenrod Fuchsia Olive Wheat LightGoldenrod LightSalmon DarkCyan DarkTurquoise
story mystery corrupt shootings vandalism illegal dark conspiracy kill drugs
abuse death law incarceration criminal lift gangsterism murder punishment skyjack
arrest misdemeanour dark criminal drug crisis unsolved imprisonment human corruption
racism gang shoplift revenge homelessness crisis criminal terrorism threats fraud
criminals trial offense shootings blackmail revenge tort mafia brutality prostitution
gangs heist genocide barratry mafia heist homelessness threats kill offence
punishment slayings trafficking cases terrorism accident unsolved kill shoplift supernatural
accident massacre government legal mutilation action tort country crisis revenge
racism evidence story gang gangsterism fraud mob threats murder homelessness
thrillers vandalism guilt offense war thrillers structuralism assault investigation brutality
guilt law-breaking massacre assault punishment homeless muggings accident detective structuralism
BinaryNumber_0000000 BinaryNumber_1010001 BinaryNumber_1011000 BinaryNumber_1000000 BinaryNumber_1011000 BinaryNumber_1001110 BinaryNumber_0101101 BinaryNumber_1010101 BinaryNumber_0010010 BinaryNumber_1001000
BinaryNumber_1001011 BinaryNumber_0100010 BinaryNumber_1010010 BinaryNumber_0001101 BinaryNumber_1100001 BinaryNumber_0111111 BinaryNumber_1010011 BinaryNumber_0110101 BinaryNumber_1100010 BinaryNumber_0001001
BinaryNumber_1001110 BinaryNumber_1000011 BinaryNumber_0100000 BinaryNumber_0001100 BinaryNumber_0100000 BinaryNumber_0111011 BinaryNumber_0100000 BinaryNumber_0011011 BinaryNumber_0011000 BinaryNumber_0101100
BinaryNumber_1011111 BinaryNumber_0001001 BinaryNumber_0000010 BinaryNumber_1000010 BinaryNumber_1010100 BinaryNumber_0000111 BinaryNumber_0001011 BinaryNumber_0111111 BinaryNumber_0110011 BinaryNumber_0000100
BinaryNumber_0010000 BinaryNumber_0100001 BinaryNumber_0010101 BinaryNumber_1001100 BinaryNumber_0110001 BinaryNumber_1100000 BinaryNumber_0000001 BinaryNumber_1100011 BinaryNumber_0010111 BinaryNumber_1100010
BinaryNumber_1011111 BinaryNumber_0110000 BinaryNumber_1011100 BinaryNumber_1000010 BinaryNumber_0111011 BinaryNumber_0101101 BinaryNumber_1000010 BinaryNumber_0101001 BinaryNumber_1011000 BinaryNumber_1010110
BinaryNumber_1001010 BinaryNumber_0000110 BinaryNumber_1000101 BinaryNumber_0101110 BinaryNumber_0111010 BinaryNumber_1010001 BinaryNumber_0100111 BinaryNumber_0100000 BinaryNumber_0010010 BinaryNumber_1010010
BinaryNumber_1000100 BinaryNumber_0000110 BinaryNumber_1100000 BinaryNumber_0111011 BinaryNumber_1010000 BinaryNumber_0100010 BinaryNumber_0000101 BinaryNumber_1010011 BinaryNumber_0011110 BinaryNumber_0000010
BinaryNumber_1000010 BinaryNumber_0010100 BinaryNumber_0010001 BinaryNumber_0011001 BinaryNumber_1000110 BinaryNumber_1100000 BinaryNumber_0110100 BinaryNumber_0010010 BinaryNumber_0010110 BinaryNumber_0100011
BinaryNumber_1011011 BinaryNumber_0110001 BinaryNumber_1011111 BinaryNumber_0011000 BinaryNumber_0110111 BinaryNumber_0101100 BinaryNumber_1001010 BinaryNumber_0000001 BinaryNumber_0110011 BinaryNumber_1100000
BinaryNumber_0100110 BinaryNumber_1011000 BinaryNumber_1000100 BinaryNumber_1100000 BinaryNumber_0100001 BinaryNumber_1010000 BinaryNumber_0001010 BinaryNumber_0010100 BinaryNumber_0001000 BinaryNumber_1011111
21:40 17:38 18:26 22:47 18:19 22:11 16:35 19:37 22:30 19:27
23:46 20:44 15:21 22:59 16:59 17:32 18:12 22:34 11:45 11:44
14:51 19:22 16:47 23:58 18:36 11:29 18:41 11:42 11:51 21:15
15:53 17:49 10:29 23:19 16:48 19:40 12:45 20:54 10:21 20:30
