Beige Cyan Lavender Gainsboro DarkGoldenrod LemonChiffon DarkSlateBlue LightGoldenrodYellow PaleTurquoise Tomato
DarkCyan VioletRed Gold DarkBlue NavajoWhite Chartreuse DarkFuchsia Aquamarine MediumVioletRed LightYellow
Cyan Wheat Linen White Sienna Coral Sienna Thistle PeachPuff Burlywood
SaddleBrown Olive DarkCyan LightSteelBlue SaddleBrown Fuchsia LavenderBlush BlanchedAlmond DarkOrange PaleGreen
DarkGoldenrod Tan Seashell MediumBlue OrangeRed Maroon LightGreen Black Cyan Khaki
Crimson LightGray SlateBlue DarkOrchid MediumTurquoise MintCream LightGreen VioletRed Silver Seashell
Gainsboro LightSlateGray AliceBlue Crimson Feldspar Salmon LavenderBlush Goldenrod DarkBlue CadetBlue
Green Burlywood LightYellow AliceBlue LightGoldenrod LightPink LightSkyBlue Cyan Coral SpringGreen
CadetBlue LightSkyBlue Salmon DarkFuchsia Khaki DarkBlue Chocolate DarkViolet Maroon MintCream
BlanchedAlmond OliveDrab MediumTurquoise SeaGreen MediumSeaGreen Plum Tan PaleTurquoise DarkGray Thistle
DarkGreen MintCream Blue DarkGray Peru DarkSlateBlue Orange DarkOrchid LightGoldenrodYellow PaleTurquoise
19:35 13:16 13:45 15:54 22:50 23:26 15:11 20:36 17:54 14:32
18:22 13:59 20:12 23:12 22:11 13:52 15:29 12:42 14:54 20:27
12:19 16:59 19:33 14:32 22:40 18:25 18:16 16:19 20:22 19:13
12:25 16:37 13:47 16:54 17:35 12:32 16:24 23:46 21:31 14:30
15:32 17:26 19:42 17:40 13:24 16:54 23:14 22:19 19:29 17:47
17:21 23:52 19:57 18:56 18:26 20:25 22:59 16:10 14:43 16:52
14:31 15:27 20:53 21:13 12:30 19:18 12:56 14:52 20:21 22:39
12:56 23:12 16:37 15:53 23:20 19:15 20:38 15:41 19:15 13:14
10:26 21:13 21:33 23:35 21:25 20:19 16:13 19:54 14:35 16:14
11:22 22:11 13:52 23:49 17:56 19:51 22:26 22:39 22:10 12:28
15:28 14:57 22:20 14:27 23:17 13:56 21:59 23:13 12:42 13:31
Cranialnerves skeleton Duodenum Ileum Middleear Tongue Lips Rectum Retina Eye
Spleen Midbrain Eye Lens Urethra Cochlea Muscle Bone  Tendons Eardrum
Tastebuds Lens Lens Outerear Midbrain Midbrain Ganglia Innerear Capillaries Gallbladder
