DarkOliveGreen Chocolate MediumPurple DarkSlateBlue AntiqueWhite Maroon Azure Tomato MediumSpringGreen Moccasin
DarkGreen LavenderBlush Feldspar LavenderBlush Red SaddleBrown DeepPink Firebrick Violet LightSteelBlue
Tomato Feldspar BlueViolet DarkSeaGreen MintCream Azure Sienna Brown SeaGreen WhiteSmoke
Orchid Snow SlateGray SeaGreen PaleGoldenrod DarkCyan Plum LightYellow MediumTurquoise MintCream
MediumAquamarine DarkGoldenrod VioletRed Goldenrod Cyan Goldenrod GhostWhite Gold Indigo LightGreen
Gainsboro DarkSlateGray HotPink LawnGreen MediumPurple Orchid WhiteSmoke DarkOrchid Gray White
Snow LightPink LightPink GreenYellow DarkOrchid DarkRed DarkGreen Firebrick Turquoise LightSteelBlue
BlanchedAlmond DarkOrange Feldspar DarkBlue Seashell LawnGreen AliceBlue Crimson Linen Snow
SlateBlue LightSlateBlue PapayaWhip Red PapayaWhip DarkGoldenrod Blue LimeGreen Khaki LightPink
SpringGreen Azure BlanchedAlmond Moccasin Bisque DarkGreen DarkSlateGray Olive Chartreuse LightPink
Gainsboro MediumOrchid MediumSlateBlue RosyBrown DarkOliveGreen MediumPurple PaleVioletRed Fuchsia SeaGreen Turquoise
temperature__147c temperature__129c temperature__130c temperature__69c temperature__57c temperature__2c temperature__112c temperature__59c temperature__31c temperature__33c
temperature__132c temperature__92c temperature__90c temperature__33c temperature__54c temperature__47c temperature__91c temperature__39c temperature__64c temperature__98c
temperature__30c temperature__49c temperature__112c temperature__85c temperature__108c temperature__8c temperature__42c temperature__92c temperature__53c temperature__61c
temperature__147c temperature__39c temperature__52c temperature__2c temperature__86c temperature__64c temperature__70c temperature__24c temperature__73c temperature__132c
temperature__79c temperature__70c temperature__122c temperature__41c temperature__35c temperature__78c temperature__39c temperature__69c temperature__56c temperature__23c
temperature__4c temperature__148c temperature__39c temperature__88c temperature__0c temperature__132c temperature__144c temperature__139c temperature__122c temperature__105c
temperature__53c temperature__11c temperature__142c temperature__132c temperature__57c temperature__74c temperature__112c temperature__31c temperature__90c temperature__85c
temperature__93c temperature__131c temperature__26c temperature__41c temperature__124c temperature__112c temperature__65c temperature__33c temperature__26c temperature__122c
temperature__70c temperature__51c temperature__142c temperature__118c temperature__124c temperature__14c temperature__120c temperature__26c temperature__26c temperature__12c
temperature__84c temperature__140c temperature__0c temperature__105c temperature__147c temperature__22c temperature__16c temperature__148c temperature__109c temperature__73c
temperature__145c temperature__108c temperature__86c temperature__22c temperature__108c temperature__116c temperature__61c temperature__41c temperature__140c temperature__73c
bear reptile cat wildlife dogs fleshly livestock insect octopuses fish
carnivore creature primate bobcat rabbit creature fantasy primate animatebeing bug
animalkingdom pups animalia sheep epizootic animalia iguana carnal object wildlife
birds darter fleshly animalkingdom animatebeing birds hourse object tame animal welfare
fish cats invertebrate animalia demon ladybug pigs rabbit insect vertebrate
vertebrate pigs llamas shelter carnivore farming vertebrate demon tame ladybug
puppy pig insectivore tufted mammals vegan insect fantasy dog bear
monster mammal animals insectivore animal welfare octopuses tiger plant zoo pet
embryo birds farming chickens insectivore bobcat fantasy raccoon primate porifera
carnivore amphibians darter poikilotherm reptiles clams elephants plant fish amphibians
octopuses mythical llamas bobcat cat workanimal tame exoticanimals varmint beast
rice plant fruit beef cooking meal animal edible meat meal
nutrition victuals beef plant sushi nutrient soup provender nutrition cereal
plant fruit nutrition fruits vegetables vegetable vegetable edible victuals nutrition animal
meals meals plant cereal pasta soup victuals cereal meals soup
plant seafood vegetable nutrition plant cheese provender seafood cooking drinks
nutrient plant meat cheese plant animal eat cooking meat fruits vegetables
eat edible edible provender cheese animal meal meal fruits vegetables meals
beef cereal nutrition meal provender victuals animal provender rice nutrient
provender meal cereal rice milk edible provender pasta cheese drinks
chicken meal nutrition seafood chicken pasta nutrition drinks rice milk
provender nourishment cheese pasta animal cereal animal edible cereal pasta
human mutilation vandalism felony liberty muggings arsons lift noir victim
cop prison thriller conspiracy noir guilt legal skyjack law poison
detective punitive poverty drug threats dark noir country legislature arsons
liberty safety terrorism guilty mob poison government mystery massacre missing
assault fraud poison smuggle mafia victim abuse offenders political skyjack
