Papaya Gooseberry Mango Acerola Melon Avocado Tayberry Cashew Huckleberry Prune
Cherimoya Pomelo Tamarind Lime Coconut Passionfruit Pear Açaí Peach Cempedak
Cherimoya Tangelo Jackfruit Mango Prune Grapefruit Tangelo Kiwifruit Salmonberry Mango
Cempedak Apricot Tamarind Plum Blueberry Prune Pineapple Lime Canistel Salak
Blackcurrant Clementine Feijoa Sapote Salmonberry Peach Clementine Abiu Lulo Lime
Loquat Pineapple Persimmon Pomegranate Marionberry Akebi Raspberry Soursop Tangelo Cloudberry
Honeydew Cherry Canistel Cantaloupe Fig Durian Mango Pineberry Honeydew Açaí
Jujube Mangosteen Acerola Marionberry Gooseberry Cherimoya Longan Feijoa Marionberry Honeyberry
Watermelon Elderberry Loganberry Tayberry Raspberry Boysenberry Cranberry Blackcurrant Abiu Grapefruit
Passionfruit Loquat Blackberry Cherry Abiu Loganberry Kiwifruit Loganberry Kumquat Salmonberry
Lime Plumcot Loganberry Pomelo Passionfruit Damson Tamarillo Apple Tamarind Rambutan 
temperature__77c temperature__111c temperature__78c temperature__31c temperature__106c temperature__147c temperature__58c temperature__141c temperature__61c temperature__35c
temperature__41c temperature__82c temperature__51c temperature__116c temperature__12c temperature__33c temperature__116c temperature__120c temperature__78c temperature__84c
temperature__6c temperature__63c temperature__106c temperature__11c temperature__78c temperature__74c temperature__136c temperature__40c temperature__91c temperature__36c
temperature__85c temperature__131c temperature__39c temperature__27c temperature__120c temperature__5c temperature__4c temperature__100c temperature__119c temperature__34c
temperature__11c temperature__123c temperature__56c temperature__122c temperature__145c temperature__122c temperature__74c temperature__108c temperature__65c temperature__116c
temperature__12c temperature__36c temperature__139c temperature__69c temperature__36c temperature__50c temperature__100c temperature__124c temperature__28c temperature__36c
temperature__73c temperature__145c temperature__146c temperature__93c temperature__63c temperature__7c temperature__53c temperature__132c temperature__51c temperature__109c
temperature__77c temperature__84c temperature__40c temperature__11c temperature__131c temperature__129c temperature__5c temperature__16c temperature__21c temperature__146c
temperature__78c temperature__4c temperature__0c temperature__7c temperature__148c temperature__86c temperature__61c temperature__5c temperature__132c temperature__122c
temperature__2c temperature__40c temperature__65c temperature__120c temperature__124c temperature__58c temperature__27c temperature__109c temperature__70c temperature__74c
temperature__65c temperature__11c temperature__11c temperature__136c temperature__132c temperature__144c temperature__108c temperature__65c temperature__16c temperature__147c
