PaleGreen DodgerBlue LightSalmon LightGreen Wheat SlateGray Sienna Gainsboro MediumSeaGreen LightSteelBlue
Coral LemonChiffon Tan DarkSlateBlue LightSalmon Cornsilk LightSeaGreen CornflowerBlue DarkOrchid OrangeRed
Brown Pink Thistle BlueViolet Purple PaleTurquoise Fuchsia Honeydew Purple SeaGreen
Tomato Tomato RosyBrown SlateGray Gainsboro LightGreen DarkBlue HotPink DeepPink DeepPink
Violet Ivory Thistle GhostWhite DarkCyan DarkGreen SlateGray SaddleBrown DodgerBlue PaleGoldenrod
VioletRed LightGreen Beige Pink Beige Orange SandyBrown SkyBlue Olive DarkCyan
WhiteSmoke Bisque Bisque SlateGray DarkGray Gray LightPink LightSkyBlue MistyRose Burlywood
Feldspar Khaki LightSteelBlue Ivory LightPink Red Olive Goldenrod BlanchedAlmond Brown
Goldenrod Khaki LightCyan Tomato SandyBrown SpringGreen AntiqueWhite BlueViolet LightGray Cornsilk
LimeGreen Silver Silver PaleVioletRed LemonChiffon DarkRed DarkGreen DeepPink MediumBlue DarkBlue
Lime DarkSeaGreen CadetBlue Navy Cornsilk SteelBlue Indigo Tomato RoyalBlue MintCream
Largeintestine Retina Cecum Tastebuds Cerebellum Vagina Ureter Penis Veins Tendons
Hypothalamus Lens Eardrum Urethra Tonsils Iris Muscle Cochlea Stomach Cerebrum
Pons Ossicles Ureter Arteries Larynx Veins Placenta Hypothalamus Brain Tongue
Urethra Spleen Gallbladder Thalamus Clitoris Ovaries Hypothalamus Nerves Ossicles Gallbladder
Esophagus Tonsils Ganglia Mesentery Mouth Midbrain Teeth Retina Earlobe Cecum
Eye Urethra Bone  Earlobe Joints Tendons Earlobe Innerear Tastebuds Pons
Trachea Veins Uterus Spleen Bone  Outerear Lips Cochlea Vagina Pharynx
Ciliarybody Interstitium Ligaments Cecum Stomach Pons Spleen Lips Cornea Midbrain
Heart Jejunum Penis Tonsils Veins Veins Rectum Eardrum Joints Bone 
Jejunum Outerear Joints Spinalnerves Cochlea Ossicles Largeintestine Cerebrum Cecum Capillaries
Teeth Tonsils Earlobe Duodenum Heart Pons Trachea Capillaries Vagina Teeth
BinaryNumber_0011001 BinaryNumber_1011001 BinaryNumber_0001000 BinaryNumber_1000110 BinaryNumber_1000001 BinaryNumber_0110101 BinaryNumber_0010101 BinaryNumber_0011001 BinaryNumber_0110111 BinaryNumber_0101000
BinaryNumber_1011111 BinaryNumber_0101101 BinaryNumber_1011000 BinaryNumber_0100101 BinaryNumber_0110011 BinaryNumber_0000011 BinaryNumber_0010010 BinaryNumber_0101100 BinaryNumber_0000101 BinaryNumber_1000110
BinaryNumber_1010111 BinaryNumber_0101011 BinaryNumber_0110111 BinaryNumber_1001101 BinaryNumber_1010010 BinaryNumber_1011111 BinaryNumber_1100010 BinaryNumber_1100001 BinaryNumber_0111101 BinaryNumber_1001001
