Sienna LightGoldenrodYellow LemonChiffon Wheat OldLace GhostWhite LightCyan DarkFuchsia Bisque Violet
PapayaWhip Lavender IndianRed Feldspar HotPink Tomato Blue MediumPurple Peru BlanchedAlmond
LightCyan LightSalmon Wheat DodgerBlue DarkTurquoise LimeGreen PaleGreen MediumSpringGreen Goldenrod VioletRed
PeachPuff Azure DarkSalmon SaddleBrown DarkOliveGreen Gainsboro Snow Gold Chocolate Chartreuse
DarkSeaGreen MediumTurquoise DarkTurquoise LightGreen DarkCyan Ivory FloralWhite MintCream Beige LemonChiffon
LightSalmon PowderBlue DarkKhaki DarkSalmon DarkOliveGreen OrangeRed ForestGreen LightCoral NavajoWhite Brown
Khaki FloralWhite LightYellow Aquamarine LightPink LightPink MediumBlue Lavender Tomato Gold
LightSalmon Seashell Lavender RoyalBlue Snow Tan MediumOrchid Violet Turquoise Lime
Salmon Chartreuse DarkSlateGray DarkSalmon Crimson AliceBlue DarkOrchid White MistyRose SkyBlue
GreenYellow DarkGray PaleGoldenrod LavenderBlush PaleGoldenrod BlanchedAlmond Chocolate Maroon LemonChiffon CadetBlue
MediumSpringGreen Salmon LightGoldenrod Lavender Lavender Wheat Firebrick LightSlateBlue Purple Sienna
Mandarine Nectarine Apple Breadfruit Acerola Acerola Bilberry Clementine Pear Passionfruit
Raisin Abiu Guava Tamarind Melon Plantain Araza Lemon Kumquat Jostaberry
Cempedak Sapodilla Araza Loganberry Mandarine Currant Papaya Yuzu Peach Nance
Blackcurrant Persimmon Currant Salak Cherimoya Abiu Plantain Huckleberry Plumcot Passionfruit
Melon Mango Cherry Pomelo Date Cantaloupe Plantain Mandarine Lychee Mango
Lemon Strawberry Grapefruit Pawpaw Ackee Prune Soursop Clementine Cherimoya Mangosteen
Plumcot Jambul Huckleberry Tangelo Plum Jambul Lemon Cherry Jostaberry Lulo
Jujube Mulberry Abiu Persimmon Plantain Honeyberry Açaí Nance Currant Tangerine
Loquat Kiwano Abiu Marionberry Lime Tayberry Soursop Lychee Mandarine Pomegranate
Salak Mandarine Grapefruit Loquat Mulberry Damson Breadfruit Pineapple Canistel Blackcurrant
Banana Gooseberry Jackfruit Passionfruit Satsuma Plumcot Peach Quince Jambul Apple
temperature__130c temperature__27c temperature__145c temperature__145c temperature__78c temperature__3c temperature__41c temperature__34c temperature__31c temperature__132c
temperature__47c temperature__88c temperature__46c temperature__2c temperature__52c temperature__130c temperature__5c temperature__11c temperature__52c temperature__124c
