Heart Duodenum Cranialnerves Tastebuds Smallintestine Muscle Lymphaticvessel Gallbladder Eardrum Pharynx
Tongue Penis Fallopiantubes Tongue Nerves Lips Lungs Tongue Ovaries Midbrain
Placenta Ossicles Larynx Cecum Ossicles Midbrain Bladder Ossicles Eye Kidneys
Teeth Analcanal Tongue Pons Clitoris Cerebellum Gallbladder Esophagus Cochlea Smallintestine
Pons Esophagus Muscle Lips Innerear Pancreas Ureter Middleear Ganglia Nerves
Ovaries Eye Brain Bone  Ciliarybody Outerear Veins Fallopiantubes Ciliarybody Largeintestine
Eye Pharynx Iris Sensoryorgans Uterus Uterus Placenta Tendons Cerebellum Ovaries
Ureter Tastebuds Muscle Innerear Spinalnerves Bladder Eardrum Placenta Uterus Pons
Eye Uterus Lungs Esophagus Thalamus Cranialnerves Iris Bronchi Esophagus Bone 
Retina Thalamus Heart Middleear Duodenum Innerear Veins Hypothalamus Cranialnerves Cecum
Outerear Cecum Mouth Capillaries Esophagus Pharynx Mesentery Bone  Lips Tastebuds
BinaryNumber_0100110 BinaryNumber_1100010 BinaryNumber_0000110 BinaryNumber_0000000 BinaryNumber_0011101 BinaryNumber_1010001 BinaryNumber_0000000 BinaryNumber_0001111 BinaryNumber_0110110 BinaryNumber_0011110
BinaryNumber_0001111 BinaryNumber_0000001 BinaryNumber_0011111 BinaryNumber_0101000 BinaryNumber_1000010 BinaryNumber_0100010 BinaryNumber_1010001 BinaryNumber_0000100 BinaryNumber_1010110 BinaryNumber_0001001
BinaryNumber_0010101 BinaryNumber_0111111 BinaryNumber_1011110 BinaryNumber_0100111 BinaryNumber_0001010 BinaryNumber_0010111 BinaryNumber_0110101 BinaryNumber_0110000 BinaryNumber_0001111 BinaryNumber_0010000
BinaryNumber_1010111 BinaryNumber_0110000 BinaryNumber_0010011 BinaryNumber_0011011 BinaryNumber_1010111 BinaryNumber_1000100 BinaryNumber_0001010 BinaryNumber_1000000 BinaryNumber_0110111 BinaryNumber_0110000
BinaryNumber_0000010 BinaryNumber_1000101 BinaryNumber_1011001 BinaryNumber_0100000 BinaryNumber_1011110 BinaryNumber_0101010 BinaryNumber_0010110 BinaryNumber_0110110 BinaryNumber_0011010 BinaryNumber_1011010
BinaryNumber_0100100 BinaryNumber_1000011 BinaryNumber_0011111 BinaryNumber_0000110 BinaryNumber_0001100 BinaryNumber_0100111 BinaryNumber_1000011 BinaryNumber_0100100 BinaryNumber_1000000 BinaryNumber_1000110
BinaryNumber_0111000 BinaryNumber_1000111 BinaryNumber_0000101 BinaryNumber_0000000 BinaryNumber_1001101 BinaryNumber_0011101 BinaryNumber_1011001 BinaryNumber_0111001 BinaryNumber_0011010 BinaryNumber_1001101
BinaryNumber_1011100 BinaryNumber_0000110 BinaryNumber_1001010 BinaryNumber_1011010 BinaryNumber_0100000 BinaryNumber_0111111 BinaryNumber_0000010 BinaryNumber_0011011 BinaryNumber_0010001 BinaryNumber_1011001
BinaryNumber_1010111 BinaryNumber_0010001 BinaryNumber_0100110 BinaryNumber_1000101 BinaryNumber_0110011 BinaryNumber_1001110 BinaryNumber_1011010 BinaryNumber_0010101 BinaryNumber_0011000 BinaryNumber_1100011
BinaryNumber_0111110 BinaryNumber_1001011 BinaryNumber_0100001 BinaryNumber_1011101 BinaryNumber_0010011 BinaryNumber_1011100 BinaryNumber_0011101 BinaryNumber_0001011 BinaryNumber_0000010 BinaryNumber_1010011
BinaryNumber_0011001 BinaryNumber_1000011 BinaryNumber_0010110 BinaryNumber_1010010 BinaryNumber_0101101 BinaryNumber_1011001 BinaryNumber_1011001 BinaryNumber_0010011 BinaryNumber_1011010 BinaryNumber_0001000
temperature__87c temperature__0c temperature__26c temperature__52c temperature__16c temperature__12c temperature__58c temperature__65c temperature__116c temperature__105c
temperature__11c temperature__120c temperature__71c temperature__51c temperature__132c temperature__46c temperature__148c temperature__108c temperature__141c temperature__85c
temperature__34c temperature__17c temperature__84c temperature__35c temperature__146c temperature__47c temperature__2c temperature__132c temperature__146c temperature__108c
temperature__5c temperature__47c temperature__21c temperature__120c temperature__42c temperature__42c temperature__34c temperature__148c temperature__141c temperature__91c
temperature__35c temperature__132c temperature__70c temperature__126c temperature__57c temperature__123c temperature__92c temperature__136c temperature__65c temperature__90c
temperature__16c temperature__123c temperature__47c temperature__123c temperature__12c temperature__124c temperature__74c temperature__140c temperature__84c temperature__33c
temperature__120c temperature__122c temperature__148c temperature__46c temperature__21c temperature__54c temperature__71c temperature__132c temperature__47c temperature__69c
temperature__124c temperature__14c temperature__6c temperature__126c temperature__122c temperature__30c temperature__21c temperature__106c temperature__5c temperature__118c
temperature__14c temperature__146c temperature__11c temperature__40c temperature__21c temperature__34c temperature__71c temperature__79c temperature__87c temperature__77c
temperature__57c temperature__11c temperature__131c temperature__105c temperature__98c temperature__140c temperature__5c temperature__49c temperature__22c temperature__44c
temperature__85c temperature__53c temperature__140c temperature__58c temperature__100c temperature__24c temperature__28c temperature__139c temperature__130c temperature__142c
Clementine Orange Jackfruit Lemon Fig Araza Huckleberry Tangelo Pineberry Mangosteen
Sapote Nance Jambul Cherimoya Melon Abiu Damson Grape Damson Melon
Strawberry Cherry Boysenberry Honeydew Blackcurrant Orange Cherimoya Fig Pawpaw Mulberry
Ximenia Cherimoya Jambul Grape Pomelo Pear Pawpaw Yuzu Lime Gooseberry
Clementine Jujube Mango Jackfruit Kumquat Abiu Honeydew Cloudberry Prune Blueberry
Coconut Kiwifruit Peach Kiwifruit Bilberry Nectarine Acerola Damson Pear Feijoa
Cherimoya Blackcurrant Yuzu Grapefruit Feijoa Strawberry Papaya Persimmon Damson Cherry
Canistel Date Guava Abiu Nance Nance Plum Feijoa Apple Pear
Cempedak Raspberry Kumquat Blackberry Huckleberry Rambutan  Grapefruit Persimmon Kiwifruit Cloudberry
Cherry Lemon Loquat Breadfruit Prune Loquat Soursop Melon Cantaloupe Papaya
Redcurrant Redcurrant Blueberry Grapefruit Pineapple Plumcot Boysenberry Quince Blueberry Blueberry
CubeNumber_941192 CubeNumber_166375 CubeNumber_27000 CubeNumber_658503 CubeNumber_753571 CubeNumber_493039 CubeNumber_24389 CubeNumber_250047 CubeNumber_512 CubeNumber_24389
