Currant Longan Strawberry Kiwifruit Loquat Passionfruit Pineapple Orange Quince Damson
Honeyberry Mangosteen Pineapple Redcurrant Cherry Watermelon Cherimoya Lulo Melon Currant
Pomelo Strawberry Rambutan  Açaí Loganberry Nance Mulberry Canistel Elderberry Plantain
Pear Redcurrant Abiu Açaí Jostaberry Lychee Acerola Plum Araza Tamarind
Apricot Plumcot Cashew Pomegranate Cherimoya Honeyberry Watermelon Blueberry Nance Araza
Breadfruit Blackcurrant Pineberry Lychee Lemon Banana Prune Rambutan  Bilberry Plumcot
Soursop Kiwifruit Tayberry Nance Acerola Raspberry Salmonberry Mango Mangosteen Nectarine
Tamarind Araza Lemon Longan Blackcurrant Pawpaw Honeydew Tamarind Durian Jujube
Salak Plum Araza Tamarind Feijoa Raspberry Quince Cempedak Honeydew Honeyberry
Feijoa Kiwifruit Gooseberry Cempedak Tangelo Nance Tangerine Mulberry Cherry Lime
Feijoa Satsuma Banana Honeydew Elderberry Jostaberry Marionberry Apple Cherimoya Acerola
BinaryNumber_0110111 BinaryNumber_0101111 BinaryNumber_0100011 BinaryNumber_0001000 BinaryNumber_1100000 BinaryNumber_1011110 BinaryNumber_1010000 BinaryNumber_0110000 BinaryNumber_1100011 BinaryNumber_0111011
BinaryNumber_0110111 BinaryNumber_0101001 BinaryNumber_0010000 BinaryNumber_0111111 BinaryNumber_0010000 BinaryNumber_0101010 BinaryNumber_1000111 BinaryNumber_0101100 BinaryNumber_0100111 BinaryNumber_1000111
BinaryNumber_0101110 BinaryNumber_0010100 BinaryNumber_1100010 BinaryNumber_0100001 BinaryNumber_0101001 BinaryNumber_0001000 BinaryNumber_0101001 BinaryNumber_1010101 BinaryNumber_0011110 BinaryNumber_0101001
BinaryNumber_0101001 BinaryNumber_0111010 BinaryNumber_0000101 BinaryNumber_1011010 BinaryNumber_0100000 BinaryNumber_0110100 BinaryNumber_0101001 BinaryNumber_0001010 BinaryNumber_1010100 BinaryNumber_0010101
BinaryNumber_0010111 BinaryNumber_0110011 BinaryNumber_0100000 BinaryNumber_0001010 BinaryNumber_1011000 BinaryNumber_0111111 BinaryNumber_1011111 BinaryNumber_0001101 BinaryNumber_1000110 BinaryNumber_0100001
BinaryNumber_0110100 BinaryNumber_0011110 BinaryNumber_0110111 BinaryNumber_1001100 BinaryNumber_0011001 BinaryNumber_1010110 BinaryNumber_1010000 BinaryNumber_1010011 BinaryNumber_1010000 BinaryNumber_0000000
BinaryNumber_1100011 BinaryNumber_0000001 BinaryNumber_0101111 BinaryNumber_0000010 BinaryNumber_0100111 BinaryNumber_1000011 BinaryNumber_1010111 BinaryNumber_1001010 BinaryNumber_1001101 BinaryNumber_0010010
