Maroon SaddleBrown Turquoise Honeydew DarkSlateBlue Seashell Snow LightSlateBlue LimeGreen Gray
SteelBlue MistyRose Tan Snow AntiqueWhite Green BlanchedAlmond Moccasin Crimson SteelBlue
Coral Firebrick DarkOrange MediumVioletRed Honeydew LawnGreen Tomato PaleGoldenrod PaleTurquoise Wheat
Blue Bisque Blue DarkSalmon DimGray SlateGray LightCoral LightSteelBlue WhiteSmoke Plum
MediumSlateBlue MidnightBlue LightSlateBlue DarkSalmon LemonChiffon DeepSkyBlue SlateBlue SteelBlue DarkSeaGreen Aquamarine
Thistle IndianRed OliveDrab SteelBlue Salmon DarkBlue DarkSlateGray Teal Salmon SteelBlue
Silver AntiqueWhite MistyRose Khaki Violet Salmon LightSkyBlue SkyBlue OldLace VioletRed
Fuchsia Cornsilk LavenderBlush DarkGreen DarkBlue Gray DarkBlue Snow Lime PaleGoldenrod
Chocolate DarkGreen DarkCyan SlateGray Silver Moccasin Lavender CadetBlue IndianRed CornflowerBlue
SandyBrown Beige DarkOrchid DodgerBlue Plum LightSlateBlue Plum DarkSlateGray Tan MistyRose
LawnGreen Cornsilk Indigo Teal DodgerBlue Orchid PaleTurquoise Sienna Violet DimGray
BinaryNumber_0011110 BinaryNumber_1001011 BinaryNumber_1010011 BinaryNumber_1001010 BinaryNumber_0100111 BinaryNumber_0000001 BinaryNumber_0111111 BinaryNumber_0000101 BinaryNumber_0111100 BinaryNumber_0000000
BinaryNumber_1001100 BinaryNumber_0110111 BinaryNumber_0010010 BinaryNumber_0011100 BinaryNumber_0011011 BinaryNumber_0110110 BinaryNumber_0101101 BinaryNumber_1001000 BinaryNumber_1011001 BinaryNumber_0101001
BinaryNumber_1000000 BinaryNumber_1011100 BinaryNumber_1000110 BinaryNumber_0001010 BinaryNumber_0110000 BinaryNumber_0100011 BinaryNumber_0101001 BinaryNumber_1001011 BinaryNumber_0000110 BinaryNumber_0111000
BinaryNumber_1001111 BinaryNumber_0101001 BinaryNumber_0101100 BinaryNumber_0101101 BinaryNumber_0000010 BinaryNumber_0100001 BinaryNumber_1011100 BinaryNumber_1011000 BinaryNumber_1000100 BinaryNumber_0011010
