Marionberry Cempedak Peach Boysenberry Redcurrant Passionfruit Feijoa Pomelo Mangosteen Durian
Gooseberry Peach Orange Grape Apple Mangosteen Cherry Salak Bilberry Cranberry
Cempedak Apricot Nectarine Breadfruit Sapote Sapote Jackfruit Honeyberry Kumquat Cherimoya
Raspberry Clementine Tayberry Raspberry Sapote Coconut Damson Akebi Lychee Persimmon
Abiu Pomelo Akebi Tangerine Pomelo Marionberry Blackberry Tayberry Melon Blackcurrant
Currant Pineapple Apple Clementine Damson Nectarine Bilberry Rambutan  Salak Jostaberry
Canistel Boysenberry Rambutan  Plum Cherry Soursop Açaí Cherry Salmonberry Soursop
Cempedak Lime Plantain Banana Cantaloupe Nectarine Nance Currant Apple Cranberry
Avocado Satsuma Plum Blackcurrant Plum Soursop Sapote Pineberry Grapefruit Jambul
Araza Redcurrant Apple Orange Grape Mango Persimmon Raisin Huckleberry Ximenia
Coconut Tamarind Strawberry Pineapple Bilberry Gooseberry Cashew Peach Sapote Blueberry
temperature__118c temperature__120c temperature__142c temperature__139c temperature__70c temperature__5c temperature__57c temperature__111c temperature__73c temperature__42c
temperature__12c temperature__138c temperature__10c temperature__69c temperature__21c temperature__122c temperature__64c temperature__86c temperature__84c temperature__26c
temperature__144c temperature__144c temperature__49c temperature__123c temperature__33c temperature__136c temperature__36c temperature__84c temperature__14c temperature__139c
temperature__65c temperature__74c temperature__26c temperature__122c temperature__142c temperature__129c temperature__58c temperature__139c temperature__98c temperature__69c
temperature__52c temperature__95c temperature__84c temperature__78c temperature__2c temperature__87c temperature__49c temperature__140c temperature__61c temperature__59c
temperature__130c temperature__140c temperature__44c temperature__116c temperature__41c temperature__49c temperature__40c temperature__33c temperature__68c temperature__109c
temperature__46c temperature__40c temperature__69c temperature__28c temperature__26c temperature__74c temperature__108c temperature__116c temperature__91c temperature__64c
temperature__44c temperature__82c temperature__70c temperature__82c temperature__36c temperature__85c temperature__0c temperature__112c temperature__40c temperature__108c
temperature__2c temperature__144c temperature__144c temperature__68c temperature__27c temperature__53c temperature__86c temperature__33c temperature__123c temperature__137c
temperature__5c temperature__57c temperature__6c temperature__137c temperature__4c temperature__53c temperature__52c temperature__49c temperature__91c temperature__137c
temperature__52c temperature__79c temperature__2c temperature__46c temperature__23c temperature__49c temperature__146c temperature__148c temperature__7c temperature__145c
seafood edible meal animal meat pasta milk edible meals meal
pasta chicken meal plant sushi fruits vegetables fruit restaurant drinks restaurant
provender drinks vegetable cereal fruits vegetables nutrient fruit chicken chicken edible
cheese cooking plant sushi edible nutrition rice seafood plant drinks
rice nourishment cereal vegetable meals fruits vegetables beef nutrition nutrition plant
vegetable provender nutrient victuals edible provender beef rice provender soup
fruit animal seafood cheese plant sushi milk meat cooking beef
milk fruits vegetables meals meat meals meal cereal rice fruit nutrient
seafood victuals chicken meals rice meat restaurant cheese fruits vegetables rice
milk restaurant cereal meal vegetable cooking vegetable seafood rice restaurant
cheese milk cereal beef rice chicken animal nourishment plant nourishment
BinaryNumber_1001100 BinaryNumber_0100001 BinaryNumber_1011001 BinaryNumber_0101001 BinaryNumber_1010000 BinaryNumber_1000010 BinaryNumber_0101110 BinaryNumber_0000110 BinaryNumber_0011011 BinaryNumber_0110010
BinaryNumber_1000100 BinaryNumber_0101000 BinaryNumber_1100011 BinaryNumber_0111101 BinaryNumber_1010110 BinaryNumber_1001111 BinaryNumber_0010100 BinaryNumber_0100110 BinaryNumber_1100000 BinaryNumber_0100010
BinaryNumber_0100111 BinaryNumber_0110110 BinaryNumber_1001010 BinaryNumber_0100011 BinaryNumber_1001010 BinaryNumber_0011010 BinaryNumber_0100000 BinaryNumber_1000100 BinaryNumber_1011010 BinaryNumber_0011111
BinaryNumber_0110110 BinaryNumber_0010000 BinaryNumber_0101110 BinaryNumber_0011111 BinaryNumber_1000101 BinaryNumber_0010100 BinaryNumber_0111011 BinaryNumber_0110010 BinaryNumber_0110001 BinaryNumber_0110110
BinaryNumber_1100001 BinaryNumber_1010011 BinaryNumber_0110001 BinaryNumber_0001011 BinaryNumber_1100010 BinaryNumber_0000011 BinaryNumber_0101100 BinaryNumber_0011111 BinaryNumber_1100000 BinaryNumber_0110000
BinaryNumber_0001001 BinaryNumber_0101001 BinaryNumber_0001011 BinaryNumber_1001110 BinaryNumber_0111001 BinaryNumber_0101000 BinaryNumber_0110011 BinaryNumber_0101000 BinaryNumber_0011011 BinaryNumber_0110110
BinaryNumber_0001011 BinaryNumber_1010011 BinaryNumber_1011100 BinaryNumber_1000010 BinaryNumber_0100011 BinaryNumber_0001010 BinaryNumber_1011001 BinaryNumber_0011011 BinaryNumber_1001111 BinaryNumber_0111001
