Honeyberry Ximenia Banana Durian Tangelo Redcurrant Cranberry Araza Tayberry Akebi
Soursop Abiu Pineapple Cloudberry Marionberry Lemon Acerola Marionberry Mango Redcurrant
Yuzu Acerola Boysenberry Yuzu Jostaberry Cherry Ximenia Damson Peach Peach
Plantain Strawberry Lime Apple Pineapple Papaya Longan Pineberry Breadfruit Guava
Kumquat Cempedak Açaí Melon Lulo Avocado Tangelo Elderberry Jostaberry Kiwifruit
Araza Tamarind Plum Grapefruit Plumcot Kiwano Pomelo Elderberry Loganberry Cantaloupe
Huckleberry Rambutan  Lemon Strawberry Blueberry Lychee Pineapple Blueberry Currant Raisin
Fig Ackee Tamarind Salak Grape Nectarine Papaya Lemon Blackberry Melon
Kiwifruit Passionfruit Tangerine Plum Elderberry Date Watermelon Feijoa Avocado Pomelo
Cranberry Akebi Sapote Kiwifruit Tamarind Boysenberry Raspberry Jackfruit Sapote Ackee
Kumquat Quince Pear Jackfruit Durian Clementine Lychee Acerola Peach Mango
BinaryNumber_1010010 BinaryNumber_0001010 BinaryNumber_0010100 BinaryNumber_1000011 BinaryNumber_0110000 BinaryNumber_0010011 BinaryNumber_1000110 BinaryNumber_1011100 BinaryNumber_0000100 BinaryNumber_0011011
BinaryNumber_0100011 BinaryNumber_0110111 BinaryNumber_1001000 BinaryNumber_0010101 BinaryNumber_0100000 BinaryNumber_0101001 BinaryNumber_0011111 BinaryNumber_0111111 BinaryNumber_0001111 BinaryNumber_0001011
BinaryNumber_0111001 BinaryNumber_1010011 BinaryNumber_0111101 BinaryNumber_1100001 BinaryNumber_0000001 BinaryNumber_1010100 BinaryNumber_0101101 BinaryNumber_1001101 BinaryNumber_0100010 BinaryNumber_1000000
BinaryNumber_0101011 BinaryNumber_0100110 BinaryNumber_0110111 BinaryNumber_0100000 BinaryNumber_0111101 BinaryNumber_1100011 BinaryNumber_0111110 BinaryNumber_1011110 BinaryNumber_1001001 BinaryNumber_0101000
BinaryNumber_0100110 BinaryNumber_0010010 BinaryNumber_0001011 BinaryNumber_0010111 BinaryNumber_1011111 BinaryNumber_0110100 BinaryNumber_0000000 BinaryNumber_0101110 BinaryNumber_0110111 BinaryNumber_1010000
