open adorable faithful proud hungry doubtful nasty successful cruel homely
unusual selfish colorful muddy creepy fancy filthy odd unusual odd
homely clear anxious famous faithful inquisitive elated troubled fragile grieving
aggressive dead bored annoyed important quaint hurt fair black smoggy
tasty awful victorious blue-eyed crowded grumpy easy fantastic sore fancy
powerful mushy cheerful itchy doubtful agreeable lovely joyous bewildered annoyed
evil grotesque brainy uptight excited obnoxious cute sleepy pleasant lonely
gifted old-fashioned wide-eyed poor zealous bad tired jealous terrible outstanding
aggressive vivacious lively alive annoyed funny mushy real awful tasty
pleasant blue awful worrisome zealous selfish courageous light inexpensive blue-eyed
lively troubled real glorious fancy combative thoughtless grieving energetic lucky
BinaryNumber_0010001 BinaryNumber_1011011 BinaryNumber_1001110 BinaryNumber_0100101 BinaryNumber_1011001 BinaryNumber_0111110 BinaryNumber_0001001 BinaryNumber_0001101 BinaryNumber_0100000 BinaryNumber_0111000
BinaryNumber_0011111 BinaryNumber_0001010 BinaryNumber_1010101 BinaryNumber_1001000 BinaryNumber_1010110 BinaryNumber_1001111 BinaryNumber_0000001 BinaryNumber_1010010 BinaryNumber_1011001 BinaryNumber_0111111
BinaryNumber_0101000 BinaryNumber_1000010 BinaryNumber_1010111 BinaryNumber_0000100 BinaryNumber_0110101 BinaryNumber_1001100 BinaryNumber_0100010 BinaryNumber_0101010 BinaryNumber_0001110 BinaryNumber_1011111
BinaryNumber_1000001 BinaryNumber_1000101 BinaryNumber_0011010 BinaryNumber_0101000 BinaryNumber_1011001 BinaryNumber_0100100 BinaryNumber_0110011 BinaryNumber_0011101 BinaryNumber_0011010 BinaryNumber_1000010
BinaryNumber_0111111 BinaryNumber_1011101 BinaryNumber_0110100 BinaryNumber_0011010 BinaryNumber_1011001 BinaryNumber_1100011 BinaryNumber_0001000 BinaryNumber_1010011 BinaryNumber_0101100 BinaryNumber_0010011
BinaryNumber_1000101 BinaryNumber_0111100 BinaryNumber_1011000 BinaryNumber_0110100 BinaryNumber_0110110 BinaryNumber_1000010 BinaryNumber_1011111 BinaryNumber_1000110 BinaryNumber_0010101 BinaryNumber_0011001
BinaryNumber_1100010 BinaryNumber_0101101 BinaryNumber_0101000 BinaryNumber_0000111 BinaryNumber_0110100 BinaryNumber_0001111 BinaryNumber_0111100 BinaryNumber_0101101 BinaryNumber_0000111 BinaryNumber_1100011
BinaryNumber_0110011 BinaryNumber_0110010 BinaryNumber_1000010 BinaryNumber_0011111 BinaryNumber_1010111 BinaryNumber_0001011 BinaryNumber_0100101 BinaryNumber_0001011 BinaryNumber_0011111 BinaryNumber_1010100
BinaryNumber_0001111 BinaryNumber_0001010 BinaryNumber_0000100 BinaryNumber_0101011 BinaryNumber_1010101 BinaryNumber_1000111 BinaryNumber_0110000 BinaryNumber_0111110 BinaryNumber_1010000 BinaryNumber_1001100
