Aquamarine Burlywood PaleGoldenrod Chartreuse Gold SteelBlue AntiqueWhite White NavajoWhite LightPink
AliceBlue LightCoral Pink LightCoral LightCyan Honeydew PaleTurquoise DarkCyan MistyRose NavajoWhite
MediumPurple DarkRed Lavender NavajoWhite IndianRed SlateGray Maroon Thistle Coral PowderBlue
Lime Gold NavajoWhite AntiqueWhite SeaGreen DarkOliveGreen Chocolate GhostWhite Purple Orchid
DarkSeaGreen LawnGreen MediumSpringGreen Coral Orchid DarkKhaki LightSkyBlue Khaki Sienna Chartreuse
Green Red DarkGreen SandyBrown MediumTurquoise MediumSlateBlue Gray DarkSeaGreen DarkKhaki LightSlateGray
MediumPurple LightSteelBlue White Lavender SpringGreen Beige MidnightBlue SeaGreen GhostWhite Seashell
Tan Brown SlateGray Olive DarkCyan BlanchedAlmond LightGray LemonChiffon Cyan LightSlateGray
Pink SpringGreen DarkSlateBlue Black DeepPink Coral Beige Seashell HotPink Bisque
SlateGray DarkSeaGreen Cornsilk RoyalBlue LimeGreen Navy Coral Firebrick Peru Turquoise
CornflowerBlue DarkGray Peru LightGoldenrod DarkSlateBlue Blue Turquoise RosyBrown DarkGoldenrod WhiteSmoke
temperature__0c temperature__93c temperature__144c temperature__73c temperature__10c temperature__23c temperature__109c temperature__28c temperature__33c temperature__42c
temperature__130c temperature__100c temperature__138c temperature__74c temperature__0c temperature__52c temperature__56c temperature__130c temperature__131c temperature__58c
temperature__2c temperature__26c temperature__59c temperature__69c temperature__41c temperature__64c temperature__118c temperature__47c temperature__61c temperature__33c
temperature__44c temperature__14c temperature__100c temperature__118c temperature__148c temperature__136c temperature__27c temperature__4c temperature__122c temperature__148c
temperature__90c temperature__73c temperature__74c temperature__44c temperature__5c temperature__122c temperature__30c temperature__112c temperature__82c temperature__108c
temperature__118c temperature__138c temperature__88c temperature__59c temperature__116c temperature__56c temperature__17c temperature__131c temperature__61c temperature__124c
temperature__144c temperature__100c temperature__64c temperature__35c temperature__59c temperature__54c temperature__14c temperature__82c temperature__109c temperature__39c
temperature__7c temperature__98c temperature__108c temperature__64c temperature__91c temperature__49c temperature__112c temperature__119c temperature__64c temperature__140c
temperature__111c temperature__65c temperature__122c temperature__28c temperature__73c temperature__109c temperature__84c temperature__65c temperature__126c temperature__144c
temperature__77c temperature__52c temperature__44c temperature__12c temperature__4c temperature__31c temperature__95c temperature__78c temperature__4c temperature__3c
temperature__73c temperature__49c temperature__6c temperature__34c temperature__33c temperature__92c temperature__2c temperature__120c temperature__33c temperature__138c
15:54 19:35 16:43 15:37 21:49 14:26 22:59 16:59 11:41 10:43
16:39 15:26 18:33 11:22 23:11 13:18 10:56 18:36 16:12 16:13
10:30 19:27 12:24 16:22 10:44 21:29 12:12 15:34 16:10 22:22
20:27 18:59 21:22 15:40 18:23 10:37 20:56 12:31 17:12 19:59
