DarkGoldenrod SeaGreen Honeydew Cyan MediumAquamarine DarkRed Yellow Wheat LightBlue Bisque
Orchid LightCoral GhostWhite Wheat Gray Maroon Lavender MistyRose Orange LimeGreen
MediumPurple LightSlateGray DarkOrange MediumAquamarine DarkGoldenrod MediumSlateBlue DarkBlue Firebrick DarkGoldenrod DarkOrchid
Azure LightBlue Fuchsia Blue LemonChiffon SlateGray Plum DarkBlue MediumBlue FloralWhite
Snow Azure MistyRose LightSlateGray Gold SaddleBrown Snow MediumSpringGreen Bisque LawnGreen
MediumOrchid DarkSlateBlue Thistle Feldspar MediumOrchid MediumTurquoise LightSteelBlue DarkTurquoise CadetBlue SpringGreen
PaleGoldenrod Firebrick MediumOrchid LightGreen PaleGoldenrod Orchid DarkSalmon MediumAquamarine Goldenrod IndianRed
LemonChiffon Bisque SteelBlue BlanchedAlmond Wheat SpringGreen Purple MidnightBlue DarkRed BlanchedAlmond
Burlywood Ivory MistyRose Orange DarkSlateGray Red DarkOliveGreen Feldspar LightGoldenrodYellow MediumAquamarine
SlateGray WhiteSmoke FloralWhite Fuchsia Black SaddleBrown SeaGreen Indigo Linen Honeydew
DarkSeaGreen Wheat Khaki LightCyan LightSalmon DarkSlateBlue DeepSkyBlue Bisque CadetBlue Azure
Smallintestine Liver Thalamus Capillaries Bronchi Mesentery Ligaments Cerebellum Iris Tongue
Pancreas Tonsils Thalamus Lungs Ciliarybody Esophagus Tongue Midbrain Scrotum Vulva
Ossicles Tongue Cranialnerves Pancreas Pharynx Tonsils Teeth Penis Ovaries Jejunum
Fallopiantubes Capillaries Heart Cervix Tastebuds Pancreas Ileum Cerebellum Cranialnerves Rectum
Urethra Eardrum Analcanal Duodenum Brain Sensoryorgans Analcanal Pharynx Veins Scrotum
Eye Pancreas Spinalnerves Cornea Cervix Sensoryorgans Cornea Cervix Veins Sensoryorgans
Ear skeleton Kidneys Tastebuds Tongue Scrotum Ligaments Middleear Pons Bladder
