Kumquat Blackberry Araza Breadfruit Papaya Jujube Abiu Coconut Marionberry Banana
Coconut Sapodilla Sapote Akebi Gooseberry Peach Cantaloupe Kumquat Currant Sapote
Quince Plum Currant Orange Pear Blackberry Sapodilla Canistel Apple Melon
Gooseberry Pineberry Currant Mulberry Salmonberry Lemon Apricot Kiwifruit Plumcot Apricot
Ximenia Salmonberry Soursop Lulo Apricot Cherry Pineberry Ackee Akebi Lychee
Strawberry Sapodilla Redcurrant Plantain Jostaberry Sapote Lulo Pear Nance Peach
Guava Gooseberry Pomelo Tangelo Fig Tayberry Pomegranate Blackcurrant Grapefruit Acerola
Cherry Sapodilla Mangosteen Peach Quince Akebi Pineapple Kiwifruit Jambul Longan
Salak Blackcurrant Elderberry Pawpaw Watermelon Blackberry Nance Cantaloupe Kumquat Tayberry
Elderberry Apricot Strawberry Watermelon Cantaloupe Pineapple Mangosteen Jujube Breadfruit Lychee
Yuzu Orange Salak Papaya Huckleberry Date Currant Grape Tangelo Longan
BinaryNumber_1100010 BinaryNumber_0100100 BinaryNumber_0010010 BinaryNumber_0101011 BinaryNumber_0101100 BinaryNumber_1001000 BinaryNumber_0000101 BinaryNumber_0111011 BinaryNumber_1011001 BinaryNumber_1010001
BinaryNumber_0111011 BinaryNumber_0101000 BinaryNumber_0001001 BinaryNumber_0100111 BinaryNumber_0001000 BinaryNumber_0000101 BinaryNumber_0101010 BinaryNumber_1001010 BinaryNumber_0000110 BinaryNumber_0101100
BinaryNumber_0000111 BinaryNumber_1000001 BinaryNumber_0100111 BinaryNumber_1011110 BinaryNumber_1011110 BinaryNumber_1010101 BinaryNumber_0000000 BinaryNumber_0110011 BinaryNumber_0011011 BinaryNumber_1001110
BinaryNumber_0111111 BinaryNumber_1011101 BinaryNumber_0011100 BinaryNumber_0111111 BinaryNumber_0010111 BinaryNumber_1000110 BinaryNumber_0011110 BinaryNumber_1000000 BinaryNumber_0001101 BinaryNumber_1011001
BinaryNumber_1000101 BinaryNumber_0101111 BinaryNumber_1011111 BinaryNumber_0100100 BinaryNumber_0001010 BinaryNumber_0011100 BinaryNumber_0001110 BinaryNumber_0010100 BinaryNumber_1000000 BinaryNumber_0110110
BinaryNumber_1011101 BinaryNumber_1001001 BinaryNumber_0011001 BinaryNumber_0011000 BinaryNumber_1010100 BinaryNumber_1010101 BinaryNumber_0100110 BinaryNumber_0001001 BinaryNumber_0000010 BinaryNumber_1010001
