Orange Longan Quince Tamarind Mango Jujube Plumcot Jambul Tamarillo Durian
Cashew Feijoa Avocado Blackberry Pomegranate Breadfruit Kiwano Tamarind Honeyberry Quince
Quince Blackberry Gooseberry Blackberry Tayberry Sapodilla Sapodilla Lulo Clementine Papaya
Lime Feijoa Kiwano Boysenberry Damson Tangelo Tangelo Boysenberry Rambutan  Guava
Watermelon Salak Cashew Kiwifruit Strawberry Cherimoya Nectarine Akebi Akebi Mulberry
Kumquat Nectarine Banana Kumquat Feijoa Rambutan  Peach Sapote Tangelo Orange
Mulberry Clementine Soursop Coconut Kiwifruit Plum Plantain Raisin Prune Açaí
Ximenia Plumcot Raisin Redcurrant Raisin Grapefruit Rambutan  Honeyberry Quince Canistel
Acerola Apple Lemon Jambul Sapote Passionfruit Cashew Tamarind Pineapple Lulo
Cherry Elderberry Elderberry Orange Pomelo Soursop Jackfruit Soursop Tayberry Grapefruit
Salmonberry Kumquat Persimmon Mandarine Rambutan  Blackberry Date Passionfruit Pear Papaya
BinaryNumber_1011111 BinaryNumber_1100011 BinaryNumber_1000001 BinaryNumber_1100000 BinaryNumber_0011010 BinaryNumber_0011001 BinaryNumber_0111010 BinaryNumber_1011100 BinaryNumber_1001011 BinaryNumber_0110010
BinaryNumber_0001010 BinaryNumber_0110011 BinaryNumber_0010001 BinaryNumber_1010011 BinaryNumber_1010101 BinaryNumber_1010011 BinaryNumber_0111001 BinaryNumber_0111100 BinaryNumber_1001100 BinaryNumber_1001101
BinaryNumber_1100001 BinaryNumber_1000101 BinaryNumber_0111110 BinaryNumber_0010101 BinaryNumber_0011111 BinaryNumber_0101101 BinaryNumber_0111110 BinaryNumber_1100010 BinaryNumber_1000101 BinaryNumber_0000100
BinaryNumber_0110111 BinaryNumber_0011101 BinaryNumber_1001111 BinaryNumber_1001000 BinaryNumber_0110001 BinaryNumber_1001010 BinaryNumber_0111111 BinaryNumber_0010010 BinaryNumber_0011101 BinaryNumber_0111001
BinaryNumber_1001011 BinaryNumber_1100010 BinaryNumber_0000010 BinaryNumber_1001101 BinaryNumber_1011100 BinaryNumber_1011100 BinaryNumber_0000001 BinaryNumber_0110111 BinaryNumber_1010010 BinaryNumber_0101100
