Loquat Lulo Lemon Pomegranate Plantain Avocado Gooseberry Persimmon Bilberry Blackberry
Sapodilla Plantain Kiwifruit Passionfruit Bilberry Persimmon Tamarillo Durian Passionfruit Ackee
Currant Melon Apricot Ximenia Sapodilla Loquat Honeyberry Mandarine Nectarine Ackee
Pomegranate Mandarine Jambul Cempedak Mulberry Salak Pineapple Cashew Pear Soursop
Mangosteen Breadfruit Tangerine Lulo Redcurrant Cherry Pineberry Cherry Clementine Tangerine
Melon Grapefruit Boysenberry Blackberry Salmonberry Pawpaw Cantaloupe Fig Ackee Sapodilla
Abiu Durian Lime Salmonberry Gooseberry Kiwano Persimmon Pineapple Mango Tamarind
Acerola Akebi Currant Ximenia Tangelo Abiu Pear Longan Cherimoya Passionfruit
Tamarind Breadfruit Satsuma Acerola Blackcurrant Cherry Mulberry Satsuma Guava Papaya
Date Tayberry Honeyberry Mango Nance Melon Cranberry Apricot Satsuma Plumcot
Bilberry Elderberry Melon Guava Tamarind Grapefruit Rambutan  Yuzu Boysenberry Rambutan 
temperature__54c temperature__14c temperature__0c temperature__70c temperature__141c temperature__36c temperature__142c temperature__59c temperature__26c temperature__10c
temperature__26c temperature__91c temperature__82c temperature__78c temperature__30c temperature__50c temperature__47c temperature__4c temperature__64c temperature__124c
temperature__84c temperature__44c temperature__58c temperature__7c temperature__27c temperature__56c temperature__24c temperature__42c temperature__28c temperature__126c
temperature__59c temperature__47c temperature__82c temperature__8c temperature__139c temperature__23c temperature__137c temperature__0c temperature__65c temperature__106c
temperature__91c temperature__33c temperature__17c temperature__44c temperature__144c temperature__41c temperature__33c temperature__24c temperature__53c temperature__137c
temperature__93c temperature__95c temperature__7c temperature__8c temperature__27c temperature__78c temperature__88c temperature__71c temperature__136c temperature__64c
temperature__136c temperature__118c temperature__95c temperature__42c temperature__46c temperature__131c temperature__111c temperature__100c temperature__56c temperature__35c
temperature__54c temperature__78c temperature__10c temperature__146c temperature__111c temperature__26c temperature__40c temperature__12c temperature__92c temperature__21c
temperature__58c temperature__111c temperature__21c temperature__22c temperature__140c temperature__56c temperature__41c temperature__22c temperature__23c temperature__119c
temperature__24c temperature__92c temperature__52c temperature__35c temperature__130c temperature__0c temperature__71c temperature__51c temperature__86c temperature__7c
temperature__70c temperature__105c temperature__74c temperature__14c temperature__148c temperature__4c temperature__12c temperature__129c temperature__79c temperature__21c
