Tangerine Canistel Sapodilla Quince Satsuma Damson Durian Tayberry Grape Papaya
Longan Akebi Kiwano Lychee Honeyberry Salmonberry Ackee Pomelo Pawpaw Plantain
Mulberry Salmonberry Kiwano Ackee Canistel Longan Araza Watermelon Akebi Grapefruit
Cashew Yuzu Boysenberry Grape Cashew Plum Plumcot Melon Currant Tamarind
Peach Mango Breadfruit Satsuma Tangelo Satsuma Satsuma Loquat Pawpaw Damson
Strawberry Cantaloupe Pawpaw Ximenia Salmonberry Quince Date Araza Satsuma Nance
Breadfruit Sapote Sapote Kumquat Mangosteen Currant Lychee Papaya Plantain Canistel
Satsuma Tamarillo Mangosteen Lime Yuzu Breadfruit Lime Passionfruit Redcurrant Grapefruit
Papaya Gooseberry Canistel Apple Plum Jambul Lychee Loquat Cashew Damson
Honeydew Quince Apple Abiu Nance Jackfruit Apricot Cherry Honeyberry Mandarine
Nectarine Huckleberry Orange Plantain Fig Gooseberry Jambul Açaí Soursop Abiu
magnificent cheerful drab sleepy vast lovely worried anxious vast spotless
joyous good zany better modern wide-eyed foolish eager nice gorgeous
putrid perfect hurt naughty cooperative powerful fierce cloudy crowded nutty
powerful zany strange evil fierce shiny plain joyous troubled wild
putrid frightened envious tired horrible real shy jittery confused beautiful
bright awful super old-fashioned breakable eager grieving tired blue-eyed inquisitive
excited enchanting wicked outstanding gleaming odd evil famous bloody unsightly
innocent eager frightened healthy sleepy zealous prickly bad unsightly relieved
energetic magnificent jittery terrible nutty vast angry determined shiny delightful
silly lucky cheerful inquisitive disturbed wide-eyed average super beautiful stormy
famous repulsive lonely witty shy worried joyous frantic super proud
temperature__57c temperature__106c temperature__123c temperature__47c temperature__6c temperature__16c temperature__35c temperature__93c temperature__93c temperature__28c
temperature__51c temperature__23c temperature__41c temperature__73c temperature__141c temperature__129c temperature__78c temperature__130c temperature__118c temperature__87c
temperature__139c temperature__140c temperature__147c temperature__63c temperature__33c temperature__112c temperature__88c temperature__144c temperature__111c temperature__31c
