MidnightBlue IndianRed Beige Coral DarkOrchid Snow Cornsilk Goldenrod Olive SeaGreen
Khaki DarkSalmon White Bisque MediumAquamarine LightGreen DarkSalmon FloralWhite VioletRed AntiqueWhite
DarkGreen Aquamarine DarkKhaki Ivory Khaki CornflowerBlue Thistle Azure DarkCyan GhostWhite
CadetBlue VioletRed Purple Yellow LightSalmon WhiteSmoke Beige DarkCyan SlateBlue MediumTurquoise
Honeydew DarkKhaki DarkOrange Cornsilk LightCoral PaleTurquoise Burlywood Maroon SpringGreen SaddleBrown
Azure Plum LightSlateGray SlateBlue Purple MediumAquamarine SteelBlue Black Violet LightSlateGray
BlanchedAlmond Cyan Tomato Silver Orchid MediumSlateBlue Ivory Aquamarine SteelBlue Lime
LightCoral OliveDrab GhostWhite Tomato DarkOliveGreen DarkGoldenrod NavajoWhite LightSeaGreen Cyan LightPink
PaleTurquoise SandyBrown FloralWhite MediumAquamarine LightCyan Blue SaddleBrown LightYellow PeachPuff MediumSlateBlue
White Bisque DarkSeaGreen Olive Chocolate Bisque RoyalBlue GhostWhite White PaleTurquoise
Linen DarkGray Violet MidnightBlue LemonChiffon Peru Gold GreenYellow DarkViolet MediumAquamarine
BinaryNumber_0010001 BinaryNumber_1011101 BinaryNumber_1011001 BinaryNumber_0000010 BinaryNumber_0001111 BinaryNumber_0100110 BinaryNumber_0110000 BinaryNumber_1001000 BinaryNumber_0000100 BinaryNumber_1011010
BinaryNumber_0111101 BinaryNumber_1010011 BinaryNumber_1001000 BinaryNumber_0001011 BinaryNumber_0010110 BinaryNumber_0010011 BinaryNumber_1011001 BinaryNumber_0101110 BinaryNumber_0100000 BinaryNumber_0000001
BinaryNumber_0000100 BinaryNumber_0001001 BinaryNumber_0001100 BinaryNumber_0000100 BinaryNumber_0010101 BinaryNumber_1010111 BinaryNumber_0010010 BinaryNumber_0101011 BinaryNumber_0001111 BinaryNumber_0111011
BinaryNumber_1010010 BinaryNumber_0111110 BinaryNumber_0100000 BinaryNumber_1011111 BinaryNumber_0100110 BinaryNumber_0001111 BinaryNumber_1000110 BinaryNumber_0011001 BinaryNumber_1010100 BinaryNumber_1010110
BinaryNumber_0000110 BinaryNumber_1001111 BinaryNumber_0110111 BinaryNumber_0111000 BinaryNumber_1001100 BinaryNumber_1010000 BinaryNumber_0000011 BinaryNumber_0001001 BinaryNumber_0010011 BinaryNumber_0001010
BinaryNumber_0101000 BinaryNumber_0000100 BinaryNumber_0010110 BinaryNumber_0000100 BinaryNumber_1011111 BinaryNumber_0011011 BinaryNumber_0100011 BinaryNumber_0010011 BinaryNumber_0000101 BinaryNumber_0000111
BinaryNumber_1010111 BinaryNumber_0010001 BinaryNumber_0100000 BinaryNumber_1010001 BinaryNumber_0100010 BinaryNumber_1100010 BinaryNumber_0011100 BinaryNumber_1001010 BinaryNumber_0100000 BinaryNumber_0100011
BinaryNumber_1011001 BinaryNumber_1000100 BinaryNumber_0011101 BinaryNumber_0001111 BinaryNumber_1001101 BinaryNumber_1010000 BinaryNumber_0101001 BinaryNumber_1011100 BinaryNumber_1010000 BinaryNumber_0001111
BinaryNumber_0111011 BinaryNumber_0100010 BinaryNumber_0010110 BinaryNumber_1010100 BinaryNumber_1000011 BinaryNumber_0011010 BinaryNumber_0101100 BinaryNumber_1011001 BinaryNumber_0000001 BinaryNumber_1000110
BinaryNumber_1010111 BinaryNumber_1001110 BinaryNumber_0111100 BinaryNumber_0110111 BinaryNumber_0101010 BinaryNumber_0110100 BinaryNumber_0101110 BinaryNumber_1011010 BinaryNumber_1011010 BinaryNumber_0000010
BinaryNumber_0001110 BinaryNumber_1010111 BinaryNumber_0110011 BinaryNumber_1000011 BinaryNumber_0100100 BinaryNumber_0111111 BinaryNumber_0010101 BinaryNumber_1011100 BinaryNumber_0010000 BinaryNumber_1011101
Ureter Innerear Penis Uterus Spleen Larynx Tonsils Cerebellum Brain Thymus
Ligaments Larynx Pancreas Lens Lymphaticvessel Pharynx Urethra Bladder Thalamus Joints
skeleton Middleear Arteries Vulva Fallopiantubes Spinalnerves Pharynx Urethra Lymphaticvessel Pons
Midbrain Spleen Tastebuds Duodenum Capillaries Sensoryorgans Teeth Tongue Tongue Cerebellum
Analcanal Ciliarybody Iris Pons Spleen Capillaries Esophagus Cecum Bronchi Tongue
Pharynx Middleear Capillaries Bronchi Tonsils Ovaries Pharynx Brain Tendons Vulva
Capillaries Analcanal Ossicles Iris Middleear Eardrum Esophagus Scrotum Midbrain Lungs
