DimGray Aquamarine MediumSpringGreen Firebrick SlateBlue DarkGreen LightGoldenrodYellow OldLace Cornsilk SlateGray
DarkOrange PapayaWhip Azure Green Indigo Gray PaleTurquoise BlueViolet MintCream DarkCyan
DarkGray LightPink OldLace SandyBrown Crimson Chartreuse VioletRed Fuchsia LemonChiffon OldLace
DarkGreen Tan LightGoldenrod PaleTurquoise AliceBlue Purple DarkGoldenrod SandyBrown FloralWhite Tomato
LawnGreen LawnGreen SteelBlue PaleTurquoise SaddleBrown Yellow DarkRed SaddleBrown DarkSeaGreen Gray
Cyan PaleGoldenrod Thistle RoyalBlue DeepPink Firebrick Violet Olive Beige HotPink
Beige LightYellow Red Coral MediumSpringGreen Black MediumBlue LightSeaGreen LavenderBlush Silver
SaddleBrown MediumOrchid Gainsboro Silver Linen DarkOrchid GreenYellow MediumBlue MediumSlateBlue BlanchedAlmond
IndianRed LightGoldenrod GhostWhite SkyBlue MistyRose SkyBlue SkyBlue Cyan DimGray Goldenrod
DeepSkyBlue SlateBlue Coral LightYellow GhostWhite Gold Plum MediumVioletRed Firebrick AntiqueWhite
SandyBrown DeepSkyBlue Tan CornflowerBlue FloralWhite Aquamarine DarkSlateBlue Lavender Olive Snow
CubeNumber_681472 CubeNumber_274625 CubeNumber_205379 CubeNumber_729000 CubeNumber_9261 CubeNumber_5832 CubeNumber_216 CubeNumber_274625 CubeNumber_205379 CubeNumber_884736
CubeNumber_13824 CubeNumber_64 CubeNumber_15625 CubeNumber_4913 CubeNumber_125000 CubeNumber_614125 CubeNumber_328509 CubeNumber_226981 CubeNumber_389017 CubeNumber_205379
CubeNumber_91125 CubeNumber_571787 CubeNumber_421875 CubeNumber_778688 CubeNumber_103823 CubeNumber_551368 CubeNumber_205379 CubeNumber_804357 CubeNumber_474552 CubeNumber_421875
CubeNumber_681472 CubeNumber_5832 CubeNumber_729000 CubeNumber_658503 CubeNumber_262144 CubeNumber_438976 CubeNumber_729000 CubeNumber_389017 CubeNumber_74088 CubeNumber_753571
