Fuchsia MediumAquamarine MediumVioletRed RoyalBlue Teal CornflowerBlue VioletRed Gold Wheat LightGray
Burlywood LightCoral Coral Fuchsia MediumVioletRed Gray Honeydew Violet Olive DeepSkyBlue
DeepPink DimGray LightGoldenrod LightGreen PowderBlue Red Maroon Teal Plum Honeydew
Orchid SeaGreen DarkOliveGreen MediumAquamarine Sienna Purple CadetBlue LightSalmon DarkOliveGreen Chartreuse
DarkKhaki MintCream Honeydew LightGoldenrod Burlywood Fuchsia Azure Moccasin Silver LightCoral
LightCyan Tan Teal Turquoise IndianRed Coral Olive NavajoWhite Violet DarkSlateBlue
Salmon GhostWhite LightGray BlanchedAlmond LightSalmon GhostWhite LightSkyBlue DarkRed Bisque BlanchedAlmond
Sienna Yellow DarkGoldenrod GhostWhite DarkTurquoise Turquoise LightYellow Fuchsia LightSlateGray Plum
DarkBlue MediumPurple Purple Aquamarine Aquamarine Peru MediumSlateBlue Green PaleTurquoise LightYellow
DarkTurquoise LightGreen HotPink LightSlateGray Orchid BlanchedAlmond Burlywood CornflowerBlue Chartreuse DeepPink
LightCoral BlueViolet PaleGoldenrod MidnightBlue Green Orange DeepPink Gray DarkTurquoise Khaki
Jostaberry Abiu Gooseberry Açaí Jackfruit Araza Mandarine Rambutan  Sapodilla Kiwifruit
Cloudberry Araza Papaya Watermelon Mandarine Cempedak Yuzu Tayberry Passionfruit Kiwano
Boysenberry Blueberry Pomegranate Prune Soursop Pawpaw Peach Loquat Pineapple Lulo
Acerola Honeydew Elderberry Plum Bilberry Apricot Mangosteen Honeyberry Pawpaw Pineapple
Araza Pomegranate Redcurrant Apricot Plumcot Huckleberry Mangosteen Lulo Banana Avocado
Cantaloupe Passionfruit Orange Jujube Lychee Jambul Tamarind Blueberry Gooseberry Pawpaw
Quince Watermelon Orange Araza Papaya Jostaberry Watermelon Honeydew Cherry Persimmon
Cranberry Sapote Peach Breadfruit Date Canistel Apple Jostaberry Persimmon Raisin
Jujube Açaí Grape Feijoa Jostaberry Pear Peach Lemon Yuzu Prune
