grotesque ill powerful nervous hilarious fantastic sore clumsy cautious careful
ugly troubled muddy clear lonely wicked frantic mushy hungry charming
amused arrogant average crazy precious amused ill tasty nasty vast
gorgeous innocent outrageous evil black panicky agreeable helpless wicked blue
combative average precious silly beautiful selfish glamorous motionless better proud
rich lucky helpful excited thoughtless friendly odd successful handsome encouraging
light smiling tasty exuberant lively different weary sparkling jealous poised
long mushy frail enthusiastic funny brainy wicked perfect odd wide-eyed
successful innocent courageous plain prickly confused crowded silly evil outstanding
joyous defiant real troubled smiling gleaming grieving calm plain talented
wild clear grieving stupid important poor vivacious strange cheerful gifted
BinaryNumber_0010111 BinaryNumber_0011110 BinaryNumber_1001100 BinaryNumber_0000011 BinaryNumber_0110100 BinaryNumber_1000111 BinaryNumber_1100011 BinaryNumber_1010101 BinaryNumber_1011010 BinaryNumber_0101110
BinaryNumber_1100001 BinaryNumber_0001011 BinaryNumber_0010010 BinaryNumber_0010101 BinaryNumber_0110011 BinaryNumber_1100010 BinaryNumber_0001000 BinaryNumber_0110101 BinaryNumber_0001101 BinaryNumber_0010100
BinaryNumber_0111101 BinaryNumber_0011001 BinaryNumber_0111100 BinaryNumber_0101000 BinaryNumber_0110111 BinaryNumber_0011001 BinaryNumber_0101100 BinaryNumber_0010100 BinaryNumber_0000100 BinaryNumber_0011000
BinaryNumber_1010110 BinaryNumber_1000011 BinaryNumber_0001110 BinaryNumber_0010000 BinaryNumber_0110011 BinaryNumber_0111000 BinaryNumber_0001110 BinaryNumber_1100010 BinaryNumber_1011101 BinaryNumber_0000111
BinaryNumber_0110100 BinaryNumber_0011001 BinaryNumber_0111110 BinaryNumber_1011010 BinaryNumber_0100010 BinaryNumber_0110100 BinaryNumber_1010001 BinaryNumber_0010010 BinaryNumber_0111101 BinaryNumber_1001000
BinaryNumber_1010000 BinaryNumber_0111000 BinaryNumber_1011000 BinaryNumber_0010110 BinaryNumber_0100111 BinaryNumber_0110110 BinaryNumber_1000011 BinaryNumber_1000101 BinaryNumber_0101010 BinaryNumber_0110010
BinaryNumber_0000011 BinaryNumber_0010110 BinaryNumber_0111111 BinaryNumber_0100101 BinaryNumber_1011110 BinaryNumber_0000001 BinaryNumber_1010000 BinaryNumber_0010000 BinaryNumber_1000110 BinaryNumber_0000111
BinaryNumber_1001000 BinaryNumber_1010011 BinaryNumber_0111100 BinaryNumber_1011000 BinaryNumber_1000111 BinaryNumber_0110110 BinaryNumber_1011111 BinaryNumber_0001111 BinaryNumber_0010010 BinaryNumber_0001000
BinaryNumber_1001110 BinaryNumber_0010100 BinaryNumber_1011010 BinaryNumber_0100001 BinaryNumber_0001110 BinaryNumber_1010110 BinaryNumber_1011111 BinaryNumber_1000111 BinaryNumber_0011110 BinaryNumber_0101100
