dead angry muddy perfect puzzled odd foolish alive lonely disgusted
weary blue-eyed gorgeous courageous homely fragile funny cautious super fierce
silly grotesque arrogant bloody attractive troubled light black hurt perfect
frightened proud foolish strange tense beautiful nice cooperative clumsy excited
splendid stormy dark angry attractive repulsive adventurous filthy grotesque blushing
important mysterious curious annoying dark glorious nice poor dark dangerous
difficult unusual grieving homeless elated doubtful shiny panicky worried cooperative
witty jolly cooperative talented tired bored nasty cloudy fine envious
vast impossible hurt tender black brave wild gleaming depressed nervous
poor bad delightful obedient tender outrageous glorious blue-eyed clean awful
defiant anxious eager encouraging gorgeous jealous real important long adorable
BinaryNumber_1001100 BinaryNumber_0000011 BinaryNumber_1000010 BinaryNumber_1000100 BinaryNumber_1001111 BinaryNumber_0011001 BinaryNumber_1011110 BinaryNumber_1000001 BinaryNumber_0100111 BinaryNumber_0101001
BinaryNumber_0101010 BinaryNumber_1100001 BinaryNumber_0111101 BinaryNumber_1000101 BinaryNumber_1010010 BinaryNumber_1011010 BinaryNumber_0111101 BinaryNumber_0110111 BinaryNumber_0000111 BinaryNumber_0001111
BinaryNumber_0010100 BinaryNumber_0111010 BinaryNumber_0101111 BinaryNumber_0011101 BinaryNumber_0001111 BinaryNumber_0001000 BinaryNumber_0101000 BinaryNumber_1000001 BinaryNumber_1000001 BinaryNumber_0110001
BinaryNumber_0001111 BinaryNumber_0100010 BinaryNumber_1010101 BinaryNumber_1001001 BinaryNumber_1011001 BinaryNumber_0101111 BinaryNumber_0110000 BinaryNumber_0100101 BinaryNumber_0010101 BinaryNumber_0010111
BinaryNumber_0001110 BinaryNumber_0000100 BinaryNumber_0110101 BinaryNumber_0011011 BinaryNumber_0000010 BinaryNumber_1000101 BinaryNumber_0110110 BinaryNumber_0101000 BinaryNumber_0111011 BinaryNumber_1000001
BinaryNumber_0100100 BinaryNumber_1011010 BinaryNumber_0001011 BinaryNumber_1000110 BinaryNumber_0001011 BinaryNumber_0101000 BinaryNumber_1001111 BinaryNumber_0010111 BinaryNumber_1011010 BinaryNumber_1001101
