LightYellow Gold GhostWhite Pink LightGreen Orange Ivory LightPink Lavender Thistle
LightGreen Moccasin DarkOrange LightSkyBlue SlateBlue PaleTurquoise PowderBlue PaleGreen Firebrick Moccasin
LightGray Firebrick SkyBlue Goldenrod Red SpringGreen GhostWhite MediumOrchid SteelBlue Coral
DarkFuchsia PaleVioletRed Aquamarine MistyRose LightGray MistyRose DarkFuchsia LightCoral SlateBlue PeachPuff
LightCoral CornflowerBlue PaleVioletRed Green LightCoral MediumSpringGreen DarkSlateGray Gold DarkTurquoise DarkSalmon
SteelBlue Seashell OliveDrab IndianRed Thistle GhostWhite Bisque Chartreuse LightPink MediumOrchid
Pink DarkOliveGreen DarkBlue HotPink Linen MediumVioletRed Coral White DarkGray MediumAquamarine
Turquoise Linen LightSalmon PowderBlue LightGray FloralWhite Gold LightSalmon Thistle Honeydew
ForestGreen Sienna PaleVioletRed CadetBlue Snow Lavender DarkFuchsia Tan Crimson MidnightBlue
Plum LightSlateBlue CadetBlue DodgerBlue AliceBlue Tan White BlanchedAlmond Violet Gray
DarkOliveGreen Azure LightPink Navy Teal MediumAquamarine LimeGreen DarkGoldenrod Gray DarkCyan
temperature__124c temperature__131c temperature__79c temperature__131c temperature__116c temperature__106c temperature__31c temperature__46c temperature__129c temperature__126c
temperature__93c temperature__24c temperature__2c temperature__22c temperature__138c temperature__137c temperature__33c temperature__146c temperature__82c temperature__22c
temperature__86c temperature__86c temperature__24c temperature__26c temperature__131c temperature__17c temperature__41c temperature__139c temperature__10c temperature__142c
temperature__61c temperature__145c temperature__123c temperature__46c temperature__74c temperature__61c temperature__69c temperature__46c temperature__0c temperature__8c
temperature__22c temperature__140c temperature__51c temperature__21c temperature__68c temperature__145c temperature__106c temperature__3c temperature__40c temperature__0c
temperature__56c temperature__130c temperature__109c temperature__34c temperature__105c temperature__78c temperature__98c temperature__68c temperature__79c temperature__146c
temperature__59c temperature__116c temperature__5c temperature__21c temperature__49c temperature__8c temperature__123c temperature__98c temperature__141c temperature__2c
temperature__91c temperature__21c temperature__136c temperature__52c temperature__57c temperature__36c temperature__147c temperature__26c temperature__3c temperature__16c
temperature__28c temperature__21c temperature__14c temperature__56c temperature__57c temperature__148c temperature__132c temperature__44c temperature__5c temperature__57c
temperature__57c temperature__120c temperature__126c temperature__16c temperature__144c temperature__109c temperature__84c temperature__109c temperature__87c temperature__33c
temperature__35c temperature__122c temperature__69c temperature__3c temperature__53c temperature__41c temperature__12c temperature__131c temperature__141c temperature__28c
Esophagus Ureter Middleear Lungs Eye Thymus Spinalnerves Larynx Joints Spleen
Thymus Thalamus Lens Cerebrum Retina Spleen Lymphaticvessel Clitoris Liver Teeth
