Satsuma Guava Banana Tayberry Blueberry Grape Kiwifruit Orange Apple Grapefruit
Soursop Jostaberry Prune Pear Elderberry Banana Lime Nance Apricot Lime
Jostaberry Pineberry Lemon Lemon Apricot Raspberry Pineapple Cempedak Pomelo Honeyberry
Banana Clementine Jambul Soursop Date Cempedak Kumquat Guava Mandarine Apricot
Breadfruit Nectarine Jujube Huckleberry Coconut Marionberry Jujube Yuzu Orange Satsuma
Rambutan  Mandarine Pineberry Avocado Elderberry Ximenia Redcurrant Strawberry Araza Honeyberry
Canistel Lemon Honeydew Tamarillo Honeydew Raspberry Gooseberry Acerola Apricot Peach
Cherry Plum Blueberry Lime Loganberry Strawberry Plum Cloudberry Blueberry Tayberry
Gooseberry Nance Cempedak Lulo Redcurrant Longan Pear Gooseberry Tamarind Mango
Plum Honeyberry Peach Yuzu Sapote Papaya Ximenia Pomegranate Cempedak Kiwifruit
Quince Pomegranate Mangosteen Plantain Feijoa Nance Grapefruit Loquat Araza Canistel
BinaryNumber_0011010 BinaryNumber_1000011 BinaryNumber_1001010 BinaryNumber_1010100 BinaryNumber_1011100 BinaryNumber_1000111 BinaryNumber_0101010 BinaryNumber_1011110 BinaryNumber_0000010 BinaryNumber_0001101
BinaryNumber_1000110 BinaryNumber_1100000 BinaryNumber_1000011 BinaryNumber_0011001 BinaryNumber_0101100 BinaryNumber_1010010 BinaryNumber_0111110 BinaryNumber_0100001 BinaryNumber_1000000 BinaryNumber_0110110
BinaryNumber_0010010 BinaryNumber_0000110 BinaryNumber_0000001 BinaryNumber_1001110 BinaryNumber_0111101 BinaryNumber_0101101 BinaryNumber_1000111 BinaryNumber_0011010 BinaryNumber_0010111 BinaryNumber_1100010
BinaryNumber_0111101 BinaryNumber_1011100 BinaryNumber_0010011 BinaryNumber_0110101 BinaryNumber_1010000 BinaryNumber_1100001 BinaryNumber_0001000 BinaryNumber_1010000 BinaryNumber_0001001 BinaryNumber_0110010
BinaryNumber_0111001 BinaryNumber_0100111 BinaryNumber_1000100 BinaryNumber_0001110 BinaryNumber_1001000 BinaryNumber_1011010 BinaryNumber_1000101 BinaryNumber_0110010 BinaryNumber_1010100 BinaryNumber_1010100
BinaryNumber_0110100 BinaryNumber_0100010 BinaryNumber_1011101 BinaryNumber_0011000 BinaryNumber_0100111 BinaryNumber_1001010 BinaryNumber_1001010 BinaryNumber_1010001 BinaryNumber_1100010 BinaryNumber_0010101
BinaryNumber_1000001 BinaryNumber_0010101 BinaryNumber_1001110 BinaryNumber_0101101 BinaryNumber_1100001 BinaryNumber_1010011 BinaryNumber_0000011 BinaryNumber_1011111 BinaryNumber_1001000 BinaryNumber_0101101
BinaryNumber_1000101 BinaryNumber_0010000 BinaryNumber_1011110 BinaryNumber_0000111 BinaryNumber_0110100 BinaryNumber_0110001 BinaryNumber_0110001 BinaryNumber_0100010 BinaryNumber_1011010 BinaryNumber_0011110
