beautiful different weary nervous bewildered inexpensive relieved easy real troubled
helpless awful healthy graceful graceful condemned troubled tough itchy blushing
talented comfortable homely mushy beautiful jolly naughty relieved helpful old-fashioned
open brainy obedient lazy sore fierce unusual anxious gorgeous beautiful
poor adorable foolish shiny fancy eager motionless funny embarrassed witty
kind uptight shy homeless graceful selfish outstanding scary foolish thoughtless
depressed glorious adventurous zany wide-eyed amused smoggy dizzy bloody blue
mushy sparkling breakable smoggy perfect happy bewildered bored pleasant enthusiastic
cruel courageous witty uptight funny mushy friendly good nutty expensive
selfish horrible anxious weary amused blue-eyed disturbed poised dark breakable
dark modern funny shy muddy nasty awful mushy stormy relieved
diskette inputdevice abacus expansionslot xbox machine computercide compatible ibook game
tablet phone incompatible mainframe calculator calculator monitor daw automation software
social computerprogramming computercide microcomputer sliderule computercide monitor data screen laptopcomputer
ibook computercide astrolabe analogcomputer electromechanical computerscience diskette computercide daw microprocessor
sliderule von neumann machine supercomputer cyber memory diskette virtualreality chip supercomputer mainframe
escapekey computerprogramming imac computerscience phone eniac compatible xbox daw screen
screen visualdisplayunit integratedcircuit router incompatible programmer eniac bit office imac
desktopcomputer digital phone analogcomputer abacus vacuumtube automation homecomputer phone office
proprietary dataconverter computerhardware keyboard digitalcomputer digitalaudioplayer machine antivirus homecomputer daw
server abacus machine virtualreality proprietary ibook centralprocessing unit homecomputer memory mobile
mainframe information camera pc imac computercide chip monitor vacuumtube computing
BinaryNumber_0101010 BinaryNumber_0001101 BinaryNumber_0000010 BinaryNumber_1000110 BinaryNumber_0101011 BinaryNumber_1010100 BinaryNumber_1010101 BinaryNumber_1001111 BinaryNumber_1000100 BinaryNumber_0001101
BinaryNumber_0110111 BinaryNumber_0011011 BinaryNumber_0011111 BinaryNumber_1001011 BinaryNumber_0111000 BinaryNumber_1100001 BinaryNumber_1010101 BinaryNumber_0101100 BinaryNumber_0000001 BinaryNumber_1001110
BinaryNumber_0011001 BinaryNumber_0111110 BinaryNumber_0011101 BinaryNumber_1100010 BinaryNumber_1100010 BinaryNumber_0001010 BinaryNumber_1001111 BinaryNumber_1010100 BinaryNumber_0010011 BinaryNumber_1010110
BinaryNumber_1100010 BinaryNumber_0001111 BinaryNumber_0111110 BinaryNumber_1010101 BinaryNumber_0010010 BinaryNumber_0101001 BinaryNumber_0011110 BinaryNumber_1011100 BinaryNumber_1001101 BinaryNumber_0000001
BinaryNumber_1000001 BinaryNumber_0011011 BinaryNumber_0010010 BinaryNumber_1011100 BinaryNumber_0110110 BinaryNumber_0011101 BinaryNumber_0111100 BinaryNumber_0101111 BinaryNumber_0010010 BinaryNumber_1000100
BinaryNumber_1011010 BinaryNumber_0001000 BinaryNumber_0100110 BinaryNumber_0001101 BinaryNumber_0100001 BinaryNumber_0010010 BinaryNumber_1100000 BinaryNumber_0110111 BinaryNumber_0011111 BinaryNumber_0111110
BinaryNumber_0110101 BinaryNumber_1011101 BinaryNumber_0010111 BinaryNumber_1011111 BinaryNumber_0011110 BinaryNumber_0011000 BinaryNumber_0011101 BinaryNumber_0011100 BinaryNumber_0011110 BinaryNumber_1100001
BinaryNumber_0100100 BinaryNumber_1001001 BinaryNumber_0100000 BinaryNumber_0101000 BinaryNumber_0010101 BinaryNumber_1010100 BinaryNumber_1010101 BinaryNumber_0011011 BinaryNumber_1000001 BinaryNumber_0011001
BinaryNumber_1001011 BinaryNumber_0011010 BinaryNumber_0011001 BinaryNumber_0011111 BinaryNumber_1010011 BinaryNumber_0111110 BinaryNumber_0010101 BinaryNumber_1100000 BinaryNumber_1011000 BinaryNumber_0011010
BinaryNumber_0111011 BinaryNumber_1011110 BinaryNumber_1011110 BinaryNumber_0101100 BinaryNumber_0011110 BinaryNumber_0110100 BinaryNumber_0110110 BinaryNumber_1000001 BinaryNumber_1100011 BinaryNumber_0100001
BinaryNumber_0100010 BinaryNumber_0001100 BinaryNumber_0110110 BinaryNumber_1000111 BinaryNumber_0111100 BinaryNumber_0100000 BinaryNumber_0110100 BinaryNumber_0011111 BinaryNumber_0011110 BinaryNumber_0101000
temperature__42c temperature__147c temperature__8c temperature__53c temperature__65c temperature__0c temperature__44c temperature__71c temperature__106c temperature__16c
temperature__87c temperature__137c temperature__100c temperature__132c temperature__120c temperature__33c temperature__61c temperature__71c temperature__138c temperature__5c
