Pineberry Date Melon Redcurrant Pomegranate Quince Raspberry Loganberry Pineapple Açaí
Cherimoya Sapote Date Cloudberry Cranberry Feijoa Cashew Jujube Plum Elderberry
Apple Tamarind Gooseberry Blackcurrant Huckleberry Pineapple Soursop Cranberry Mulberry Guava
Plantain Plum Rambutan  Kumquat Honeydew Canistel Mulberry Cherimoya Cloudberry Kiwano
Passionfruit Breadfruit Longan Huckleberry Akebi Grapefruit Lulo Banana Nectarine Loquat
Pawpaw Abiu Kumquat Rambutan  Huckleberry Clementine Abiu Currant Loquat Soursop
Jackfruit Kiwano Gooseberry Cranberry Passionfruit Apricot Ximenia Peach Pawpaw Abiu
Marionberry Rambutan  Fig Gooseberry Loganberry Lemon Mandarine Mango Rambutan  Yuzu
Cempedak Rambutan  Elderberry Kiwano Mango Loganberry Kiwifruit Papaya Tayberry Satsuma
Yuzu Mango Raspberry Tamarillo Ackee Damson Peach Cherry Kumquat Abiu
Mango Acerola Plumcot Ackee Blackberry Pawpaw Boysenberry Pawpaw Ackee Clementine
BinaryNumber_1001110 BinaryNumber_0110111 BinaryNumber_0101000 BinaryNumber_0101001 BinaryNumber_1100001 BinaryNumber_0000010 BinaryNumber_0100100 BinaryNumber_0000011 BinaryNumber_0110001 BinaryNumber_1001101
BinaryNumber_0010101 BinaryNumber_0110111 BinaryNumber_1100010 BinaryNumber_0011001 BinaryNumber_0101001 BinaryNumber_1011010 BinaryNumber_0010001 BinaryNumber_0000110 BinaryNumber_0101101 BinaryNumber_0011000
BinaryNumber_1001010 BinaryNumber_1011110 BinaryNumber_1010011 BinaryNumber_1000000 BinaryNumber_0111100 BinaryNumber_1000100 BinaryNumber_0111011 BinaryNumber_0111100 BinaryNumber_1010011 BinaryNumber_0001010
BinaryNumber_1001010 BinaryNumber_1100000 BinaryNumber_0001101 BinaryNumber_0101000 BinaryNumber_0001101 BinaryNumber_0010010 BinaryNumber_1100000 BinaryNumber_0111011 BinaryNumber_0110110 BinaryNumber_1001000
