DarkSlateGray OrangeRed Moccasin DarkOrange DarkSlateBlue Cornsilk RoyalBlue LightSteelBlue PaleTurquoise Peru
NavajoWhite LightSlateBlue Tomato Plum LimeGreen LavenderBlush LightGoldenrod Azure Gold MediumVioletRed
LightGoldenrod DarkTurquoise DeepPink AntiqueWhite MediumPurple MediumPurple IndianRed Brown Chocolate MintCream
LightGreen Yellow WhiteSmoke OrangeRed Sienna Red LightBlue PaleTurquoise SandyBrown Burlywood
LightSteelBlue Goldenrod OldLace Firebrick Blue LightGray WhiteSmoke Peru PeachPuff Silver
MediumSlateBlue Firebrick Coral RosyBrown LightYellow Lime DarkKhaki Lime Navy Khaki
Snow Salmon OldLace Thistle DarkKhaki Yellow LightCoral Moccasin PeachPuff Seashell
OliveDrab Tan Linen PaleGreen VioletRed LightSkyBlue DarkCyan Lavender MintCream DarkSeaGreen
LightBlue Brown Fuchsia DarkBlue DarkSeaGreen Cyan SlateBlue Peru Linen LightCoral
Burlywood Crimson LimeGreen Gainsboro MediumBlue MediumVioletRed DarkSlateGray DeepPink DarkFuchsia Blue
DarkGoldenrod RosyBrown DarkGoldenrod MistyRose DarkOrange FloralWhite Goldenrod Lime DarkSlateGray BlueViolet
Loganberry Pineberry Clementine Ximenia Longan Jambul Date Tayberry Gooseberry Durian
Honeydew Clementine Sapodilla Plum Pineberry Grapefruit Coconut Banana Loquat Huckleberry
Tamarillo Abiu Ackee Kiwano Marionberry Tamarillo Cranberry Banana Pineberry Tangelo
Nectarine Jujube Tangerine Boysenberry Kiwifruit Papaya Ackee Date Mandarine Satsuma
Mangosteen Durian Fig Acerola Pear Clementine Melon Bilberry Yuzu Kiwano
Tangerine Gooseberry Damson Kumquat Banana Pomegranate Salmonberry Durian Pineberry Mango
Satsuma Sapote Nance Cloudberry Nance Jambul Sapote Pear Grapefruit Damson
Sapote Pomelo Melon Cranberry Cherry Melon Apricot Ackee Cantaloupe Abiu
Cloudberry Kiwifruit Ximenia Watermelon Jostaberry Grape Guava Pineapple Coconut Mandarine
Redcurrant Longan Persimmon Rambutan  Sapodilla Boysenberry Pineberry Melon Prune Cloudberry
Grape Orange Jujube Kiwifruit Plumcot Rambutan  Plantain Breadfruit Sapodilla Mangosteen
BinaryNumber_1011010 BinaryNumber_1000100 BinaryNumber_1001010 BinaryNumber_1010110 BinaryNumber_0000101 BinaryNumber_0011100 BinaryNumber_1000011 BinaryNumber_1001111 BinaryNumber_1000010 BinaryNumber_0101000
BinaryNumber_0010101 BinaryNumber_1001101 BinaryNumber_1000111 BinaryNumber_0111111 BinaryNumber_0111100 BinaryNumber_0110001 BinaryNumber_1011111 BinaryNumber_0010001 BinaryNumber_1000101 BinaryNumber_0110000
BinaryNumber_0000100 BinaryNumber_0110011 BinaryNumber_0111010 BinaryNumber_0111101 BinaryNumber_1100001 BinaryNumber_1010011 BinaryNumber_0000001 BinaryNumber_0110110 BinaryNumber_1011010 BinaryNumber_1001010
BinaryNumber_1010001 BinaryNumber_1001010 BinaryNumber_0110000 BinaryNumber_1001000 BinaryNumber_0101101 BinaryNumber_0010101 BinaryNumber_0100101 BinaryNumber_0111011 BinaryNumber_1100010 BinaryNumber_0110000
BinaryNumber_1011111 BinaryNumber_1001000 BinaryNumber_0101000 BinaryNumber_1000110 BinaryNumber_0101011 BinaryNumber_0100110 BinaryNumber_0001010 BinaryNumber_1011011 BinaryNumber_0111010 BinaryNumber_1000000
BinaryNumber_0111001 BinaryNumber_1100001 BinaryNumber_0110011 BinaryNumber_1001101 BinaryNumber_0110100 BinaryNumber_0110100 BinaryNumber_0001100 BinaryNumber_0011110 BinaryNumber_0110101 BinaryNumber_0101010
BinaryNumber_0010110 BinaryNumber_1000100 BinaryNumber_1000111 BinaryNumber_1011111 BinaryNumber_0000001 BinaryNumber_1000011 BinaryNumber_0000001 BinaryNumber_1000001 BinaryNumber_1011101 BinaryNumber_1010010
BinaryNumber_0010010 BinaryNumber_1010011 BinaryNumber_0001101 BinaryNumber_1000100 BinaryNumber_0010101 BinaryNumber_0001011 BinaryNumber_0101110 BinaryNumber_1010010 BinaryNumber_1010010 BinaryNumber_0001010
BinaryNumber_0011011 BinaryNumber_0010101 BinaryNumber_0000101 BinaryNumber_1000011 BinaryNumber_0101110 BinaryNumber_1000111 BinaryNumber_0000111 BinaryNumber_1001110 BinaryNumber_1001100 BinaryNumber_0001101
