Honeydew MintCream MediumOrchid Yellow LightSlateBlue DarkSalmon MidnightBlue DodgerBlue DeepSkyBlue DarkOliveGreen
Green LightSalmon Crimson Chartreuse Honeydew DarkTurquoise Azure MistyRose LightCyan Crimson
Beige ForestGreen PaleGreen Gainsboro MediumAquamarine Moccasin Feldspar PeachPuff DarkGoldenrod Blue
Sienna SteelBlue MediumSeaGreen Teal MediumBlue LightPink Lime OrangeRed LightSlateBlue HotPink
LightGray OliveDrab Violet SlateGray MediumOrchid Thistle Fuchsia Ivory LightPink SandyBrown
AntiqueWhite LightSteelBlue BlueViolet DarkGoldenrod DarkGray Teal RosyBrown VioletRed Tomato Silver
CadetBlue Tomato Moccasin Pink Tomato Khaki DarkSlateGray Maroon LightCoral DarkKhaki
DarkSeaGreen Honeydew Pink DodgerBlue Cyan LightSkyBlue Burlywood Yellow ForestGreen DarkKhaki
MediumOrchid Teal DarkGray BlueViolet DarkOrange GreenYellow Fuchsia PaleVioletRed Linen LightGray
RosyBrown FloralWhite PowderBlue WhiteSmoke Crimson OldLace LightSalmon RoyalBlue Chocolate DeepPink
MediumSlateBlue Pink Red Thistle Beige DarkSlateGray Snow RoyalBlue Tomato SaddleBrown
offenses detective thriller incarceration arsons gangsterism murder robbery punishment prostitution
crisis pirate legal terrorism massacre gangsterism crisis offenses liberty conspiracy
criminal snitching mystery punitive vandalism criminal corrupt political theft crime
drug criminality offence revenge slay criminality legal shootings blackmail bloodshed
slayings spy homicide noir misdemeanor investigation sentence suspense misdemeanor heist
felony criminality evidence barratry poverty blackmail government criminal psychological blackmail
prison slay poverty legal crisis homicides arsons slayings crisis death
bloodshed arsons theft accident cop law-breaking homeless gangs thriller political
victim mob blackmail shoplift cop punishment guilt sentence gang structuralism
unsolved justice highjack gangsterism threats kill illegal trafficking mob assault
offenses prison offenders tort poverty police vandalism investigation revenge punishment
Abiu Cherry Mulberry Sapodilla Lime Strawberry Acerola Cashew Quince Satsuma
Pineapple Clementine Mango Bilberry Pomegranate Longan Araza Damson Currant Tangelo
Abiu Cranberry Tangelo Cempedak Honeydew Coconut Cranberry Tamarind Nance Durian
Durian Guava Ackee Araza Breadfruit Papaya Kiwano Currant Satsuma Lulo
Huckleberry Date Salmonberry Cloudberry Cloudberry Tangelo Longan Breadfruit Mandarine Canistel
Plum Mango Kiwano Longan Raspberry Pineapple Sapote Lulo Cloudberry Passionfruit
Date Pineberry Satsuma Lychee Huckleberry Passionfruit Araza Salak Blueberry Sapote
Plumcot Strawberry Elderberry Salmonberry Kiwifruit Blackberry Ximenia Banana Persimmon Huckleberry
