creepy troubled ill doubtful strange proud cheerful vast nice annoyed
filthy glamorous thankful confused tense courageous zealous frail jealous frightened
alive foolish envious hilarious enthusiastic attractive relieved wide-eyed alive ashamed
elated fragile bright uninterested putrid troubled lovely lonely uninterested scary
hilarious quaint frantic cooperative quaint vivacious grotesque ashamed evil exuberant
encouraging busy magnificent lively bloody homeless wide-eyed successful tired outstanding
scary old-fashioned dark shiny outrageous uninterested pleasant obedient sleepy kind
tired tired tasty poor frail hungry frail drab motionless dangerous
bored fair good grotesque gleaming hurt shy comfortable curious enthusiastic
victorious zany attractive stormy doubtful important motionless hurt thankful strange
busy innocent nice dull crazy amused tough frail envious dizzy
BinaryNumber_1000110 BinaryNumber_0001001 BinaryNumber_0110100 BinaryNumber_0000101 BinaryNumber_0011101 BinaryNumber_1011101 BinaryNumber_1001110 BinaryNumber_0110110 BinaryNumber_0000011 BinaryNumber_1011001
BinaryNumber_1011100 BinaryNumber_1000011 BinaryNumber_0110000 BinaryNumber_0010001 BinaryNumber_1000011 BinaryNumber_0110100 BinaryNumber_0001001 BinaryNumber_1010110 BinaryNumber_0110110 BinaryNumber_1000001
BinaryNumber_1001101 BinaryNumber_0101111 BinaryNumber_0111101 BinaryNumber_0101011 BinaryNumber_1100001 BinaryNumber_0000010 BinaryNumber_1000000 BinaryNumber_0111101 BinaryNumber_0001000 BinaryNumber_0110010
BinaryNumber_1000101 BinaryNumber_0000111 BinaryNumber_1010111 BinaryNumber_1000110 BinaryNumber_0110010 BinaryNumber_0101001 BinaryNumber_0110101 BinaryNumber_0110101 BinaryNumber_1000001 BinaryNumber_1011100
BinaryNumber_0100101 BinaryNumber_0111000 BinaryNumber_1000000 BinaryNumber_0101001 BinaryNumber_0010011 BinaryNumber_0001011 BinaryNumber_1010111 BinaryNumber_0000010 BinaryNumber_0011000 BinaryNumber_0010111
BinaryNumber_1000111 BinaryNumber_0111100 BinaryNumber_1011110 BinaryNumber_0101111 BinaryNumber_0101110 BinaryNumber_1000001 BinaryNumber_1010111 BinaryNumber_0010110 BinaryNumber_0111100 BinaryNumber_0110111
BinaryNumber_1010001 BinaryNumber_0001101 BinaryNumber_1010000 BinaryNumber_0010010 BinaryNumber_0011110 BinaryNumber_0110010 BinaryNumber_0010011 BinaryNumber_0000111 BinaryNumber_1010001 BinaryNumber_1011100
BinaryNumber_0110000 BinaryNumber_1100000 BinaryNumber_0000001 BinaryNumber_0111111 BinaryNumber_0101110 BinaryNumber_0001010 BinaryNumber_1010000 BinaryNumber_1001110 BinaryNumber_0010110 BinaryNumber_0001000
BinaryNumber_0001010 BinaryNumber_1011111 BinaryNumber_1001011 BinaryNumber_0011010 BinaryNumber_1011011 BinaryNumber_0100111 BinaryNumber_0110110 BinaryNumber_0010001 BinaryNumber_0100110 BinaryNumber_0111111
BinaryNumber_0110001 BinaryNumber_0000001 BinaryNumber_1000100 BinaryNumber_0111010 BinaryNumber_0101001 BinaryNumber_0010001 BinaryNumber_0001101 BinaryNumber_0101000 BinaryNumber_0101100 BinaryNumber_0001110
BinaryNumber_0000101 BinaryNumber_0010111 BinaryNumber_0110100 BinaryNumber_0111011 BinaryNumber_0101001 BinaryNumber_0011000 BinaryNumber_0110101 BinaryNumber_1001110 BinaryNumber_1001011 BinaryNumber_0101111
Esophagus Liver Bone  Vulva Spleen Teeth Kidneys Duodenum Brain Cerebellum
Pharynx Lips Middleear Tonsils Tendons Retina Retina Ciliarybody Urethra Outerear
Tongue Smallintestine Cervix Fallopiantubes Cochlea Urethra Midbrain Analcanal Pharynx Stomach
Spinalnerves Cecum Retina Teeth Capillaries Rectum Cerebrum Pharynx Interstitium Ligaments
Cornea Lymphaticvessel Mouth Capillaries Pharynx Ileum Pharynx Bladder Largeintestine Pharynx
Sensoryorgans Duodenum Scrotum Cerebellum Muscle Smallintestine Muscle Fallopiantubes Retina Placenta
Muscle Retina Thymus Thalamus Ganglia Ossicles Muscle Cochlea Stomach Smallintestine
Cecum Duodenum Lungs Analcanal Urethra Veins Hypothalamus Veins Smallintestine Lymphaticvessel
skeleton Cerebrum Vulva Earlobe Liver Bladder Bladder Retina Eardrum Vagina
Ear skeleton Thymus Tastebuds Vagina Spleen Interstitium Ureter Midbrain Tongue
Mesentery Spinalnerves Middleear Joints Innerear Cervix Tongue Lungs Analcanal Pancreas
temperature__124c temperature__14c temperature__147c temperature__71c temperature__56c temperature__129c temperature__36c temperature__5c temperature__122c temperature__10c
temperature__63c temperature__98c temperature__0c temperature__88c temperature__33c temperature__17c temperature__146c temperature__124c temperature__63c temperature__65c
