LightGoldenrod SteelBlue NavajoWhite DarkOliveGreen Turquoise Honeydew DarkGreen WhiteSmoke Khaki Olive
Fuchsia LightYellow RosyBrown Yellow MediumSlateBlue Ivory MediumBlue Green Azure MintCream
ForestGreen OldLace Burlywood Linen DarkCyan LightGreen LightYellow LightSeaGreen DarkBlue LawnGreen
Thistle LightGray Olive LimeGreen Ivory LightSlateGray Moccasin BlanchedAlmond Cyan BlueViolet
MediumOrchid MediumOrchid LightSteelBlue DeepPink Bisque Bisque LightSlateGray MediumAquamarine Linen DarkSlateBlue
Burlywood Ivory Purple Lime DarkSalmon Ivory NavajoWhite LightGreen LightGoldenrodYellow NavajoWhite
Green Olive PeachPuff MediumAquamarine DarkSlateBlue Tomato Wheat Burlywood MediumSpringGreen WhiteSmoke
Black DeepPink SlateGray DarkBlue Burlywood SlateBlue MediumSeaGreen Wheat Gold Lime
DarkSeaGreen LightYellow OliveDrab LawnGreen DarkOliveGreen RosyBrown DarkFuchsia SlateGray DarkGray DarkSalmon
Orchid LightYellow DarkGray Maroon DarkCyan Wheat LightBlue LightCoral Blue LightGray
GreenYellow Chocolate LightCoral AntiqueWhite ForestGreen WhiteSmoke Burlywood DarkTurquoise GreenYellow AliceBlue
temperature__137c temperature__33c temperature__42c temperature__26c temperature__118c temperature__112c temperature__12c temperature__141c temperature__84c temperature__109c
temperature__112c temperature__139c temperature__56c temperature__70c temperature__131c temperature__111c temperature__141c temperature__120c temperature__145c temperature__31c
temperature__33c temperature__122c temperature__98c temperature__23c temperature__108c temperature__78c temperature__119c temperature__145c temperature__44c temperature__7c
temperature__71c temperature__132c temperature__59c temperature__56c temperature__78c temperature__58c temperature__10c temperature__12c temperature__27c temperature__98c
temperature__36c temperature__17c temperature__141c temperature__30c temperature__87c temperature__148c temperature__39c temperature__74c temperature__137c temperature__50c
temperature__27c temperature__86c temperature__130c temperature__26c temperature__100c temperature__0c temperature__82c temperature__138c temperature__3c temperature__42c
temperature__73c temperature__17c temperature__144c temperature__124c temperature__64c temperature__57c temperature__22c temperature__50c temperature__109c temperature__51c
temperature__71c temperature__14c temperature__59c temperature__95c temperature__85c temperature__138c temperature__139c temperature__0c temperature__78c temperature__91c
temperature__78c temperature__11c temperature__111c temperature__12c temperature__68c temperature__54c temperature__141c temperature__28c temperature__58c temperature__40c
temperature__70c temperature__148c temperature__93c temperature__41c temperature__120c temperature__120c temperature__122c temperature__86c temperature__98c temperature__130c
temperature__33c temperature__56c temperature__22c temperature__26c temperature__93c temperature__118c temperature__12c temperature__129c temperature__59c temperature__129c
evil impossible agreeable sleepy sleepy amused long black splendid bright
condemned stormy dead glorious powerful muddy uninterested annoying grumpy important
silly super courageous frightened fierce lazy light puzzled misty enchanting
successful wrong horrible cruel alive helpless putrid curious alive inquisitive
troubled fair good tender defiant troubled crazy blushing bewildered unsightly
adventurous cute grumpy embarrassed concerned stormy shy aggressive funny good
grotesque grumpy adventurous elegant angry outrageous evil impossible jealous envious
defiant expensive muddy tame encouraging wrong defeated lazy elated beautiful
real good relieved happy amused eager horrible weary muddy sore
shy long scary shiny gentle quaint talented blue sparkling arrogant
ill real dull scary good expensive defiant confused curious confused
malfeasance manipulate proxy reputation debacle reputation lobby beleaguer anonymity anonymity
